,Value(uM),Subject Age,Subject Sex,Subject Information,Comment,File
2054,3500-5100,Not Specified,Not Specified,Normal,None,hmdb_metabolites-453
2055,3500-5300,Not Specified,Not Specified,Normal,None,hmdb_metabolites-453
2056,4000-6500,Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-453
2057,3300-5100,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-453
2058,3300-5100,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-453
2059,3500-5000,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-453
2060,3500-5000,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-453
2061,4560.0 +/- 560.0,Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-453
2062,3500-5000,Not Specified,Not Specified,Normal,None,hmdb_metabolites-453
2063,144000.0 +/- 5700.0,Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-454
2064,139100.0 +/- 2020.0,Infant (0-1 year old),Both,Normal,None,hmdb_metabolites-454
2065,142600.0 (138000.0-146000.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-454
2066,137000-146000,Not Specified,Not Specified,Normal,None,hmdb_metabolites-454
2067,132000-155000,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-454
2068,132000-142000,Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-454
2069,136000-145000,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-454
2070,136000,Not Specified,Not Specified,Normal,None,hmdb_metabolites-454
2071,134000-146000,Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-454
2072,135000-145000,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-454
2073,135000-145000,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-454
2074,44.5 (37.6-53.3),Newborn (0-30 days old),,Normal,None,hmdb_metabolites-457
2075,212 (183-244),Infant (0-1 year old),,Normal,None,hmdb_metabolites-457
2076,250.7 +/- 47.2,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-457
2077,267.03(66.1),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-457
2078,100.0-425.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-457
2079,24900.0 +/- 1790.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-459
2080,24700.0 +/- 1200.0,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-459
2081,23100.0 +/- 1500.0,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-459
2082,20000.0 (15500.0-22500.0),Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-459
2083,20000-30000,Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-459
2084,22000-26000,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-459
2085,23000-26000,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-459
2086,23000-26000,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-459
2087,2950.00721-4425.0108,Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-459
2088,24000-32000,Not Specified,Not Specified,Normal,None,hmdb_metabolites-459
2089,22000-29000,Not Specified,Not Specified,Normal,None,hmdb_metabolites-459
2090,22000-29000,Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-459
2091,21000-29000,Not Specified,Not Specified,Normal,None,hmdb_metabolites-459
2092,>20000,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-459
2093,24000 (22000-26000),Children (1 - 13 years old),Both,Normal,None,hmdb_metabolites-459
2094,< 0.003,Not Specified,Not Specified,Normal,None,hmdb_metabolites-461
2095,0.0035 +/- 0.0013,Elderly (>65 years old),Both,Normal,None,hmdb_metabolites-462
2096,0.0075 +/- 0.0015,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-462
2097,0.00308 +/- 0.00400,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-462
2098,0.0000-0.0090,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-462
2099,0.061 +/- 0.008,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-463
2100,<0.1,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-464
2101,0,Children (1 - 13 years old),Both,Normal,None,hmdb_metabolites-464
2102,0.280-0.930,Infant (0-1 year old),Male,Normal,None,hmdb_metabolites-466
2103,0.3-0.9,Infant (0-1 year old),Both,Normal,None,hmdb_metabolites-466
2104,0.7(0.3-0.9),Infant (0-1 year old),Female,Normal,None,hmdb_metabolites-466
2105,0.7 +/- 0.2,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-466
2106,>0.000120,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-467
2107,0.000316 +/- 0.000128,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-467
2108,0.000316 +/- 0.00008790,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-467
2109,0.000319 +/- 0.000168,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-467
2110,0.000320 +/- 0.000192,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-467
2111,0.000410 +/- 0.000160,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-467
2112,0.000422 +/- 0.000179,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-467
2113,0.000448 +/- 0.000164,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-467
2114,0.000450 +/- 0.000283,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-467
2115,0.000459 +/- 0.000355,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-467
2116,0.000488 +/- 0.000445,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-467
2117,0.000524 +/- 0.000623,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-467
2118,0.000570 +/- 0.000641,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-467
2119,0.000245,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-467
2120,0.000281,Adolescent (13-18 years old),Female,Normal,None,hmdb_metabolites-467
2121,0.000349,Adolescent (13-18 years old),Female,Normal,None,hmdb_metabolites-467
2122,0.000399,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-467
2123,0.000524,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-467
2124,0.000276 +/- 0.000137,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-467
2125,0.000294 +/- 0.000150,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-467
2126,0.000312,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-467
2127,0.000315,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-467
2128,0.000318,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-467
2129,0.000321,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-467
2130,0.000346,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-467
2131,0.000356,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-467
2132,0.000358,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-467
2133,0.000363,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-467
2134,0.00038,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-467
2135,0.000244 +/- 0.000132,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-467
2136,0.000280 +/- 0.000151,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-467
2137,0.000479 +/- 0.000234,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-467
2138,0.00037 (0.00009-0.00155),Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-467
2139,0.00025 +/- 0.00008,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-467
2140,0.0002385 +/- 0.0000991,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-467
2141,0.00013 (0.00004-0.00050),Children (1-13 years old),Both,Normal,None,hmdb_metabolites-467
2142,0.00028 +/- 0.00012,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-467
2143,0.0003 +/- 0.0001,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-467
2144,0.000142 - 0.000724,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-467
2145,0.0031 +/- 0.0017,Elderly (>65 years old),Both,Normal,None,hmdb_metabolites-468
2146,0.00183 (0.00067 - 0.00460),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-468
2147,0.00067 - 0.0080,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-468
2148,1506.38 +/- 204.89,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-470
2149,1820 +/- 85,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-470
2150,2.0 (0.0-5.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-472
2151,<5,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-472
2152,1.86 +/- 0.79,Children (1-13 years old),Both,Normal,None,hmdb_metabolites-475
2153,1.58 +/- 1.31,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-475
2154,1.7 +/- 0.3,Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-476
2155,0.1(0-0.1),Infant (0-1 year old),Both,Normal,None,hmdb_metabolites-476
2156,0.72 +/- 0.24,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-476
2157,,,,Normal,None,hmdb_metabolites-479
2158,219.7 +/- 14.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-480
2159,0.12(0.07-0.18),Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-480
2160,<5,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-482
2161,3.295 +/- 0.534,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-482
2162,0.57 +/- 0.35,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-483
2163,0.33 +/- 0.06,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-483
2164,6.4 +/- 8.5,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-486
2165,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-487
2166,,,,Normal,None,hmdb_metabolites-490
2167,0.15 (0.00-0.30),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-491
2168,0.013 (0.003-0.021),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-491
2169,0.06 +/- 0.01,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-492
2170,1.3(1.1-1.4),Infant (0-1 year old),Both,Normal,None,hmdb_metabolites-492
2171,12.0 (2.0-37.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-493
2172,1.47 +/- 0.68,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-493
2173,9.1,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-493
2174,0.719 +/- 0.029,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-493
2175,380-780,Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-496
2176,380-780,Infant (1 - 3 months old),Both,Normal,None,hmdb_metabolites-496
2177,380-780,Children (3 months - 6 years old),Both,Normal,None,hmdb_metabolites-496
2178,380-780,Children (6 - 18 years old),Both,Normal,None,hmdb_metabolites-496
2179,492.6 +/- 93.6,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-496
2180,376-709,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-496
2181,60-470,Children (1-13 years old),Both,Normal,None,hmdb_metabolites-496
2182,822 +/- 274,Infant (0-1 year old),Both,Normal,None,hmdb_metabolites-496
2183,334-666,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-496
2184,333-809,Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-496
2185,490.6 +/- 84.3,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-496
2186,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-496
2187,591.0 +/- 66.0,Children (1-13 years old),Female,Normal,None,hmdb_metabolites-496
2188,645.0 +/- 64.0,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-496
2189,578 +/- 85,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-496
2190,578.0 +/- 85.0,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-496
2191,657.9 +/- 106.2,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-496
2192,905.0 +/- 250.0,Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-496
2193,600.0 +/- 70.0,Children (1-13 years old),Male,Normal,None,hmdb_metabolites-496
2194,591 +/- 66,Children (1 - 13 years old),Female,Normal,None,hmdb_metabolites-496
2195,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-496
2196,632 +/- 83,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-496
2197,586.0 (502.0-670.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-496
2198,523.4(442.5-642.5),Children (1-13 uears old),Both,Normal,None,hmdb_metabolites-496
2199,645 +/- 64,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-496
2200,433-619,Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-496
2201,600 +/- 70,Children (1 - 13 years old),Male,Normal,None,hmdb_metabolites-496
2202,390.0-900.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-496
2203,638.62 +/- 109.94,Children (1-13 years old),Both,Normal,None,hmdb_metabolites-496
2204,510.4 +/- 118.2,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-496
2205,0.0073 +/- 0.0035,Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-498
2206,0.012 +/- 0.005,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-498
2207,0.005 (0.000 - 0.010),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-498
2208,31.0 (0.0-57.0),Children (1-13 years old),Both,Normal,None,hmdb_metabolites-500
2209,65.0 +/- 31.0,Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-500
2210,2.5 (0.0-5.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-501
2211,,,,Normal,None,hmdb_metabolites-504
2212,0.26 +/- 0.11,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-505
2213,0.141 +/- 0.009,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-505
2214,<0.3,Adolescent (13-18 years old),Male,Normal,None,hmdb_metabolites-505
2215,0.16-0.55,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-505
2216,0.12 (0.11-0.14),Newborn (0-30 days old),,Normal,None,hmdb_metabolites-505
2217,0.36 (0.29-0.5),Infant (0-1 year old),,Normal,None,hmdb_metabolites-505
2218,0.23(0.09),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-505
2219,0.31 +/- 0.13,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-505
2220,0.16-0.55,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-505
2221,0.005 (0.0-0.124),Children (1-13 years old),Both,Normal,None,hmdb_metabolites-505
2222,5.40 +/- 0.52,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-507
2223,14.71645(14.20635-15.22336),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-509
2224,14.5 +/- 3.1,Elderly (>65 years old),Both,Normal,None,hmdb_metabolites-509
2225,0.89 (0.39),Adult (>18 years old),Male,Normal,None,hmdb_metabolites-509
2226,13.376-24.392,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-509
2227,1.416-7.239,Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-509
2228,11.0156-24.392,Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-509
2229,12.589-22.0313,Children (1 - 13 years old),Female,Normal,None,hmdb_metabolites-509
2230,4.56 +/- 1.83,Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-509
2231,20.3 (13.1 - 27.4),Children (1-13 years old),Both,Normal,None,hmdb_metabolites-509
2232,17.0 (10.2 - 29.0),Adult (>18 years old),Female,Normal,None,hmdb_metabolites-509
2233,23.7 (11.3 - 27.0),Adult (>18 years old),Female,Normal,None,hmdb_metabolites-509
2234,17.2 (12.7 - 21.6),Adult (>18 years old),Male,Normal,None,hmdb_metabolites-509
2235,37.6 (23.6 - 49.9),Adult (>18 years old),Female,Normal,None,hmdb_metabolites-509
2236,11.8 (7.5 - 16.1),Adult (>18 years old),Female,Normal,None,hmdb_metabolites-509
2237,12-22,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-509
2238,18.9,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-509
2239,17.2,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-509
2240,12.7-22.0,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-509
2241,10.0-22.0,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-509
2242,10.0-22.0,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-509
2243,10.229-25.179,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-509
2244,15.06127(14.09512-15.95434),,Both,Normal,None,hmdb_metabolites-509
2245,118.74 +/- 45.54,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-510
2246,111 +/- 4,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-510
2247,31.0 +/- 3.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-512
2248,48.0 +/- 16.0,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-512
2249,0.8 (0.0-1.8),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-513
2250,0 - 1.8,Newborn (0-30 days old),Male,Normal,None,hmdb_metabolites-513
2251,0,Children (1 - 13 years old),Both,Normal,None,hmdb_metabolites-513
2252,4.74 +/- 1.75,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-514
2253,6.58 +/- 2.14,Elderly (>65 years old),Both,Normal,None,hmdb_metabolites-514
2254,0.29 +/- 0.084,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-519
2255,0.287 +/- 0.033,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-521
2256,0.213 +/- 0.021,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-521
2257,0.265 +/- 0.032,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-521
2258,0.329 +/- 0.064,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-521
2259,0.228 +/- 0.019,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-521
2260,0.207 +/- 0.023,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-521
2261,0.213 +/- 0.026,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-521
2262,2.281 +/- 2.091,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-521
2263,2.00 +/- 0.60,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-522
2264,6.0 (0.52-12.3),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-522
2265,1.12 +/- 0.60,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-522
2266,2.8 (0.5-5.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-523
2267,23.39 +/- 2.75,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-525
2268,110 (42-370),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2269,83.8 +/- 38,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2270,193.7 +/- 72.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2271,264 +/- 17.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2272,183.7 +/- 69.9,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-525
2273,207.9 +/- 73.0,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-525
2274,734.546 +/- 92.710,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-525
2275,798.729 +/- 99.841,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-525
2276,927.0964 +/- 110.538,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-525
2277,930.662 +/- 89.144,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-525
2278,61,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2279,17.7 +/- 4.7,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2280,14.733 +/- 4.331,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2281,74,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2282,134,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2283,192,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2284,246,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2285,291,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2286,308,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2287,311,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2288,11.8-21.6,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-525
2289,525,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2290,563,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2291,618,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2292,1021.482 +/- 224.215,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2293,1065.519 +/- 201.893,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-525
2294,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2295,,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-525
2296,15.2 +/- 0.437,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-525
2297,0.186 +/- 0.037,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-526
2298,0.41 (0.25-0.57),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-527
2299,<2,Children (1 - 13 years old),Male,Normal,None,hmdb_metabolites-528
2300,4.60-12.44,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-528
2301,0.17 +/- 0.03,Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-529
2302,5.0 (0.0-12.0),Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-530
2303,14.0 +/- 4.2,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-531
2304,2.49 +/- 1.36,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-531
2305,1.6 +/- 0.1,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-533
2306,1.4 (0.7-3.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-533
2307,5.89 (4.89-7.05),Newborn (0-30 days old),,Normal,None,hmdb_metabolites-533
2308,2.4 +/- 0.5,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-533
2309,1.74 +/- 0.121,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-533
2310,4.13 (3.44-4.91),Infant (0-1 year old),,Normal,None,hmdb_metabolites-533
2311,2.21 +/- 0.57,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-533
2312,2.61(2.02-3.16),Children (1-13 uears old),Both,Normal,None,hmdb_metabolites-533
2313,1.1-3.2,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-533
2314,70.0 +/- 25.0,Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-535
2315,134.0 +/- 20.0,Children (1-13 years old),Male,Normal,None,hmdb_metabolites-535
2316,160.0 +/- 27.0,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-535
2317,157.0 +/- 30.0,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-535
2318,55-183,Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-535
2319,43-165,Infant (1 - 3 months old),Both,Normal,None,hmdb_metabolites-535
2320,40-180,Children (3 months - 6 years old),Both,Normal,None,hmdb_metabolites-535
2321,55-174,Children (6 - 18 years old),Both,Normal,None,hmdb_metabolites-535
2322,158.3 +/- 37.6,Children (1 - 13 years old),Not Specified,Normal,None,hmdb_metabolites-535
2323,156 (134-183),Newborn (0-30 days old),,Normal,None,hmdb_metabolites-535
2324,48-160,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-535
2325,68-168,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-535
2326,159 +/- 23,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-535
2327,76-168,Adolescent (13-18 years old),Not Specified,Normal,None,hmdb_metabolites-535
2328,49-216,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-535
2329,120 +/- 11,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-535
2330,168 (134-216),Infant (0-1 year old),,Normal,None,hmdb_metabolites-535
2331,72-201,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-535
2332,64-164,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-535
2333,150.1 +/- 27.7,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-535
2334,127.4(100.5-150.2),Children (1-13 uears old),Both,Normal,None,hmdb_metabolites-535
2335,70.00-180.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-535
2336,123 (98-148),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-535
2337,251 +/- 5,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-535
2338,98.7 +/- 11.5,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-535
2339,<0.400,Not Specified,Not Specified,Normal,None,hmdb_metabolites-536
2340,0.138 +/- 0.010,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-536
2341,<0.600,Not Specified,Not Specified,Normal,None,hmdb_metabolites-536
2342,0.46,Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-536
2343,<0.110,Not Specified,Not Specified,Normal,None,hmdb_metabolites-536
2344,0.049 (0.032-0.082),Children (1-13 years old),Both,Normal,None,hmdb_metabolites-536
2345,15.0+/- 0.58,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-538
2346,14.2,Adolescent (13-18 years old),Female,Normal,None,hmdb_metabolites-538
2347,4.98 +/- 0.31,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-538
2348,<0.89,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-538
2349,12.3-15.6,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-538
2350,13.5 +/- 1.2,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-538
2351,9766 +/- 1246,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-539
2352,8050.0 (7500.0-8600.0),Adult (>18 years old),Female,Normal,None,hmdb_metabolites-539
2353,8950.0 (7900.0-10000.0),Adult (>18 years old),Male,Normal,None,hmdb_metabolites-539
2354,0.5 (0.0-1.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-540
2355,1.5 (0.0-1.5),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-541
2356,0.5-1.0,Infant (0-1 year old),Both,Normal,None,hmdb_metabolites-541
2357,0.6(0.5-1.0),Infant (0-1 year old),Female,Normal,None,hmdb_metabolites-541
2358,0,Children (1 - 13 years old),Both,Normal,None,hmdb_metabolites-541
2359,28.0 (0.0-58.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-542
2360,,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-542
2361,33.5 +/- 8.2,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-542
2362,25-28,Adolescent (13-18 years old),Female,Normal,None,hmdb_metabolites-542
2363,18,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-542
2364,25.0 (21.0-29.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-543
2365,33.4 +/- 9,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-543
2366,13-45,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-543
2367,6-36,Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-543
2368,4-39,Infant (1 - 3 months old),Both,Normal,None,hmdb_metabolites-543
2369,35.0 +/- 5.0,Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-543
2370,5-40,Children (3 months - 6 years old),Both,Normal,None,hmdb_metabolites-543
