,Value(uM),Subject Age,Subject Sex,Subject Information
2137,0.000479 +/- 0.000234,Adult (>18 years old),Male,Normal
2138,0.00037 (0.00009-0.00155),Newborn (0-30 days old),Both,Normal
2139,0.00025 +/- 0.00008,Adult (>18 years old),Both,Normal
2140,0.0002385 +/- 0.0000991,Adult (>18 years old),Both,Normal
2141,0.00013 (0.00004-0.00050),Children (1-13 years old),Both,Normal
2142,0.00028 +/- 0.00012,Adult (>18 years old),Female,Normal
2143,0.0003 +/- 0.0001,Adult (>18 years old),Male,Normal
2144,0.000142 - 0.000724,Adult (>18 years old),Both,Normal
2145,0.0031 +/- 0.0017,Elderly (>65 years old),Both,Normal
2146,0.00183 (0.00067 - 0.00460),Adult (>18 years old),Both,Normal
2147,0.00067 - 0.0080,Adult (>18 years old),Both,Normal
2148,1506.38 +/- 204.89,Adult (>18 years old),Both,Normal
2149,1820 +/- 85,Adult (>18 years old),Both,Normal
2150,2.0 (0.0-5.0),Adult (>18 years old),Both,Normal
2151,<5,Adult (>18 years old),Both,Normal
2152,1.86 +/- 0.79,Children (1-13 years old),Both,Normal
2153,1.58 +/- 1.31,Adult (>18 years old),Both,Normal
2154,1.7 +/- 0.3,Newborn (0-30 days old),Both,Normal
2155,0.1(0-0.1),Infant (0-1 year old),Both,Normal
2156,0.72 +/- 0.24,Adult (>18 years old),Both,Normal
2157,,,,Normal
2158,219.7 +/- 14.0,Adult (>18 years old),Both,Normal
2159,0.12(0.07-0.18),Infant (0-1 year old),Not Specified,Normal
2160,<5,Adult (>18 years old),Both,Normal
2161,3.295 +/- 0.534,Adult (>18 years old),Both,Normal
2162,0.57 +/- 0.35,Adult (>18 years old),Female,Normal
2163,0.33 +/- 0.06,Adult (>18 years old),Both,Normal
2164,6.4 +/- 8.5,Adult (>18 years old),Both,Normal
2165,,Adult (>18 years old),Both,Normal
2166,,,,Normal
2167,0.15 (0.00-0.30),Adult (>18 years old),Both,Normal
2168,0.013 (0.003-0.021),Adult (>18 years old),Both,Normal
2169,0.06 +/- 0.01,Adult (>18 years old),Both,Normal
2170,1.3(1.1-1.4),Infant (0-1 year old),Both,Normal
2171,12.0 (2.0-37.0),Adult (>18 years old),Both,Normal
2172,1.47 +/- 0.68,Adult (>18 years old),Both,Normal
2173,9.1,Adult (>18 years old),Both,Normal
2174,0.719 +/- 0.029,Adult (>18 years old),Both,Normal
2175,380-780,Newborn (0-30 days old),Both,Normal
2176,380-780,Infant (1 - 3 months old),Both,Normal
2177,380-780,Children (3 months - 6 years old),Both,Normal
2178,380-780,Children (6 - 18 years old),Both,Normal
2179,492.6 +/- 93.6,Adult (>18 years old),Both,Normal
2180,376-709,Infant (0-1 year old),Not Specified,Normal
2181,60-470,Children (1-13 years old),Both,Normal
2182,822 +/- 274,Infant (0-1 year old),Both,Normal
2183,334-666,Infant (0-1 year old),Not Specified,Normal
2184,333-809,Newborn (0-30 days old),Not Specified,Normal
2185,490.6 +/- 84.3,Adult (>18 years old),Male,Normal
2186,,Adult (>18 years old),Both,Normal
2187,591.0 +/- 66.0,Children (1-13 years old),Female,Normal
2188,645.0 +/- 64.0,Adult (>18 years old),Male,Normal
2189,578 +/- 85,Adult (>18 years old),Female,Normal
2190,578.0 +/- 85.0,Adult (>18 years old),Female,Normal
2191,657.9 +/- 106.2,Adult (>18 years old),Both,Normal
2192,905.0 +/- 250.0,Newborn (0-30 days old),Not Specified,Normal
2193,600.0 +/- 70.0,Children (1-13 years old),Male,Normal
2194,591 +/- 66,Children (1 - 13 years old),Female,Normal
2195,,Adult (>18 years old),Both,Normal
2196,632 +/- 83,Adult (>18 years old),Male,Normal
2197,586.0 (502.0-670.0),Adult (>18 years old),Both,Normal
2198,523.4(442.5-642.5),Children (1-13 uears old),Both,Normal
2199,645 +/- 64,Adult (>18 years old),Male,Normal
2200,433-619,Newborn (0-30 days old),Not Specified,Normal
2201,600 +/- 70,Children (1 - 13 years old),Male,Normal
2202,390.0-900.0,Adult (>18 years old),Both,Normal
2203,638.62 +/- 109.94,Children (1-13 years old),Both,Normal
2204,510.4 +/- 118.2,Adult (>18 years old),Both,Normal
2205,0.0073 +/- 0.0035,Newborn (0-30 days old),Both,Normal
2206,0.012 +/- 0.005,Adult (>18 years old),Both,Normal
2207,0.005 (0.000 - 0.010),Adult (>18 years old),Both,Normal
2208,31.0 (0.0-57.0),Children (1-13 years old),Both,Normal
2209,65.0 +/- 31.0,Newborn (0-30 days old),Both,Normal
2210,2.5 (0.0-5.0),Adult (>18 years old),Both,Normal
2211,,,,Normal
2212,0.26 +/- 0.11,Adult (>18 years old),Both,Normal
2213,0.141 +/- 0.009,Adult (>18 years old),Both,Normal
2214,<0.3,Adolescent (13-18 years old),Male,Normal
2215,0.16-0.55,Adult (>18 years old),Both,Normal
2216,0.12 (0.11-0.14),Newborn (0-30 days old),,Normal
2217,0.36 (0.29-0.5),Infant (0-1 year old),,Normal
2218,0.23(0.09),Adult (>18 years old),Both,Normal
2219,0.31 +/- 0.13,Adult (>18 years old),Both,Normal
2220,0.16-0.55,Adult (>18 years old),Both,Normal
2221,0.005 (0.0-0.124),Children (1-13 years old),Both,Normal
2222,5.40 +/- 0.52,Adult (>18 years old),Both,Normal
2223,14.71645(14.20635-15.22336),Adult (>18 years old),Both,Normal
2224,14.5 +/- 3.1,Elderly (>65 years old),Both,Normal
2225,0.89 (0.39),Adult (>18 years old),Male,Normal
2226,13.376-24.392,Adult (>18 years old),Not Specified,Normal
2227,1.416-7.239,Newborn (0-30 days old),Both,Normal
2228,11.0156-24.392,Newborn (0-30 days old),Both,Normal
2229,12.589-22.0313,Children (1 - 13 years old),Female,Normal
2230,4.56 +/- 1.83,Newborn (0-30 days old),Both,Normal
2231,20.3 (13.1 - 27.4),Children (1-13 years old),Both,Normal
2232,17.0 (10.2 - 29.0),Adult (>18 years old),Female,Normal
2233,23.7 (11.3 - 27.0),Adult (>18 years old),Female,Normal
2234,17.2 (12.7 - 21.6),Adult (>18 years old),Male,Normal
2235,37.6 (23.6 - 49.9),Adult (>18 years old),Female,Normal
2236,11.8 (7.5 - 16.1),Adult (>18 years old),Female,Normal
2237,12-22,Adult (>18 years old),Both,Normal
2238,18.9,Adult (>18 years old),Female,Normal
2239,17.2,Adult (>18 years old),Male,Normal
2240,12.7-22.0,Children (1-13 years old),Not Specified,Normal
2241,10.0-22.0,Adult (>18 years old),Female,Normal
2242,10.0-22.0,Adult (>18 years old),Male,Normal
2243,10.229-25.179,Infant (0-1 year old),Not Specified,Normal
2244,15.06127(14.09512-15.95434),,Both,Normal
2245,118.74 +/- 45.54,Adult (>18 years old),Both,Normal
2246,111 +/- 4,Adult (>18 years old),Both,Normal
2247,31.0 +/- 3.0,Adult (>18 years old),Both,Normal
2248,48.0 +/- 16.0,Adult (>18 years old),Male,Normal
2249,0.8 (0.0-1.8),Adult (>18 years old),Both,Normal
2250,0 - 1.8,Newborn (0-30 days old),Male,Normal
2251,0,Children (1 - 13 years old),Both,Normal
2252,4.74 +/- 1.75,Adult (>18 years old),Both,Normal
2253,6.58 +/- 2.14,Elderly (>65 years old),Both,Normal
2254,0.29 +/- 0.084,Adult (>18 years old),Both,Normal
2255,0.287 +/- 0.033,Adult (>18 years old),Male,Normal
2256,0.213 +/- 0.021,Adult (>18 years old),Male,Normal
2257,0.265 +/- 0.032,Adult (>18 years old),Male,Normal
2258,0.329 +/- 0.064,Adult (>18 years old),Male,Normal
2259,0.228 +/- 0.019,Adult (>18 years old),Male,Normal
2260,0.207 +/- 0.023,Adult (>18 years old),Male,Normal
2261,0.213 +/- 0.026,Adult (>18 years old),Male,Normal
2262,2.281 +/- 2.091,Adult (>18 years old),Male,Normal
2263,2.00 +/- 0.60,Adult (>18 years old),Male,Normal
2264,6.0 (0.52-12.3),Adult (>18 years old),Both,Normal
2265,1.12 +/- 0.60,Adult (>18 years old),Both,Normal
2266,2.8 (0.5-5.0),Adult (>18 years old),Both,Normal
2267,23.39 +/- 2.75,Adult (>18 years old),Female,Normal
2268,110 (42-370),Adult (>18 years old),Both,Normal
2269,83.8 +/- 38,Adult (>18 years old),Both,Normal
2270,193.7 +/- 72.0,Adult (>18 years old),Both,Normal
2271,264 +/- 17.0,Adult (>18 years old),Both,Normal
2272,183.7 +/- 69.9,Adult (>18 years old),Male,Normal
2273,207.9 +/- 73.0,Adult (>18 years old),Female,Normal
2274,734.546 +/- 92.710,Adult (>18 years old),Male,Normal
2275,798.729 +/- 99.841,Adult (>18 years old),Male,Normal
2276,927.0964 +/- 110.538,Adult (>18 years old),Male,Normal
2277,930.662 +/- 89.144,Adult (>18 years old),Male,Normal
2278,61,Adult (>18 years old),Both,Normal
2279,17.7 +/- 4.7,Adult (>18 years old),Both,Normal
2280,14.733 +/- 4.331,Adult (>18 years old),Both,Normal
2281,74,Adult (>18 years old),Both,Normal
2282,134,Adult (>18 years old),Both,Normal
2283,192,Adult (>18 years old),Both,Normal
2284,246,Adult (>18 years old),Both,Normal
2285,291,Adult (>18 years old),Both,Normal
2286,308,Adult (>18 years old),Both,Normal
2287,311,Adult (>18 years old),Both,Normal
2288,11.8-21.6,Adult (>18 years old),Female,Normal
2289,525,Adult (>18 years old),Both,Normal
2290,563,Adult (>18 years old),Both,Normal
2291,618,Adult (>18 years old),Both,Normal
2292,1021.482 +/- 224.215,Adult (>18 years old),Both,Normal
2293,1065.519 +/- 201.893,Adult (>18 years old),Female,Normal
2294,,Adult (>18 years old),Both,Normal
2295,,Adult (>18 years old),Female,Normal
2296,15.2 +/- 0.437,Adult (>18 years old),Both,Normal
2297,0.186 +/- 0.037,Adult (>18 years old),Both,Normal
2298,0.41 (0.25-0.57),Adult (>18 years old),Both,Normal
2299,<2,Children (1 - 13 years old),Male,Normal
2300,4.60-12.44,Children (1-13 years old),Not Specified,Normal
2301,0.17 +/- 0.03,Newborn (0-30 days old),Both,Normal
2302,5.0 (0.0-12.0),Newborn (0-30 days old),Both,Normal
2303,14.0 +/- 4.2,Adult (>18 years old),Male,Normal
2304,2.49 +/- 1.36,Adult (>18 years old),Both,Normal
2305,1.6 +/- 0.1,Adult (>18 years old),Both,Normal
2306,1.4 (0.7-3.0),Adult (>18 years old),Both,Normal
2307,5.89 (4.89-7.05),Newborn (0-30 days old),,Normal
2308,2.4 +/- 0.5,Adult (>18 years old),Male,Normal
2309,1.74 +/- 0.121,Adult (>18 years old),Both,Normal
2310,4.13 (3.44-4.91),Infant (0-1 year old),,Normal
2311,2.21 +/- 0.57,Adult (>18 years old),Both,Normal
2312,2.61(2.02-3.16),Children (1-13 uears old),Both,Normal
2313,1.1-3.2,Adult (>18 years old),Both,Normal
2314,70.0 +/- 25.0,Newborn (0-30 days old),Not Specified,Normal
2315,134.0 +/- 20.0,Children (1-13 years old),Male,Normal
2316,160.0 +/- 27.0,Adult (>18 years old),Female,Normal
2317,157.0 +/- 30.0,Adult (>18 years old),Male,Normal
2318,55-183,Newborn (0-30 days old),Both,Normal
2319,43-165,Infant (1 - 3 months old),Both,Normal
2320,40-180,Children (3 months - 6 years old),Both,Normal
2321,55-174,Children (6 - 18 years old),Both,Normal
2322,158.3 +/- 37.6,Children (1 - 13 years old),Not Specified,Normal
2323,156 (134-183),Newborn (0-30 days old),,Normal
2324,48-160,Infant (0-1 year old),Not Specified,Normal
2325,68-168,Infant (0-1 year old),Not Specified,Normal
2326,159 +/- 23,Adult (>18 years old),Male,Normal
2327,76-168,Adolescent (13-18 years old),Not Specified,Normal
2328,49-216,Children (1-13 years old),Not Specified,Normal
2329,120 +/- 11,Adult (>18 years old),Female,Normal
2330,168 (134-216),Infant (0-1 year old),,Normal
2331,72-201,Adult (>18 years old),Not Specified,Normal
2332,64-164,Children (1-13 years old),Not Specified,Normal
2333,150.1 +/- 27.7,Adult (>18 years old),Both,Normal
2334,127.4(100.5-150.2),Children (1-13 uears old),Both,Normal
2335,70.00-180.0,Adult (>18 years old),Both,Normal
2336,123 (98-148),Adult (>18 years old),Both,Normal
2337,251 +/- 5,Adult (>18 years old),Both,Normal
2338,98.7 +/- 11.5,Adult (>18 years old),Both,Normal
2339,<0.400,Not Specified,Not Specified,Normal
2340,0.138 +/- 0.010,Adult (>18 years old),Both,Normal
2341,<0.600,Not Specified,Not Specified,Normal
2342,0.46,Newborn (0-30 days old),Not Specified,Normal
2343,<0.110,Not Specified,Not Specified,Normal
2344,0.049 (0.032-0.082),Children (1-13 years old),Both,Normal
2345,15.0+/- 0.58,Adult (>18 years old),Both,Normal
2346,14.2,Adolescent (13-18 years old),Female,Normal
2347,4.98 +/- 0.31,Adult (>18 years old),Both,Normal
2348,<0.89,Adult (>18 years old),Not Specified,Normal
2349,12.3-15.6,Adult (>18 years old),Both,Normal
2350,13.5 +/- 1.2,Adult (>18 years old),Both,Normal
2351,9766 +/- 1246,Adult (>18 years old),Both,Normal
2352,8050.0 (7500.0-8600.0),Adult (>18 years old),Female,Normal
2353,8950.0 (7900.0-10000.0),Adult (>18 years old),Male,Normal
2354,0.5 (0.0-1.0),Adult (>18 years old),Both,Normal
2355,1.5 (0.0-1.5),Adult (>18 years old),Both,Normal
2356,0.5-1.0,Infant (0-1 year old),Both,Normal
2357,0.6(0.5-1.0),Infant (0-1 year old),Female,Normal
2358,0,Children (1 - 13 years old),Both,Normal
2359,28.0 (0.0-58.0),Adult (>18 years old),Both,Normal
2360,,Adult (>18 years old),Female,Normal
2361,33.5 +/- 8.2,Adult (>18 years old),Both,Normal
2362,25-28,Adolescent (13-18 years old),Female,Normal
2363,18,Adult (>18 years old),Female,Normal
2364,25.0 (21.0-29.0),Adult (>18 years old),Both,Normal
2365,33.4 +/- 9,Adult (>18 years old),Both,Normal
2366,13-45,Adult (>18 years old),Not Specified,Normal
2367,6-36,Newborn (0-30 days old),Both,Normal
2368,4-39,Infant (1 - 3 months old),Both,Normal
2369,35.0 +/- 5.0,Newborn (0-30 days old),Not Specified,Normal
2370,5-40,Children (3 months - 6 years old),Both,Normal
2371,27.0 +/- 5.0,Children (1-13 years old),Male,Normal
2372,16-37,Children (6 - 18 years old),Both,Normal
2373,32.0 +/- 6.0,Adult (>18 years old),Male,Normal
2374,27.0 +/- 5.0,Adult (>18 years old),Female,Normal
2375,13-45,Not Specified,Not Specified,Normal
2376,15-35,Not Specified,Not Specified,Normal
2377,35.8 (28.90-44.2),Newborn (0-30 days old),,Normal
2378,<77,Children (1 - 13 years old),Male,Normal
2379,10-60,Infant (0-1 year old),Not Specified,Normal
2380,6-27,Adult (>18 years old),Both,Normal
2381,7 -47,Children (1 - 13 years old),Male,Normal
2382,28.90 (21.60-37.6),Infant (0-1 year old),,Normal
2383,25 +/- 6,Adult (>18 years old),Male,Normal
2384,22 +/- 4,Adult (>18 years old),Female,Normal
2385,27 +/- 5,Adult (>18 years old),Female,Normal
2386,25.4 +/- 5.05,Adult (>18 years old),Both,Normal
2387,20.6(17.9-24.8),Children (1-13 uears old),Both,Normal
2388,32 +/- 6,Adult (>18 years old),Male,Normal
2389,16 +/- 3,Children (1 - 13 years old),Not Specified,Normal
2390,13-32,Newborn (0-30 days old),Not Specified,Normal
2391,0-90,Children (1-13 years old),Not Specified,Normal
2392,5-34,Infant (0-1 year old),Both,Normal
2393,16-37,Children (1-13 years old),Both,Normal
2394,35.09 +/- 8.76,Children (1-13 years old),Both,Normal
2395,10.0-45.0,Adult (>18 years old),Both,Normal
2396,29.8 +/- 6.3,Adult (>18 years old),Both,Normal
2397,0.009 (0.005-0.015),Adult (>18 years old),Not Specified,Normal
2398,0.430 (0.007-0.850),Adult (>18 years old),Both,Normal
2399,6-8,Adolescent (13-18 years old),Female,Normal
2400,3,Adult (>18 years old),Female,Normal
2401,2.3 (0.0-4.0),Adult (>18 years old),Both,Normal
2402,,,,Normal
2403,0.018 +/- 0.004,Adult (>18 years old),Both,Normal
2404,0.37 +/- 0.23,Adult (>18 years old),Both,Normal
2405,0.1(0-0.4),Infant (0-1 year old),Both,Normal
2406,0.19 (0.10-0.70),Adult (>18 years old),Both,Normal
2407,13.6 +/- 3.6,Adult (>18 years old),Both,Normal
2408,<16,Adolescent (13-18 years old),Not Specified,Normal
2409,1.200 +/- 1.2(0-3.2),Infant (0-1 year old),Both,Normal
2410,48.0 (0.0-96.0),Adult (>18 years old),Both,Normal
2411,3.0 (0.0-5.0),Adult (>18 years old),Both,Normal
2412,,Adult (>18 years old),Both,Normal
2413,16.74 +/- 11.16,Adult (>18 years old),Both,Normal
2414,1.000-28.00,Adult (>18 years old),Both,Normal
2415,<27.933,Adult (>18 years old),Both,Normal
2416,0.023 +/- 0.010,Adult (>18 years old),Both,Normal
2417,0.03 +/- 0.007,Adult (>18 years old),Both,Normal
2418,<5.291,Adult (>18 years old),Both,Normal
2419,10.0 (0.0-20.0),Children (1-13 years old),Both,Normal
2420,2.46 +/- 1.26,Adult (>18 years old),Both,Normal
2421,1.6 (0.3-2.7),Adult (>18 years old),Both,Normal
2422,4.896,Children (1 - 13 years old),Female,Normal
2423,12.0 (11.3-17.0),Adult (>18 years old),Both,Normal
2424,,,,Normal
2425,0.614 +/- 0.013,Adult (>18 years old),Not Specified,Normal
2426,1.810 +/- 0.002,Adult (>18 years old),Not Specified,Normal
2427,,Adult (>18 years old),Female,Normal
2428,,Adult (>18 years old),Female,Normal
2429,,Adult (>18 years old),Female,Normal
2430,<91000,Infant (0-1 year old),Female,Normal
2431,16 - 53,Infant (0-1 year old),Male,Normal
2432,11.8 (9.9-13.7),Adult (>18 years old),Both,Normal
2433,40.0 (28.0-55.0),Newborn (0-30 days old),Both,Normal
2434,40.0 +/- 40.0,Newborn (0-30 days old),Not Specified,Normal
2435,24.0 +/- 13.0,Children (1-13 years old),Male,Normal
2436,20.0 +/- 12.0,Children (1-13 years old),Female,Normal
2437,20 +/- 12,Children (1 - 13 years old),Female,Normal
2438,20.0 +/- 11.0,Adult (>18 years old),Male,Normal
2439,16.0 +/- 9.0,Adult (>18 years old),Female,Normal
2440,24 +/- 13,Children (1 - 13 years old),Male,Normal
2441,13.0 (3.0-23.0),Adult (>18 years old),Both,Normal
2442,4.00-30.0,Adult (>18 years old),Both,Normal
2443,8.2,Adult (>18 years old),Both,Normal
2444,7.0 (0.0-9.0),Adult (>18 years old),Both,Normal
2445,0.05 (0.00-0.10),Adult (>18 years old),Both,Normal
2446,,,,Normal
2447,0.069 (0.015-0.203),Children (1 - 13 years old),Both,Normal
2448,0.069 (0.015-0.203),Children (1-13 years old),Both,Normal
2449,,,,Normal
2450,0.12 (0.12-0.13),Adult (>18 years old),Both,Normal
2451,9.4 (7.3-16.2),Adult (>18 years old),Not Specified,Normal
2452,9.8 (7.6-14.9),Adult (>18 years old),Both,Normal
2453,1-18,Infant (0-1 year old),Both,Normal
2454,<7.500,Not Specified,Not Specified,Normal
2455,2.89-9.99,Infant (5 days - <1 year old),Both,Normal
2456,2.74-7.62,Children (1 - <7 years old),Both,Normal
2457,3.40-8.43,Children (7 - <12 years old),Both,Normal
2458,4.069-10.36,Adolescent (12 - <15 years old),Female,Normal
2459,4.96-11.91,Adolescent (15 - <19 years old),Female,Normal
2460,4.73-10.43,Adolescent (12 - <15 years old),Male,Normal
2461,5.47-13.39,Adolescent (15 - <19 years old),Male,Normal
2462,5.00 +/- 1.6,Infant (0-1 year old),Both,Normal
2463,10.4 +/- 2.3,Children (1-13 years old),Both,Normal
2464,9.00 +/- 2.2,Adolescent (13-18 years old),Both,Normal
2465,9.00 +/- 2.00,Adult (>18 years old),Both,Normal
2466,<20,Adult (>18 years old),Both,Normal
2467,3-8,Newborn (0-30 days old),Both,Normal
2468,9.99 +/- 1.04,Adult (>18 years old),Both,Normal
2469,8-18,Adult (>18 years old),Not Specified,Normal
2470,<12.593,Adult (>18 years old),Both,Normal
2471,10.900 +/- 2.800,Adult (>18 years old),Both,Normal
2472,11.600 +/- 3,Adult (>18 years old),Both,Normal
2473,12.600 +/- 3.100,Adult (>18 years old),Both,Normal
2474,13.300 +/- 2.900,Adult (>18 years old),Both,Normal
2475,5.600 +/- 1.200,Adult (>18 years old),Female,Normal
2476,9.11 +/- 2.99,Adult (>18 years old),Not Specified,Normal
2477,4-12,Children (1-13 years old),Not Specified,Normal
2478,<0.7,Newborn (0-30 days old),Not Specified,Normal
2479,9.0 +/- 12.0,Adult (>18 years old),Both,Normal
2480,,,,Normal
2481,4.0 (0.0 - 10.0),Adult (>18 years old),Not Specified,Normal
2482,,Adult (>18 years old),Female,Normal
2483,<10,Adult (>18 years old),Female,Normal
2484,,Adult (>18 years old),Both,Normal
2485,,Adult (>18 years old),Female,Normal
2486,0.64 +/- 0.24,Adult (>18 years old),Both,Normal
2487,0.080 +/- 0.006,Adult (>18 years old),Both,Normal
2488,0.020-0.130,Adult (>18 years old),Both,Normal
2489,<0.12,Adolescent (13-18 years old),Male,Normal
2490,0.06 +/- 0.02,Adult (>18 years old),Both,Normal
2491,0.020-0.130,Adult (>18 years old),Both,Normal
2492,0.031 (0.015-0.053),Children (1-13 years old),Both,Normal
2493,39.1 +/-  3.1,Adult (>18 years old),Male,Normal
2494,43.3 +/- 3.4,Adult (>18 years old),Both,Normal
2495,0.08 +/- 0.02,Newborn (0-30 days old),Both,Normal
2496,0.33 +/-0.04,Adult (>18 years old),Both,Normal
2497,0.0516 +/- 0.0068,Adult (>18 years old),Both,Normal
2498,0.553 +/- 0.109,Adult (>18 years old),Male,Normal
2499,0.938 +/- 0.429,Adult (>18 years old),Male,Normal
2500,1.057 +/- 0.424,Adult (>18 years old),Male,Normal
2501,44.348 +/- 43.85,Adult (>18 years old),Male,Normal
2502,0.58 +/- 0.121,Adult (>18 years old),Male,Normal
2503,0.504 +/- 0.062,Adult (>18 years old),Male,Normal
2504,0.54 +/- 0.108,Adult (>18 years old),Male,Normal
2505,2.111 +/- 1.705,Adult (>18 years old),Male,Normal
2506,,Adult (>18 years old),Female,Normal
2507,,,,Consuming polyphenols described by Phenol-Explorer entry 975
2508,<7.143,Adult (>18 years old),Both,Normal
2509,34.0 +/- 18.0,Adult (>18 years old),Both,Normal
2510,2.0492 +/- 23.770,Children (3 months - 6 years old),Not Specified,Normal
2511,3.18 +/- 0.99,Adult (>18 years old),Both,Normal
2512,0.13 +/- 0.06,Adult (>18 years old),Both,Normal
2513,,Adult (>18 years old),Male,Normal
2514,27.0 (0.0-58.0),Adult (>18 years old),Both,Normal
2515,50.0 (0.5-100.0),Adult (>18 years old),Both,Normal
2516,4.167 +/- 5.556,Adult (>18 years old),Both,Normal
2517,149.0 +/- 13.0,Adult (>18 years old),Both,Normal
2518,0.23 +/- 0.08,Adult (>18 years old),Both,Normal
2519,0.121 +/- 0.009,Adult (>18 years old),Both,Normal
2520,0.17-0.50,Adult (>18 years old),Both,Normal
2521,<0.22,Adolescent (13-18 years old),Male,Normal
2522,0.21(0.06),Adult (>18 years old),Both,Normal
2523,0.18 +/- 0.07,Adult (>18 years old),Both,Normal
2524,0.17-0.50,Adult (>18 years old),Both,Normal
2525,0.061 (0.006-0.127),Children (1-13 years old),Both,Normal
2526,,,,Normal
2527,0.091(0.072-0.11),Infant (0-1 year old),Not Specified,Normal
2528,<3.000,Adult (>18 years old),Male,Normal
2529,0-3.350,Children (1-13 years old),Both,Normal
2530,4.8 (0.0-9.6),Adult (>18 years old),Both,Normal
2531,2.7 (2.0-4.0),Adult (>18 years old),Both,Normal
2532,<12.800,Adult (>18 years old),Male,Normal
2533,0-12.799,Children (1-13 years old),Both,Normal
2534,1.600-11.199,Not Specified,Not Specified,Normal
2535,3.93,Adult (>18 years old),Female,Normal
2536,5.77,Adult (>18 years old),Female,Normal
2537,0.86,Adult (>18 years old),Female,Normal
2538,6.719,Not Specified,Not Specified,Normal
2539,<10,Children (1-13 years old),Not Specified,Normal
2540,25.0 (8.0-70.0),Adult (>18 years old),Both,Normal
2541,3.0 +/- 1.3,Children (1-13 years old),Both,Normal
2542,7.16 +/- 3,Adult (>18 years old),Both,Normal
2543,,Adult (>18 years old),Female,Normal
2544,9.3,Adult (>18 years old),Both,Normal
2545,15.464 +/- 4.024,Adult (>18 years old),Both,Normal
2546,2.7 +/- 1.5,Adolescent (13-18 years old),Both,Normal
2547,2.1 +/- 0.9,Adult (>18 years old),Both,Normal
2548,1.1-3.3,Adult (>18 years old),Female,Normal
2549,,Adult (>18 years old),Both,Normal
2550,13.137 +/- 0.438,Adult (>18 years old),Male,Normal
2551,13.137 +/- 4.379,Adult (>18 years old),Male,Normal
2552,13.137 +/- 4.379,Adult (>18 years old),Male,Normal
2553,13.137 +/- 4.379,Adult (>18 years old),Male,Normal
2554,18.610 +/- 6.919,Adult (>18 years old),Female,Normal
2555,90 +/- 40,Adult (>18 years old),Female,Normal
2556,90 +/- 20,Adult (>18 years old),Male,Normal
2557,6.06 +/- 0.069,Adult (>18 years old),Both,Normal
2558,58.2 +/- 14.4,Newborn (0-30 days old),Both,Normal
2559,47.2 +/- 7.4,Adult (>18 years old),Both,Normal
2560,,,,Normal
2561,,Adult (>18 years old),Both,Normal
2562,0.00035 +/- 0.00016,Adult (>18 years old),Both,Normal
2563,0.00022 +/- 0.00052,Adult (>18 years old),Both,Normal
2564,0.00045 +/- 0.00120,Adult (>18 years old),Both,Normal
2565,0.33 (0.00-0.80),Adult (>18 years old),Both,Normal
2566,,,,Normal
2567,0.31 +/- 0.15,Adult (>18 years old),Both,Normal
2568,0.400 +/- 0.021,Adult (>18 years old),Both,Normal
2569,0.15-0.70,Adult (>18 years old),Both,Normal
2570,0.24 (0.2-0.3),Newborn (0-30 days old),,Normal
2571,0.58 (0.47-0.75),Infant (0-1 year old),,Normal
2572,0.44(0.14),Adult (>18 years old),Both,Normal
2573,0.34 +/- 0.10,Adult (>18 years old),Both,Normal
2574,0.564 (0.209-1.159),Children (1-13 years old),Both,Normal
2575,0.15-0.70,Adult (>18 years old),Both,Normal
2576,1.34 +/- 0.91,Adult (>18 years old),Both,Normal
2577,,Adult (>18 years old),Both,Normal
2578,,Adult (>18 years old),Female,Normal
2579,,Adult (>18 years old),Both,Normal
2580,2.692 +/- 0.510,Adult (>18 years old),Both,Normal
2581,230 +/- 60,Adult (>18 years old),Female,Normal
2582,220 +/- 50,Adult (>18 years old),Female,Normal
2583,150 +/- 50,Adult (>18 years old),Female,Normal
2584,0.653 +/- 0.004,Adult (>18 years old),Both,Normal
2585,85 (31-470),Adult (>18 years old),Both,Normal
2586,48.8 +/- 21,Adult (>18 years old),Both,Normal
2587,41.119 +/- 5.521,Adult (>18 years old),Both,Normal
2588,7.90-13.5,Adult (>18 years old),Female,Normal
2589,8.70-13.3,Adult (>18 years old),Male,Normal
2590,,Adult (>18 years old),Both,Normal
2591,467.524 +/- 38.667,Adult (>18 years old),Male,Normal
2592,460.494 +/- 31.637,Adult (>18 years old),Male,Normal
2593,460.494 +/- 35.152,Adult (>18 years old),Male,Normal
2594,464.00907 +/- 35.152,Adult (>18 years old),Male,Normal
2595,57,Adult (>18 years old),Both,Normal
2596,60,Adult (>18 years old),Both,Normal
2597,73,Adult (>18 years old),Both,Normal
2598,78,Adult (>18 years old),Both,Normal
2599,232,Adult (>18 years old),Both,Normal
2600,261,Adult (>18 years old),Both,Normal
2601,707.790 +/- 164.407,Adult (>18 years old),Both,Normal
2602,585.741 +/- 101.871,Adult (>18 years old),Female,Normal
2603,830 +/- 160,Adult (>18 years old),Female,Normal
2604,770 +/- 110,Adult (>18 years old),Male,Normal
2605,,Adult (>18 years old),Both,Normal
2606,,Adult (>18 years old),Female,Normal
2607,22.1 +/- 0.035,Adult (>18 years old),Both,Normal
2608,0.57 +/- 1.26,Adult (>18 years old),Both,Normal
2609,1.000 +/- 0.015,Adult (>18 years old),Both,Normal
2610,0.0060 +/- 0.0016,Adult (>18 years old),Both,Normal
