,Value(uM),Patient Age,Patient Sex,Patient Information,Comment,File
2133,15.8 (9.7) ,Adult (>18 years old),Female,Pregnancy,None,hmdb_metabolites-538
2134,105.7 +/- 95.8,Adult (>18 years old),Both,Heart Transplant,None,hmdb_metabolites-538
2135,14.8 +/- 7.5 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-538
2136,15.0 +/- 8.5 ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-538
2137,40,Adolescent (13-18 years old),Female,Malonyl-Coa decarboxylase deficiency,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-538
2138,16.8 (6.7) ,Adult (>18 years old),Female,Early preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-538
2139,18.9 (9.8) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-538
2140,11.84 (2.88) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-538
2141,11.11 (3) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-538
2142,2.1-5.5,Adult (>18 years old),Both,Combined malonic and methylmalonic aciduria,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-538
2143,8631 +/- 1497,Adult (>18 years old),Both,Multiple sclerosis,The concentration refers to the iron that is contained in the heme groups of hemoglobin,hmdb_metabolites-539
2144,20.1 +/- 7.7,Adult (>18 years old),Both,Parkinson's disease,The concentration refers to the iron that is contained in the heme groups of hemoglobin,hmdb_metabolites-539
2145,16.3 +/- 7.7,Elderly (>65 years old),Both,Alzheimer's disease,The concentration refers to the iron that is contained in the heme groups of hemoglobin,hmdb_metabolites-539
2146,2.6 (1.4-6.1),Adult (>18 years old),Both,Liver disease with gastrointestinal bleeding,None,hmdb_metabolites-540
2147,47.0 +/- 13.0,Adult (>18 years old),Both,L-2-hydroxyglutaric aciduria,None,hmdb_metabolites-541
2148,23,Adolescent (13-18 years old),Male,L-2-hydroxyglutaric aciduria,None,hmdb_metabolites-541
2149,2.0(1.1-3.0),Infant (0-1 year old),Both,"Combined D,L-2-hydroxyglutaric aciduria",None,hmdb_metabolites-541
2150,47(27-62),Infant (0-1 year old),Female,L-2-Hydroxyglutaric aciduria,None,hmdb_metabolites-541
2151,1918,Children (1-13 years old),Female,Maple syrup urine disease,n=1. While patient was in coma.,hmdb_metabolites-542
2152,0,Adult (>18 years old),Female,Branched-chain Keto Acid Dehydrogenase Kinase Deficiency,n=1. While patient was in coma.,hmdb_metabolites-542
2153,0,Adolescent (13-18 years old),Female,Branched-chain Keto Acid Dehydrogenase Kinase Deficiency,n=1. While patient was in coma.,hmdb_metabolites-542
2154,25.6 +/- 5.4,Children (1-13 years old),Both,Obesity,with substantial overweight reduction. p=0.01 (vs. the group without substantial weight loss),hmdb_metabolites-543
2155,29.5 +/- 7.5,Children (1-13 years old),Both,Obesity,without substantial overweight reduction,hmdb_metabolites-543
2156,100-800,Children (1-13 years old),Female,Methionine adenosyltransferase deficiency,without substantial overweight reduction,hmdb_metabolites-543
2157,17.8 (17.0-18.6),Adult (>18 years old),Both,Epilepsy,"Acute seizures 
(0.1, 9.3) 2-6 years: 
",hmdb_metabolites-543
2158,244-1270,Infant (0-1 year old),Both,Methionine adenosyltransferase deficiency,"Acute seizures 
(0.1, 9.3) 2-6 years: 
",hmdb_metabolites-543
2159,25.0 (6.9) ,Adult (>18 years old),Female,Down syndrome pregnancy,"Acute seizures 
(0.1, 9.3) 2-6 years: 
",hmdb_metabolites-543
2160,32.6 (11.5) ,Adult (>18 years old),Female,Pregnancy,"Acute seizures 
(0.1, 9.3) 2-6 years: 
",hmdb_metabolites-543
2161,477-784,Children (1-13 years old),Male,Hypermethioninemia,"Acute seizures 
(0.1, 9.3) 2-6 years: 
",hmdb_metabolites-543
2162,,Adult (>18 years old),Both,Oesophageal cancer,By NMR and LC-MS ,hmdb_metabolites-543
2163,17.3 +/- 9.5,Adult (>18 years old),Both,Heart Transplant,By NMR and LC-MS ,hmdb_metabolites-543
2164,455,Adult (>18 years old),Male,Adenosine kinase deficiency,n=1,hmdb_metabolites-543
2165,550,Children (1-13 years old),Male,Adenosine kinase deficiency,n=1,hmdb_metabolites-543
2166,800,Adult (>18 years old),Male,Adenosine kinase deficiency,n=1,hmdb_metabolites-543
2167,886,Adolescent (13-18 years old),Female,Adenosine kinase deficiency,n=1,hmdb_metabolites-543
2168,,Adult (>18 years old),Both,Colorectal cancer,n=1,hmdb_metabolites-543
2169,20.15 +/- 7.05 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-543
2170,26.09 +/- 11.26 ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-543
2171,20.6 (4.2) ,Adult (>18 years old),Female,Early preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-543
2172,70,Infant (0-1 year old),Male,Fumaric aciduria,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-543
2173,23.5 (7.1) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-543
2174,503,Children (1 - 13 years old),Male,Homocystinuria,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-543
2175,1965.673,Children (1 - 13 years old),Male,Hereditary tyrosinemia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-543
2176,<6,Adult (>18 years old),Male,Methylenetetrahydrofolate reductase deficiency,n=2,hmdb_metabolites-543
2177,20-273,Newborn (0-30 days old),Both,S-Adenosylhomocysteine hydrolase deficiency,n=2,hmdb_metabolites-543
2178,230-1000,Children (1-13 years old),Female,S-Adenosylhomocysteine hydrolase deficiency,n=2,hmdb_metabolites-543
2179,37-400,Children (1-13 years old),Female,S-Adenosylhomocysteine hydrolase deficiency,With methionine restricted diet.,hmdb_metabolites-543
2180,815 - 1247,Children (1 - 13 years old),Male,Glycine N-Methyltransferase deficiency,With methionine restricted diet.,hmdb_metabolites-543
2181,29 +/- 6,Children (1-13 years old),Both,Obese,1 year later with weight loss. p=0.026 (vs. baseline),hmdb_metabolites-543
2182,30 +/- 9,Children (1-13 years old),Both,Obese,1 year later without weight losss,hmdb_metabolites-543
2183,27 +/- 6,Children (1-13 years old),Both,Obese,baseline of obese children,hmdb_metabolites-543
2184,30 +/- 7,Children (1-13 years old),Both,Obese,baseline of obese children,hmdb_metabolites-543
2185,27 +/- 7,Adult (>18 years old),Male,Schizophrenia,baseline of obese children,hmdb_metabolites-543
2186,26 +/- 7,Adult (>18 years old),Female,Schizophrenia,baseline of obese children,hmdb_metabolites-543
2187,,Adult (>18 years old),Both,Colorectal cancer,By ESI-MS/MS ,hmdb_metabolites-543
2188,23.8(19.4-28.7),Children (1-13 uears old),Both,Environmental enteric dysfunction,n=247. p=0.003 (vs no environmental enteric dysfunction group),hmdb_metabolites-543
2189,9.00 (0.00-18.00),Children (1-13 years old),Both,Homocystinuria,n=247. p=0.003 (vs no environmental enteric dysfunction group),hmdb_metabolites-543
2190,16.34 (4.74) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,n=247. p=0.003 (vs no environmental enteric dysfunction group),hmdb_metabolites-543
2191,15.3 (4.66) ,Adult (>18 years old),Female,Pregnancy,n=247. p=0.003 (vs no environmental enteric dysfunction group),hmdb_metabolites-543
2192,24.7 (7.4) ,Adult (>18 years old),Female,Late-onset preeclampsia,n=247. p=0.003 (vs no environmental enteric dysfunction group),hmdb_metabolites-543
2193,23.6 (6.5) ,Adult (>18 years old),Female,Pregnancy,n=247. p=0.003 (vs no environmental enteric dysfunction group),hmdb_metabolites-543
2194,134.34,Children (1-13 years old),Female,"Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type",Fasting. Higher than control,hmdb_metabolites-543
2195,229-465,Newborn (0-30 days old),Both,"Citrullinemia type II, neonatal-onset",Fasting. Higher than control,hmdb_metabolites-543
2196,10,Infant (0-1 year old),Female,Cobalamin F disease (cblF),Fasting. Higher than control,hmdb_metabolites-543
2197,27.55 +/- 6.81,Children (1-13 years old),Both,Obese,p=0.000034 (vs. control),hmdb_metabolites-543
2198,415.0 +/- 7.0,Adult (>18 years old),Both,Heart failure,"Non-diabetic patients with chronic heart failure
",hmdb_metabolites-543
2199,0.099-0.851,Adult (>18 years old),Both,Cirrhosis,None,hmdb_metabolites-546
2200,,Adult (>18 years old),Both,gastric cancer,By GC-MS. Potential diagnostic marker for gastric cancer ,hmdb_metabolites-547
2201,1,Adult (>18 years old),Female,Branched-chain Keto Acid Dehydrogenase Kinase Deficiency,By GC-MS. Potential diagnostic marker for gastric cancer ,hmdb_metabolites-547
2202,0,Adolescent (13-18 years old),Female,Branched-chain Keto Acid Dehydrogenase Kinase Deficiency,By GC-MS. Potential diagnostic marker for gastric cancer ,hmdb_metabolites-547
2203,0.1(0-0.5),Infant (0-1 year old),Both,Severe acute malnutrition,mean (IQR). n=22,hmdb_metabolites-553
2204,30,Adolescent (13-18 years old),Male,Cystinylglycinuria,None,hmdb_metabolites-554
2205,2110-2920,Infant (0-1 year old),Male,Succinic semialdehyde dehydrogenase deficiency,n=1,hmdb_metabolites-555
2206,486.68 +/- 344.36,Adult (>18 years old),Both,uremia,None,hmdb_metabolites-559
2207,,Adult (>18 years old),Both,Colorectal cancer,None,hmdb_metabolites-559
2208,1379.888 +/- 625.698,Adult (>18 years old),Both,Uremia,n=7,hmdb_metabolites-559
2209,0.80 +/- 0.40,Adult (>18 years old),Both,uremia,None,hmdb_metabolites-560
2210,,Adult (>18 years old),Both,Colorectal cancer,None,hmdb_metabolites-560
2211,9.7 +/- 3.1,Adult (>18 years old),Both,Zellweger syndrome,None,hmdb_metabolites-561
2212,65.0 +/- 63.0,Newborn (0-30 days old),Both,Adrenoleukodystrophy (ALD),None,hmdb_metabolites-561
2213,75.393,Children (1 - 13 years old),Female,Isovaleric acidemia,None,hmdb_metabolites-563
2214,0.23 +/- 0.04,Elderly (>65 years old),Both,Alzheimer's disease,"Probable Alzheimer's disease
",hmdb_metabolites-566
2215,,Adult (>18 years old),Both,Colorectal cancer,None,hmdb_metabolites-568
2216,5.66 +/- 0.67,Elderly (>65 years old),Both,Alzheimer's disease,None,hmdb_metabolites-568
2217,43.8 +/- 12.5,Adult (>18 years old),Both,Hemodialysis,"Conventional: for 4 h, 3 times/week
",hmdb_metabolites-568
2218,27.0 +/- 14.1,Adult (>18 years old),Both,Hemodialysis,"Nocturnal: for 8 h during the night, 6 times/week
",hmdb_metabolites-568
2219,339,Infant (0-1 year old),Male,Hydroxyprolinemia,"Nocturnal: for 8 h during the night, 6 times/week
",hmdb_metabolites-568
2220,412000,Infant (0-1 year old),Female,Hydroxyprolinemia,"Nocturnal: for 8 h during the night, 6 times/week
",hmdb_metabolites-568
2221,5.6 +/- 0.67,Adult (>18 years old),Both,Alzheimer's disease,"Nocturnal: for 8 h during the night, 6 times/week
",hmdb_metabolites-568
2222,,Adult (>18 years old),Both,Lung cancer,Potential biomarker; By GC/MS,hmdb_metabolites-572
2223,14000000,Children (1-13 years old),Female,Sulfite oxidase deficiency,n=1,hmdb_metabolites-574
2224,25 (10 - 40),Children (1-13 years old),Not Specified,Sulphite oxidase deficiency,With dietary therapy,hmdb_metabolites-574
2225,0.1 (0.0-0.2),Adult (>18 years old),Both,Biliary cirrhosis,Patients with biliary cirrhosis before ursodeoxycholic acid treatment,hmdb_metabolites-576
2226,0.034 (0.009-0.084),Adult (>18 years old),Both,Very long-chain acyl-CoA dehydrogenase deficiency (vLCAD),None,hmdb_metabolites-579
2227,0.46 (0.26-0.79),Adult (>18 years old),Both,Celiac disease,None,hmdb_metabolites-583
2228,12.9 (8.2-28.2),Adult (>18 years old),Not Specified,Dementia (Alzheimer's and non-Alzheimer's),None,hmdb_metabolites-584
2229,10.7 (7.6-14.4),Adult (>18 years old),Not Specified,Multiple sclerosis,None,hmdb_metabolites-584
2230,10.2 (7.0-17.4),Adult (>18 years old),Not Specified,Stroke,None,hmdb_metabolites-584
2231,11.9 (7.0-19.1),Adult (>18 years old),Not Specified,Peripheral neuropathy,None,hmdb_metabolites-584
2232,20.5,Children (1-13 years old),Female,Cystathioninuria,total homocysteine,hmdb_metabolites-584
2233,19,Children (1-13 years old),Female,Cystathioninuria,total homocysteine,hmdb_metabolites-584
2234,21.0 (18.5-25.7),Adult (>18 years old),Both,Chronic renal failure,total homocysteine,hmdb_metabolites-584
2235,3.5,Children (1-13 years old),Female,Cystathioninuria,total homocysteine,hmdb_metabolites-584
2236,25.5 (16.9-32.6),Adult (>18 years old),Both,Continuous ambulatory peritoneal dialysis (CAPD),total homocysteine,hmdb_metabolites-584
2237,29.7 (25.7-38.2),Adult (>18 years old),Both,Hemodialysis,total homocysteine,hmdb_metabolites-584
2238,<0.700,Infant (0-1 year old),Male,Sulfite oxidase deficiency,n=1,hmdb_metabolites-584
2239,68.80 +/- 15.53,Adult (>18 years old),Both,uremia,n=1,hmdb_metabolites-584
2240,3.8,Infant (0-1 year old),Female,Pyroglutamic aciduria,n=1,hmdb_metabolites-584
2241,12.5 +/- 5.0 ,Adult (>18 years old),Both,Sickle cell anemia,"Homozygous sickle cell disease
",hmdb_metabolites-584
2242,180,Adult (>18 years old),Male,Methylenetetrahydrofolate reductase deficiency,n=1,hmdb_metabolites-584
2243,<1.000,Newborn (0-30 days old),Female,Molybdenum cofactor deficiency,n=1,hmdb_metabolites-584
2244,12,Adult (>18 years old),Male,Dimethylglycinuria,n=1,hmdb_metabolites-584
2245,60 +/- 11.852,Adult (>18 years old),Both,Uremia,n=7,hmdb_metabolites-584
2246,125.00 (50.00-200.00),Children (1-13 years old),Both,Cystathionine beta-synthase deficiency,n=7,hmdb_metabolites-584
2247,6.00 (4.8-7.40),Adult (>18 years old),Both,Homocystinuria,n=7,hmdb_metabolites-584
2248,9.22 +/- 1.81,Adult (>18 years old),Not Specified,Cruetzfeldt-Jakob disease,n=7,hmdb_metabolites-584
2249,15.1,Adult (>18 years old),Both,Parkinson's disease,n=7,hmdb_metabolites-584
2250,13.94 +/- 3.47,Adult (>18 years old),Both,Amyotrophic lateral sclerosis,n=7,hmdb_metabolites-584
2251,15.75 +/- 5.75,Adult (>18 years old),Both,Progressive supranuclear palsy,n=7,hmdb_metabolites-584
2252,0.9,Children (1-13 years old),Male,Molybdenium co-factor deficiency,n=7,hmdb_metabolites-584
2253,14,Newborn (0-30 days old),Female,Maple syrup urine disease,None,hmdb_metabolites-587
2254,0-82.9,Children (1-13 years old),Both,Phenylketonuria,None,hmdb_metabolites-589
2255,700.0 (670.0 - 1030.0),Adult (>18 years old),Both,Kidney disease,"Terminal renal insufficiency during intermittent hemodialysis treatment
",hmdb_metabolites-591
2256,5.0 (0.0-10.0),Adult (>18 years old),Both,Ribose-5-phosphate isomerase deficiency,None,hmdb_metabolites-592
2257,9.5 (0.00-19.00),Adult (>18 years old),Both,Biotinidase deficiency,None,hmdb_metabolites-595
2258,88.0 (10.0-166.0),Children (1-13 years old),Both,Biotinidase deficiency,None,hmdb_metabolites-595
2259,7.38 +/- 4.18 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-595
2260,5.24 +/- 3.84 ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-595
2261,9.2 (1.7) ,Adult (>18 years old),Female,Early preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-595
2262,7.6 (3.1) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-595
2263,20,Adult (>18 years old),Female,3-methylglutaconic aciduria type I,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-595
2264,10.0 (10.0 - 20.0),Adult (>18 years old),Both,3-Methylglutaconic aciduria type I,"3-Methylglutaconic aciduria type I 
",hmdb_metabolites-595
2265,6.5 (3.3) ,Adult (>18 years old),Female,Late-onset preeclampsia,"3-Methylglutaconic aciduria type I 
",hmdb_metabolites-595
2266,4.7 (2.5) ,Adult (>18 years old),Female,Pregnancy,"3-Methylglutaconic aciduria type I 
",hmdb_metabolites-595
2267,,Adult (>18 years old),Both,Pancreatic cancer,By NMR. Significantly decreased vs control.,hmdb_metabolites-595
2268,0.060 +/- 0.004,Adult (>18 years old),Both,Celiac disease,None,hmdb_metabolites-597
2269,0.18,Adolescent (13-18 years old),Male,Glutaric aciduria II,2 days posttreatment with riboflavin,hmdb_metabolites-597
2270,0.31,Adolescent (13-18 years old),Male,Glutaric aciduria II,2 days posttreatment with riboflavin,hmdb_metabolites-597
2271,0.051 +/- 0.016,Children (1-13 years old),Both,Obesity,with substantial overweight reduction,hmdb_metabolites-597
2272,0.058 +/- 0.025,Children (1-13 years old),Both,Obesity,without substantial overweight reduction,hmdb_metabolites-597
2273,0.001 (0.0-0.004),Adult (>18 years old),Both,Very long-chain acyl-CoA dehydrogenase deficiency (vLCAD),without substantial overweight reduction,hmdb_metabolites-597
2274,1.5 (0.5-3.0),Adult (>18 years old),Both,Biliary cirrhosis,Patients with biliary cirrhosis after ursodeoxycholic acid treatment,hmdb_metabolites-601
2275,0.11 +/- 0.04,Newborn (0-30 days old),Both,Extrahepatic biliary atresia (EHBA),Patients with biliary cirrhosis after ursodeoxycholic acid treatment,hmdb_metabolites-601
2276,0.11 +/- 0.02,Adult (>18 years old),Both,Cystic fibrosis,"Cystic fibrosis associated with liver disease (CFLD)
",hmdb_metabolites-601
2277,0.16 +/- 0.07,Children (1-13 years old),Both,Cystic fibrosis,"Cystic fibrosis associated with liver disease (CFLD)
",hmdb_metabolites-601
2278,0.0475 +/- 0.0130,Adult (>18 years old),Male,Schizophrenia,None,hmdb_metabolites-602
2279,0.0449 +/- 0.0140,Adult (>18 years old),Female,Schizophrenia,None,hmdb_metabolites-602
2280,,Adult (>18 years old),Female,Breast cancer,By GC-MS ,hmdb_metabolites-602
2281,0.5 (0.0-1.0),Adult (>18 years old),Both,Prostate Cancer,"Estimated concentration
",hmdb_metabolites-603
2282,1.63 (1.14-2.12),Adult (>18 years old),Both,Cytochrome C oxidase deficiency,"Cytochrome C oxidase deficiency, partial with EMA aciduria (case reports): 5-116 
",hmdb_metabolites-604
2283,142.857 +/- 137.363,Adult (>18 years old),Both,Uremia,n=12,hmdb_metabolites-604
2284,2.0 (0.0-5.0),Adult (>18 years old),Both,Ribose-5-phosphate isomerase deficiency,n=12,hmdb_metabolites-604
2285,53.689 +/- 87.705,Children (3 months - 6 years old),Not Specified,Uremia,"n=7, original age is 2-59 months old",hmdb_metabolites-606
2286,16.70 +/- 3.72,Adult (>18 years old),Both,Canavan disease,"n=7, original age is 2-59 months old",hmdb_metabolites-606
2287,,Adult (>18 years old),Male,Schizophrenia,Detected by GC-MS,hmdb_metabolites-611
2288,,Adult (>18 years old),Female,Schizophrenia,Detected by GC-MS,hmdb_metabolites-611
2289,0-82.9,Children (1-13 years old),Both,Phenylketonuria,None,hmdb_metabolites-612
2290,,Adult (>18 years old),Both,gastric cancer,By GC-TOF-MS. Marker for characterizing the precancerous stages and gastric cancer,hmdb_metabolites-617
2291,,Adult (>18 years old),Both,superficial gastric cancer,By GC-TOF-MS. Marker for characterizing the precancerous stages and gastric cancer,hmdb_metabolites-617
2292,70.139 +/- 46.875,Adult (>18 years old),Both,Uremia,n=22,hmdb_metabolites-620
2293,0.086 +/- 0.006,Adult (>18 years old),Both,Celiac disease,None,hmdb_metabolites-622
2294,0.37,Adolescent (13-18 years old),Male,Glutaric aciduria II,2 days posttreatment with riboflavin,hmdb_metabolites-622
2295,0.59,Adolescent (13-18 years old),Male,Glutaric aciduria II,2 days posttreatment with riboflavin,hmdb_metabolites-622
2296,0.0943 (0.04369) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,2 days posttreatment with riboflavin,hmdb_metabolites-622
2297,0.26(0.08),Adult (>18 years old),Both,Heart failure with preserved ejection fraction,2 days posttreatment with riboflavin,hmdb_metabolites-622
2298,0.1304 (0.0496) ,Adult (>18 years old),Female,Pregnancy,2 days posttreatment with riboflavin,hmdb_metabolites-622
2299,0.025 (0.014-0.034),Adult (>18 years old),Both,Very long-chain acyl-CoA dehydrogenase deficiency (vLCAD),2 days posttreatment with riboflavin,hmdb_metabolites-622
2300,0.140 +/- 0.033,Children (1-13 years old),Both,Obesity,with substantial overweight reduction,hmdb_metabolites-622
2301,0.160 +/- 0.069,Children (1-13 years old),Both,Obesity,without substantial overweight reduction,hmdb_metabolites-622
2302,0.70-3.7,Infant (0-1 year old),Female,3-Hydroxydicarboxylic aciduria,None,hmdb_metabolites-623
2303,1.5 (0.0-3.0),Newborn (0-30 days old),Both,"Adrenoleukodystrophy, neonatal",None,hmdb_metabolites-626
2304,105,Adult (>18 years old),Male,Alpha-Methylacyl-CoA racemase deficiency,"n=1. Higher than normal, but no p value",hmdb_metabolites-626
2305,0.61,Newborn (0-30 days old),Female,Rhizomelic chondrodysplasia punctata,Mild form of condition.,hmdb_metabolites-626
2306,4.24,Infant (0-1 year old),Male,Peroxisomal biogenesis disorder,n=1. Patient with atypical characteristics.,hmdb_metabolites-626
2307,27.6,Newborn (0-30 days old),Not Specified,Zellweger syndrome,n=1,hmdb_metabolites-626
2308,68.6,Newborn (0-30 days old),Not Specified,Neonatal adrenoleukodystrophy,n=1,hmdb_metabolites-626
2309,1.0100-51.960,Children (1-13 years old),Female,Peroxisomal biogenesis disorder,n=2. Patients with atypical characteristics.,hmdb_metabolites-626
2310,16.100-24.800,Newborn (0-30 days old),Female,Peroxisomal biogenesis disorder,n=2. Patients with atypical characteristics.,hmdb_metabolites-626
2311,40.3 (27.5-53.0),Adult (>18 years old),Both,Infantile Refsum disease,None,hmdb_metabolites-630
2312,72.0 (64.0-80.0),Children (1-13 years old),Both,Adrenoleukodystrophy (ALD),None,hmdb_metabolites-630
2313,410.0 (46.0-1127.0),Adult (>18 years old),Both,Refsum's Disease,None,hmdb_metabolites-630
2314,20,Adult (>18 years old),Male,Alpha-Methylacyl-CoA racemase deficiency,"n=1. Higher than normal, but no p value",hmdb_metabolites-630
2315,5.46,Newborn (0-30 days old),Not Specified,Zellweger syndrome,n=1,hmdb_metabolites-630
2316,9.75,Infant (0-1 year old),Male,Peroxisomal biogenesis disorder,n=1. Patient with atypical characteristics.,hmdb_metabolites-630
2317,197,Newborn (0-30 days old),Female,Rhizomelic chondrodysplasia punctata,Mild form of condition.,hmdb_metabolites-630
2318,1439.86,Infant (0-1 year old),Not Specified,"Refsum disease, classic, adult-onset",n=1,hmdb_metabolites-630
2319,6335.384,Infant (0-1 year old),Not Specified,"Refsum disease, classic, early-onset",n=1,hmdb_metabolites-630
2320,0-2335.773,Adult (>18 years old),Not Specified,Classicle Refsum's disease,n=1,hmdb_metabolites-630
2321,0-50.300,Newborn (0-30 days old),Not Specified,Neonatal adrenoleukodystrophy,n=3,hmdb_metabolites-630
2322,26.557-30.717,Children (1-13 years old),Male,"Peroxisomal disorders, new type, liver",n=2,hmdb_metabolites-630
2323,3.200-1391.865,Children (1-13 years old),Both,Zellweger syndrome,n=2,hmdb_metabolites-630
2324,3.200-15.998,Children (1-13 years old),Not Specified,"Adrenoleukodystrophy, X-linked",n=2,hmdb_metabolites-630
2325,34.800-274,Children (1-13 years old),Female,Peroxisomal biogenesis disorder,n=2. Patients with atypical characteristics.,hmdb_metabolites-630
2326,399.961-479.953,Children (1-13 years old),Not Specified,"Refsum disease, infantile",n=2,hmdb_metabolites-630
2327,6.400-34.800,Newborn (0-30 days old),Female,Peroxisomal biogenesis disorder,n=2. Patients with atypical characteristics.,hmdb_metabolites-630
2328,9.599-28.797,Newborn (0-30 days old),Both,Neonatal adrenoleukodystrophy,n=2. Patients with atypical characteristics.,hmdb_metabolites-630
2329,9.599-67.193,Children (1-13 years old),Not Specified,"Refsum disease, juvenile",n=2,hmdb_metabolites-630
2330,9.599-86.392,Infant (0-1 year old),Both,Zellweger syndrome,n=4,hmdb_metabolites-630
2331,8.639,Adult (>18 years old),Male,27-hydroxylase deficiency,n=1,hmdb_metabolites-630
2332,0-6.4,Children (1-13 years old),Both,Pseudoneonatal adrenoleukodystrophy,n=1,hmdb_metabolites-630
2333,,Adult (>18 years old),Both,Oesophageal cancer,By NMR and LC-MS ,hmdb_metabolites-633
2334,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-TOFMS,hmdb_metabolites-633
2335,920-1370,Children (1-13 years old),Not Specified,Canavan disease,None,hmdb_metabolites-639
2336,16.96 +/- 19.57,Adult (>18 years old),Both,Canavan disease,None,hmdb_metabolites-639
2337,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-MS,hmdb_metabolites-639
2338,0.247 +/- 0.014,Adult (>18 years old),Both,Celiac disease,None,hmdb_metabolites-648
2339,0.2075 (0.1802) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,None,hmdb_metabolites-648
2340,0.58(0.2),Adult (>18 years old),Both,Heart failure with preserved ejection fraction,None,hmdb_metabolites-648
2341,0.63(0.32),Adult (>18 years old),Both,Heart failure with reduced ejection fraction,None,hmdb_metabolites-648
2342,0.331 +/- 0.124,Children (1-13 years old),Both,Obesity,with substantial overweight reduction,hmdb_metabolites-648
2343,0.384 +/- 0.122,Children (1-13 years old),Both,Obesity,without substantial overweight reduction,hmdb_metabolites-648
2344,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-MS,hmdb_metabolites-650
2345,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-TOFMS,hmdb_metabolites-651
2346,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-MS,hmdb_metabolites-651
2347,,Adult (>18 years old),Female,Breast cancer,By GC-MS ,hmdb_metabolites-651
2348,0.0347 +/- 0.0250,Children (1-13 years old),Both,AIDS,None,hmdb_metabolites-661
2349,0.33 +/- 0.04,Adult (>18 years old),Both,uremia,None,hmdb_metabolites-661
2350,0.0050 +/- 0.0028,Adult (>18 years old),Both,Multiple sclerosis,None,hmdb_metabolites-661
2351,,Adult (>18 years old),Both,Schizophrenia,Detected by CE-TOFMS,hmdb_metabolites-662
2352,0.076 +/- 0.004,Adult (>18 years old),Both,Celiac disease,None,hmdb_metabolites-663
2353,0.0258 (0.018) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,None,hmdb_metabolites-663
2354,0.0371 (0.0085) ,Adult (>18 years old),Female,Pregnancy,None,hmdb_metabolites-663
