,Value(uM),Patient Age,Patient Sex,Patient Information,Comment
1213,56.7(42.3-70.3),Children (1-13 uears old),Both,Environmental enteric dysfunction,n=247
1214,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-TOFMS
1215,12.67 +/- 2.86,Elderly (>65 years old),Both,Alzheimer's disease,Detected by GC-TOFMS
1216,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-MS
1217,,Adult (>18 years old),Both,Colorectal cancer,None
1218,28.6 (24.2-33.0),Children (1-13 years old),Both,Juvenile myoclonic epilepsy (JME),None
1219,30.1 (24.5-35.7),Adult (>18 years old),Both,Acute seizures,None
1220,37.2 (34.6-39.8),Adult (>18 years old),Both,Refractory localization-related epilepsy (RLE),None
1221,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-TOFMS
1222,209.0 +/- 46.0,Elderly (>65 years old),Both,Alzheimer's Disease,Detected by GC-TOFMS
1223,0.457 +/- 0.214,Elderly (>65 years old),Both,Alzheimer's disease,None
1224,0.68 +/- 0.47,Adult (>18 years old),Both,Canavan disease,None
1225,0.19 +/- 0.17 uM,Adult (>18 years old),Both,Septic shock,"In critically ill patients with major trauma, severe septic shock, or cardiogenic shock (initial Acute Physiology and Chronic Health Evaluation [APACHE] II score > or = 16)"
1226,0.19 +/- 0.17,Adult (>18 years old),Both,Cardiogenic shock,"In critically ill patients with major trauma, severe septic shock, or cardiogenic shock (initial Acute Physiology and Chronic Health Evaluation [APACHE] II score > or = 16)"
1227,0.19 +/- 0.17,Adult (>18 years old),Both,Major trauma,"In critically ill patients with major trauma, severe septic shock, or cardiogenic shock (initial Acute Physiology and Chronic Health Evaluation [APACHE] II score > or = 16)
"
1228,30.0,Adult (>18 years old),Both,Purine nucleoside phosphorylase deficiency,"In critically ill patients with major trauma, severe septic shock, or cardiogenic shock (initial Acute Physiology and Chronic Health Evaluation [APACHE] II score > or = 16)
"
1229,1.0 +/- 0.5,Adult (>18 years old),Both,Solid tumors,"In critically ill patients with major trauma, severe septic shock, or cardiogenic shock (initial Acute Physiology and Chronic Health Evaluation [APACHE] II score > or = 16)
"
1230,0.5,Children (1-13 years old),Male,Xanthinuria type 1,n=1
1231,0.6,Adult (>18 years old),Female,Xanthinuria type 1,n=1
1232,1.6 +/- 0.4,Adult (>18 years old),Both,Kidney disease,"Chronic renal failure
"
1233,13.70 +/- 12.56,Adult (>18 years old),Both,uremia,None
1234,5 +/- 3.200,Adult (>18 years old),Both,Uremia,n=42
1235,26.700 +/- 9.700,Infant (0-1 year old),Not Specified,short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency,Fasting. Patients have hyperinsulinism.
1236,27.740 +/- 9.800,Infant (0-1 year old),Female,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),n=1. P < 0.0005
1237,26.400 +/- 9.700,Infant (0-1 year old),Not Specified,Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency,Non-fasting. Patients have hyperinsulinism.
1238,,Adult (>18 years old),Both,Colorectal cancer,Non-fasting. Patients have hyperinsulinism.
1239,2.83 +/- 4.08,Children (1-13 years old),Both,Acetaminophen overdose,n = 62
1240,2.5022 (2.2864) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,n = 62
1241,10.28(3.49),Adult (>18 years old),Both,Heart failure with preserved ejection fraction,n = 62
1242,800 +/- 200,Adult (>18 years old),Both,3-Methylcrotonyl-CoA Carboxylase Deficiency,n = 62
1243,0.316 (0.091-0.760),Adult (>18 years old),Both,Very long-chain acyl-CoA dehydrogenase deficiency (vLCAD),n = 62
1244,6.82 +/- 3.64,Children (1-13 years old),Both,Obesity,with substantial overweight reduction
1245,6.79 +/- 2.28,Children (1-13 years old),Both,Obesity,without substantial overweight reduction
1246,0.466-188.842,Adult (>18 years old),Both,cobalamin deficiency,None
1247,11.2,Adult (>18 years old),Both,Heart Transplant,None
1248,22.0 (4.3-37.0),Adult (>18 years old),Both,Cobalamin deficiency,None
1249,0.480 +/- 0.062,Adult (>18 years old),Both,Alzheimer's disease,None
1250,10-15.4,Adult (>18 years old),Both,Combined malonic and methylmalonic aciduria,None
1251,1.3-4.1,Children (1-13 years old),Both,Methylmalonic aciduria mitochondrial encephelopathy Leigh-like,None
1252,5-100,Infant (0-1 year old),Both,"Methylmalonic aciduria, cblA type",None
1253,5-100,Infant (0-1 year old),Both,"Methylmalonic aciduria, cblB type",None
1254,0.8-33,Children (1-13 years old),Both,"Mitochondrial encephalomyopaththy with elevanted methylmalonic acid, SUCLA2",None
1255,2.8,Adolescent (13-18 years old),Female,Malonyl-CoA decarboxylase deficiency,None
1256,50.0 (40.0-60.0),Newborn (0-30 days old),Both,Phenylketonuria,None
1257,1.4 +/- 0.2,Adult (>18 years old),Both,Primary biliary cirrhosis,None
1258,10.22 +/- 1.33,Adult (>18 years old),Female,Gestational diabetes mellitus (GDM),None
1259,,Adult (>18 years old),Both,Lung cancer,Potential biomarker; By GC/MS
1260,,Adult (>18 years old),Both,Colorectal cancer,Potential biomarker; By GC/MS
1261,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-MS
1262,2365.1 +/- 844.5,Adult (>18 years old),Not Specified,Isovaleric acidemia,n=10; p=0.3403
1263,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-MS
1264,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-MS
1265,17-37,Children (1-13 years old),Both,2-Ketoglutarate dehydrogenase complex deficiency,Detected by GC-MS
1266,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-TOFMS
1267,3490.0 +/- 330.0,Adult (>18 years old),Not Specified,Kidney disease,"End-stage renal disease (ESRD), measured in plasma
"
1268,3485.92 +/- 329.79,Adult (>18 years old),Both,uremia,"End-stage renal disease (ESRD), measured in plasma
"
1269,,Adult (>18 years old),Both,Leukemia,"End-stage renal disease (ESRD), measured in plasma
"
1270,,Adult (>18 years old),Both,Colorectal adenoma ,With vitamin supplements
1271,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-MS
1272,522.222 +/- 383.333,Adult (>18 years old),Both,Uremia,n=12
1273,20.0 (23.0–24.0),Adult (>18 years old),Both,Ribose-5-phosphate isomerase deficiency,n=12
1274,30.5 (12.1) ,Adult (>18 years old),Female,Down syndrome pregnancy,None
1275,55.2 +/- 15.4,Children (1-13 years old),Both,Obesity,with substantial overweight reduction
1276,26.0 (10.8) ,Adult (>18 years old),Female,Pregnancy,with substantial overweight reduction
1277,60.2 +/- 18.2,Children (1-13 years old),Both,Obesity,without substantial overweight reduction
1278,65.4 +/- 30.4,Adult (>18 years old),Both,Heart Transplant,without substantial overweight reduction
1279,21 (2-83),Adult (>18 years old),Not Specified,Lysinuric protein intolerance,without substantial overweight reduction
1280,41.0 +/- 16.0,Adult (>18 years old),Both,Ornithine transcarbamylase (OTC) deficiency,without substantial overweight reduction
1281,36.83 +/- 13.32 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
1282,28.20 +/- 10.61 ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
1283,37.8 +/- 12.0,Children (1-13 years old),Both,Uremia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
1284,36.1 (11.9) ,Adult (>18 years old),Female,Early preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
1285,38.2 (15.7) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
1286,,Adult (>18 years old),Both,Colorectal cancer,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
1287,191,Newborn (0-30 days old),Male,Narp Syndrome,Post mortem measurement
1288,23-54,Children (1-13 years old),Male,Narp Syndrome,Post mortem measurement
1289,20-153,Infant (0-1 year old),Both,Narp Syndrome,Post mortem measurement
1290,,Adult (>18 years old),Both,Schizophrenia,Detected by FIA-MS
1291,25.15 (7.57) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,Detected by FIA-MS
1292,22.37 (8.47) ,Adult (>18 years old),Female,Pregnancy,Detected by FIA-MS
1293,33 +/- 29 (9-98),Children (1-13 years old),Female,Pearson Syndrome,Age is 9-23 months old
1294,1066(798-1321),Adult (>18 years old),Both,Hyperornithinemia with gyrate atrophy,Age is 9-23 months old
1295,33 +/- 15,Children (1-13 years old),Both,"Cutis laxa, autosomal recessive, type IIIA",Age is 9-23 months old
1296,19,Infant (0-1 year old),Female,Pearson Syndrome,Age is 9-23 months old
1297,36.8 (17.4) ,Adult (>18 years old),Female,Late-onset preeclampsia,Age is 9-23 months old
1298,42.3 (22.5) ,Adult (>18 years old),Female,Pregnancy,Age is 9-23 months old
1299,74.9(54.3-116.5),Children (1-13 uears old),Both,Environmental enteric dysfunction,n=247
1300,68.35 +/- 22.43,Adult (>18 years old),Both,Alzheimer's disease,n=247
1301,77,Infant (0-1 year old),Male,Fumaric aciduria,n=247
1302,32-167,Newborn (0-30 days old),Male,N-Acetylglutamate synthetase deficiency,n=247
1303,32.3 (22.4-53.9),Adult (>18 years old),Both,Lysinuric protein intolerance,median (interquartile range)
1304,4-22,Children (1 - 13 years old),Both,Lysinuric protein intolerance,median (interquartile range)
1305,42-290,Children (1-13 years old),Male,N-acetylglutamate synthetase deficiency,n=1
1306,53-152,Infant (0-1 year old),Male,N-Acetylglutamate synthetase deficiency,With Carbamylglutamate treatment.
1307,<0.000150,Adult (>18 years old),Not Specified,Dopamine Beta-Hydroxylase Deficiency,None
1308,0.001 +/- 0.0013,Adult (>18 years old),Both,Heat stress,None
1309,0.004 +/- 0.022,Adult (>18 years old),Both,Pheochromocytoma ,None
1310,0.012 +/- 0.005,Adult (>18 years old),Both,uremia,None
1311,0.0037 +/- 0.00048,Adult (>18 years old),Both,Subarachnoid hemorrhage,None
1312,0.00077 +/- 0.00129,Adult (>18 years old),Both,Methamphetamine (MAP) psychosis,Flashbackers during flashbacks
1313,0.00093 +/- 0.00158,Adult (>18 years old),Both,Methamphetamine (MAP) psychosis,Neuroleptic-treated flashbackers
1314,0.00063 +/- 0.00101,Adult (>18 years old),Both,Methamphetamine (MAP) psychosis,Later-treated flashbackers
1315,0.00050 +/- 0.00061,Adult (>18 years old),Both,Methamphetamine (MAP) psychosis,Subjects with persistent methamine (MAP) psychosis
1316,24.4 (21.5 - 27.4),Adult (>18 years old),Both,Pellagra,None
1317,,Adult (>18 years old),Both,Colorectal cancer,None
1318,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-TOFMS
1319,,Adult (>18 years old),Female,Breast cancer,By GC-MS 
1320,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-MS
1321,1.909 (1.012-2.233),Adult (>18 years old),Both,Very long-chain acyl-CoA dehydrogenase deficiency (vLCAD),None
1322,0.097 +/- 0.006,Adult (>18 years old),Both,Celiac disease,None
1323,0.13 +/- 0.09,Children (1-13 years old),Both,Acetaminophen overdose,n = 62
1324,0.046 (0.0375) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,n = 62
1325,0.14(0.04),Adult (>18 years old),Both,Heart failure with preserved ejection fraction,n = 62
1326,0.096 +/- 0.032,Children (1-13 years old),Both,Obesity,with substantial overweight reduction
1327,0.101 +/- 0.026,Children (1-13 years old),Both,Obesity,without substantial overweight reduction
1328,38.506 +/- 91.954,Adult (>18 years old),Both,Uremia,n=22
1329,0.94 +/- 0.78,Adult (>18 years old),Both,Canavan disease,n=22
1330,0.012 +/- 0.002,Adult (>18 years old),Both,Smith-Lemli-Opitz syndrome,None
1331,70-540,Infant (0-1 year old),Both,Mevalonic aciduria,None
1332,20-140,Children (1-13 years old),Both,Mevalonic aciduria,None
1333,58.44 +/- 39.32,Adult (>18 years old),Both,uremia,None
1334,28.723 +/- 41.489,Adult (>18 years old),Both,Uremia,n=10
1335,,Adult (>18 years old),Both,Colorectal cancer,n=10
1336,0.0402,Infant (0-1 year old),Female,Nicotinamide Adenine Dinucleotide Deficiency,None
1337,8.982 +/- 5.389,Adult (>18 years old),Both,Uremia,n=54
1338,<0.000104,Newborn (0-30 days old),Female,"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete",n=1
1339,0.000624-0.0156,Newborn (0-30 days old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1
1340,9.31 (3.31-19.95),Adult (>18 years old),Male,Cadmium exposure,n=1
1341,0.00385,Adult (>18 years old),Female,21-hydroxylase deficiency,n=1
1342,0.00121-0.0118,Adult (>18 years old),Male,Woodhouse-Sakati syndrome,n=1
1343,0.00198-0.00368,Adult (>18 years old),Female,21-hydroxylase deficiency,n=1
1344,0.010 +/- 0.013,Adolescent (13-18 years old),Male,Hypogonadism,n=1
1345,0.00900-0.0360,Adult (>18 years old),Male,X-linked ichthyosis,n=1
1346,,Adult (>18 years old),Male,Prostate cancer,Prognosis biomarker
1347,<0.000140,Adult (>18 years old),Female,Lipoid Adrenal Hyperplasia,Prognosis biomarker
1348,<0.000140,Adolescent (13-18 years old),Female,Lipoid Adrenal Hyperplasia,Prognosis biomarker
1349,0.00243,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1
1350,,Adult (>18 years old),Female,Schizophrenia,Detected by GC-MS
1351,0.00150-0.00420,Children (1-13 years old),Both,11-beta-hydroxylase deficiency,Detected by GC-MS
1352,<0.000002,Children (1-13 years old),Female,Aromatase deficiency,This is the free testosterone. n=1
1353,<0.000693,Adolescent (13-18 years old),Female,"Adrenal hyperplasia, congenital, due to 17-alpha-hydroxylase deficiency","n=1. Significantly lower than normal, but no p value"
1354,0.00933,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency","With Dexamethasone and Hydrocortisone treatment, high dose."
1355,0.00184,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency","With Dexamethasone and Hydrocortisone treatment, standard dose."
1356,0.035 +/- 0.006,Elderly (>65 years old),Both,Hemodialysis,"Patients with Thiamine deficiency
"
1357,0.18 +/- 0.066,Adult (>18 years old),Both,Friedreich's ataxia,"Patients with Thiamine deficiency
"
1358,0.17 +/- 0.051,Adult (>18 years old),Both,Olivopontocerebellar atrophy (OPCA),"Patients with Thiamine deficiency
"
1359,7.500-119.700,Children (1-13 years old),Both,Propionic acidemia,n=3
1360,9.200-57.400,Children (1-13 years old),Both,Methylmalonic acidaemia,n=4
1361,0.119 +/- 0.038,Adult (>18 years old),Both,Homozygous sickle cell disease,None
1362,3.75 +/- 0.88,Adult (60 years old),Both,Acute Infectious Pneumonia,Patients were between 63 and 86 years old.
1363,0-1.244,Adult (>18 years old),Male,"Protoporphyria, Erythropoietic",None
1364,77.9 (32.4) ,Adult (>18 years old),Female,Down syndrome pregnancy,None
1365,61.0 (26.4) ,Adult (>18 years old),Female,Pregnancy,None
1366,150 (120-170),Adult (>18 years old),Both,"Myopathy with lactic acidosis, hereditary",At rest
1367,500,Infant (0-1 year old),Female,"Fructose-1,6-bisphosphatase deficiency",During episode of lactic acidosis
1368,1090 (650-1520),Adult (>18 years old),Both,"Myopathy with lactic acidosis, hereditary",Exercise at high pulse rate
1369,710,Adult (>18 years old),Both,"Myopathy with lactic acidosis, hereditary",Exercise at moderate pulse rate
1370,800-900,Newborn (0-30 days old),Female,Mitochondrial pyruvate carrier deficiency,Exercise at moderate pulse rate
1371,670 +/- 990,Children (1-13 years old),Both,Pyruvate dehydrogenase deficiency (E1),Exercise at moderate pulse rate
1372,560 +/- 830,Children (1-13 years old),Both,Pyruvate dehydrogenase deficiency E1-alpha,Exercise at moderate pulse rate
1373,400,Infant (0-1 year old),Male,Pyruvate dehydrogenase phosphatase deficiency,Exercise at moderate pulse rate
1374,50.2 +/- 40,Adult (>18 years old),Both,Heart Transplant,Exercise at moderate pulse rate
1375,60-240,Infant (0-1 year old),Male,2-Ketoglutarate dehydrogenase complex deficiency,In children of 0-32 months old
1376,499.647,Infant (0-1 year old),Male,Leigh Syndrome,In children of 0-32 months old
1377,74.66 +/- 35.11 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
1378,59.70 +/- 23.3 ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
1379,500,Infant (0-1 year old),Male,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,n=1
1380,89.3 (27.0) ,Adult (>18 years old),Female,Early preeclampsia,n=1
1381,400-40200,Newborn (0-30 days old),Both,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,n=2
1382,71.3 (26.7),Adult (>18 years old),Female,Pregnancy,n=2
1383,,Adult (>18 years old),Both,Colorectal cancer,n=2
1384,102-230,Children (1-13 years old),Both,2-Ketoglutarate dehydrogenase complex deficiency,n=2
1385,,Adult (>18 years old),Both,gastric cancer,By GC-MS. Potential diagnostic marker for gastric cancer 
1386,270,Newborn (0-30 days old),Male,2-Ketoglutarate dehydrogenase complex deficiency,By GC-MS. Potential diagnostic marker for gastric cancer 
1387,5-440,Children (1-13 years old),Both,2-Ketoglutarate dehydrogenase complex deficiency,By GC-MS. Potential diagnostic marker for gastric cancer 
1388,,Adult (>18 years old),Both,Colorectal cancer,By GC-MS and UPLC-MS
1389,63.92 (19.24),Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,By GC-MS and UPLC-MS
1390,54.52 (25.5) ,Adult (>18 years old),Female,Pregnancy,By GC-MS and UPLC-MS
1391,83.1 (45.8) ,Adult (>18 years old),Female,Late-onset preeclampsia,By GC-MS and UPLC-MS
1392,62.1 (24.1) ,Adult (>18 years old),Female,Pregnancy,By GC-MS and UPLC-MS
1393,120(80-160),Infant (0-1 year old),Both,GRACILE syndrome,Concentration: median(IQ25-IQ75). n=16. Higher than control
1394,160-320,Infant (0-1 year old),Male,Dihydrolipoamide Dehydrogenase Deficiency,Concentration: median(IQ25-IQ75). n=16. Higher than control
1395,440,Children (1-13 years old),Male,Lipoyltransferase 1 Deficiency,Concentration: median(IQ25-IQ75). n=16. Higher than control
1396,93.5 (27.0-160.0),Adult (>18 years old),Both,"3-methylglutaconic aciduria type II, X-linked",Concentration: median(IQ25-IQ75). n=16. Higher than control
1397,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-TOFMS
1398,313 +/- 31,Infant (0-1 year old),Male,Glucagon deficiency,n=7
1399,60,Children (1-13 years old),Male,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,During fasting.
1400,0.015 +/- 0.018,Adolescent (13-18 years old),Female,Anorexia nervosa,None
1401,0.00502,Adolescent (13-18 years old),,Brown-Vialetto-Van Laere Syndrome 1,None
1402,3.1 +/- 1.0,Adult (>18 years old),Both,Porphyria,"Acute intermittent porphyria gene carriers
n=10 (5 men and 5 women)
"
1403,6.3 (0.3-25.6),Adult (>18 years old),Both,Tetrahydrofuran exposure,"Occupational exposure to tetrahydrofuran
"
1404,17.0330 +/- 11.538,Adult (>18 years old),Both,Uremia,n=12
1405,0.0000185 +/- 0.0000052,Adult (>18 years old),Both,Hypothyroidism,None
1406,0.057 +/- 0.0058,Children (1-13 years old),Both,Malnutrition (type kwashiorkor and marasmus),None
1407,0.000011 +/- 0.0000016,Adolescent (13-18 years old),Female,Anorexia nervosa,None
1408,<0.0100,Children (1-13 years old),Male,"Pituitary Hormone Deficiency, Combined, 1",Total T4
1409,0.0540-0.112,Newborn (0-30 days old),Both,Pendred Syndrome,Total T4
1410,0.0260-0.164,Infant (0-1 year old),Male,Pendred Syndrome,Total T4
1411,0.0953,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1
1412,23-55.2,Children (1-13 years old),Both,"Hypothyroidism, congenital, nongoitrous, 2",Total T4. Lower than control
1413,0.000009,Children (1-13 years old),Female,"Pituitary Hormone Deficiency, Combined, 1",Free T4
1414,0.00000219,Adult (>18 years old),Male,"Pituitary Hormone Deficiency, Combined, 1",Free T4
1415,0.00000557,Children (1-13 years old),Male,"Pituitary Hormone Deficiency, Combined, 1",Free T4
1416,0.000009,Adult (>18 years old),Female,Proprotein Convertase 1/3 Deficiency,Free T4
1417,0.0180-0.0206,Children (1-13 years old),Male,"Hypothyroidism, congenital, nongoitrous, 2",Total T4. Lower than control
1418,0.0579,Newborn (0-30 days old),Male,"Diabetes Mellitus, Congenital Insulin-dependent, With Fatal Secretory Diarrhea; Immunodeficiency, Polyendocrinopathy, and Enteropathy, X-linked, Formerly",Total T4. Lower than control
1419,0.0747,Infant (0-1 year old),Female,Leptin Deficiency or Dysfunction,Total T4. Lower than control
1420,188,Infant (0-1 year old),Male,Sulfite oxidase deficiency,n=1
1421,117.0 +/- 7.0,Adult (>18 years old),Both,Heart failure,"Non-diabetic patients with chronic heart failure
"
1422,67 +/- 20,Adult (>18 years old),Male,Schizophrenia,"Non-diabetic patients with chronic heart failure
"
1423,68 +/- 14,Adult (>18 years old),Female,Schizophrenia,"Non-diabetic patients with chronic heart failure
"
1424,182.7(150.9-226.9),Children (1-13 uears old),Both,Environmental enteric dysfunction,n=247. p<0.0001 (vs no environmental enteric dysfunction group)
1425,,Adult (>18 years old),Both,Lung cancer,"Potential biomarker; By LC-Q-TOF/MS
"
1426,0.00401,Newborn (0-30 days old),Female,"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete",n=1
1427,0.00082 +/- 0.00071,Adult (>18 years old),Female,Premenstrual dysphoric disorder (follicular stage of menstrual cycle),n=1
1428,,Adult (>18 years old),Male,Schizophrenia,Detected by GC-MS
1429,,Adult (>18 years old),Female,Schizophrenia,Detected by GC-MS
1430,0.0423 +/- 0.0130,Adult (>18 years old),Female,Prepartum depression,"n=9, 26-28 weeks pregnant with depression
"
1431,0.0684 +/- 0.0222,Adult (>18 years old),Female,Prepartum depression,"n=6, 36-38 weeks pregnant with depression
"
1432,0.00974 +/- 0.00371,Adult (>18 years old),Female,Postpartum depression,"n=5, 2-7 days postpartum with symptoms of the ""blues""
"
1433,0.00209 +/- 0.00090,Adult (>18 years old),Female,Postpartum depression,"n=5, 13-18 days postpartum with depression
"
1434,0.00179 +/- 0.00108,Adult (>18 years old),Female,Premenstrual dysphoric disorder (mid luteal stage of menstrual cycle),"n=5, 13-18 days postpartum with depression
"
1435,0.00169 +/- 0.00107,Adult (>18 years old),Female,Premenstrual dysphoric disorder (late luteal stage of menstrual cycle),"n=5, 13-18 days postpartum with depression
"
1436,5.3 (5.6) ,Adult (>18 years old),Female,Down syndrome pregnancy,None
1437,5.6 (12.5) ,Adult (>18 years old),Female,Pregnancy,None
1438,6.90 +/- 6.33 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
1439,6.50 +/- 10.83 ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
1440,4.3 (1.6) ,Adult (>18 years old),Female,Early preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
1441,12.4 (13.9) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
1442,3.35 (1.78),Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
1443,3.31 (1.13) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
1444,150.0 (110.0-230.0),Adult (>18 years old),Both,Hydrogen sulfide fatal poisoning,None
1445,0.61 +/- 0.096,Adult (>18 years old),Both,Schizophrenia,Detected by HPLC
1446,1.4(0.96-1.98),Children (1-13 uears old),Both,Environmental enteric dysfunction,n=247. p=0.02 (vs no environmental enteric dysfunction group)
1447,1390.0 +/- 150.0,Adult (>18 years old),Both,Solid tumors,Patients (three head and neck cancers; two colon cancer; one soft tissue sarcoma; and four melanomas) receive thymidine treatment. 
1448,0.0011 +/- 0.00024,Children (1-13 years old),Both,Malnutrition (type kwashiorkor and marasmus),None
1449,0.0014 +/- 0.0004,Adolescent (13-18 years old),Female,Anorexia nervosa,None
1450,0.00169,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1
1451,0.0000041,Adult (>18 years old),Female,Proprotein Convertase 1/3 Deficiency,n=1
1452,87.00 (13.00-161.00),Adult (>18 years old),Both,Glutathione synthetase deficiency,None
1453,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-TOFMS
1454,3.5 (3.00-4.00),Children (1-13 years old),Both,Glutathione synthetase deficiency,Detected by GC-TOFMS
1455,,Adult (>18 years old),Both,Colorectal cancer,None
1456,300.0 (80.0-603.0),Children (1-13 years old),Both,Sarcosinemia,None
1457,0,Adult (>18 years old),Male,Dimethylglycinuria,None
1458,,Adult (>18 years old),Both,gastric cancer,By GC-MS. Potential biomarker for the progression of gastric cancer metastasis 
1459,,Adult (>18 years old),Both,Colorectal cancer,By ESI-MS/MS 
1460,654.1,Infant (0-1 year old),Female,Sarcosinemia,n=1
1461,200-300,Children (1-13 years old),Female,Sarcosinemia,n=1
1462,238-379,Adult (>18 years old),Male,Sarcosinemia,n=1 over time period
1463,0.31 +/- 0.09,Adult (>18 years old),Both,Canavan disease,None
1464,,Adult (>18 years old),Both,Hepatocellular carcinoma ,By LC-MS/MS 
1465,,Adult (>18 years old),Both,Liver Cirrhosis,By LC-MS/MS 
1466,2.4 (0.0-5.0),Adult (>18 years old),Both,Ribose-5-phosphate isomerase deficiency,None
1467,231.991-243.887,Adult (>18 years old),Male,Primary Hypomagnesemia,n=1
1468,643 +/- 274,Adult (>18 years old),Male,Lesch-Nyhan syndrome,p<0.01 vs control
1469,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-MS
1470,170-270,Adult (>18 years old),Female,Cerebral creatine deficiency syndrome 2,Detected by GC-MS
1471,350-770,Children (1-13 years old),Male,D-Lactic Acidosis,Detected by GC-MS
1472,95.176,Children (1-13 years old),Female,Fanconi Bickel syndrome,Detected by GC-MS
1473,244,Infant (0-1 year old),Male,Sulfite oxidase deficiency,n=1
1474,,Adult (>18 years old),Both,Schizophrenia,Detected by UPLC-MS/MS
1475,400.0 +/- 103.2,Adult (>18 years old),Male,Diabetes,"High risk for type 2 diabetes.

A higher risk of type 2 diabetes mellitus (DM) was defined as: (1) first-degree relative with
DM or (2) previous fasting plasma glucose >= 5.4 mmol/L. Subjects
were consecutively included from the outpatient clinic of the Diabetes
Unit of the Hospital Clinic, who attended a diabetes prevention program.
None had known their oral glucose tolerance state before inclusion
in this study, and none was receiving a diuretic treatment.
"
1476,368.2 +/- 115.0,Adult (>18 years old),Female,Diabetes,"High risk for type 2 diabetes.

A higher risk of type 2 diabetes mellitus (DM) was defined as: (1) first-degree relative with DM or (2) previous fasting plasma glucose >= 5.4 mmol/L. Subjects were consecutively included from the outpatient clinic of the Diabetes Unit of the Hospital Clinic, who attended a diabetes prevention program. None had known their oral glucose tolerance state before inclusion in this study, and none was receiving a diuretic treatment.
"
