,Name,Accession,Patient Sex,min_age,max_age,min_range,max_range,Disease
1586,17-Hydroxyprogesterone,HMDB0000374,Not Specified,1,13,-0.0002000000000000001,0.0036,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
1589,17-Hydroxyprogesterone,HMDB0000374,Both,0,0.003,0.0074,0.296,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
1590,17-Hydroxyprogesterone,HMDB0000374,Both,1,13,0.0045,0.184,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
1591,17-Hydroxyprogesterone,HMDB0000374,Not Specified,0,1,0.0003399999999999998,0.0032199999999999998,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
1592,17-Hydroxyprogesterone,HMDB0000374,Both,1,13,0.00089,0.00289,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
1593,17-Hydroxyprogesterone,HMDB0000374,Female,18,64,0.00019999999999999966,0.0046,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
1594,17-Hydroxyprogesterone,HMDB0000374,Male,18,64,0.0015,0.0051,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
1596,17-Hydroxyprogesterone,HMDB0000374,Female,18,64,0,0.00045,Lipoid Adrenal Hyperplasia
1597,17-Hydroxyprogesterone,HMDB0000374,Female,0,1,0,0.00045,Lipoid Adrenal Hyperplasia
1598,17-Hydroxyprogesterone,HMDB0000374,Female,13,18,0,0.00045,Lipoid Adrenal Hyperplasia
1600,17-Hydroxyprogesterone,HMDB0000374,Both,1,13,0.0013,0.0591,11-beta-hydroxylase deficiency
1601,17-Hydroxyprogesterone,HMDB0000374,Female,0,0.003,0.216,0.265,11-beta-hydroxylase deficiency
1602,17-Hydroxyprogesterone,HMDB0000374,Both,0,1,0.0147,0.042,Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis
1603,17-Hydroxyprogesterone,HMDB0000374,Both,18,64,0.0022,0.302,Phenylketonuria
1604,17-Hydroxyprogesterone,HMDB0000374,Both,18,64,3e-05,0.0028,21-hydroxylase deficiency
1605,17-Hydroxyprogesterone,HMDB0000374,Both,1,13,0.009,0.024,21-Hydroxylase Deficiency (CYP21)
1606,17-Hydroxyprogesterone,HMDB0000374,Not Specified,0,0.003,0,0.003,21-hydroxylase deficiency
1607,17-Hydroxyprogesterone,HMDB0000374,Not Specified,0,0.003,0.3,9999,21-hydroxylase deficiency
1608,3-Hydroxydodecanoic acid,HMDB0000387,Both,18,64,0.2,1.4,Fatty Acid Oxidation disorder with supplementation of MCT formula
1610,2-Pyrocatechuic acid,HMDB0000397,Both,18,64,0.079,0.14100000000000001,Idiopathic oro-facial pain
1611,2-Methoxyestradiol,HMDB0000405,Female,18,64,0.0033,0.021,Ovarian cancer
1612,2-Hydroxy-3-methylbutyric acid,HMDB0000407,Female,18,64,2.9000000000000004,10.9,Down syndrome pregnancy
1613,2-Hydroxy-3-methylbutyric acid,HMDB0000407,Female,18,64,1.2999999999999998,6.8999999999999995,Pregnancy
1618,"24,25-Dihydroxyvitamin D",HMDB0000430,Male,18,64,0.0013999999999999998,0.007599999999999999,Anephrism
1620,5-Hydroxylysine,HMDB0000450,Both,65,99,0.472,0.528,Alzheimer's disease
1622,L-alpha-Aminobutyric acid,HMDB0000452,Both,18,64,21.0,27.0,Kidney disease
1623,L-alpha-Aminobutyric acid,HMDB0000452,Both,18,64,17.619999999999997,21.96,Alzheimer's disease
1625,Allantoin,HMDB0000462,Both,18,64,14.0,27.0,Chronic Renal Failure
1629,Calcium,HMDB0000464,Both,1,13,1250.0,1910.0,Primary Hypomagnesemia
1630,Calcium,HMDB0000464,Both,1,13,2380.0,2640.0,"Bartter Syndrome, Type 3"
1631,Calcium,HMDB0000464,Male,18,64,2395.329,2869.405,Primary Hypomagnesemia
1632,Calcium,HMDB0000464,Male,18,64,798.443,1047.956,Primary Hypomagnesemia
1633,Calcium,HMDB0000464,Both,18,64,1355.0,1919.0,Multiple sclerosis
1634,Calcium,HMDB0000464,Both,18,64,1434.0,1932.0,Parkinson's disease
1636,Calcium,HMDB0000464,,0,1,1290.0,1860.0,Mitochondrial trifunctional protein deficiency
1637,Calcium,HMDB0000464,Both,18,64,1110.0,1270.0,Digeorge Syndrome
1640,Calcium,HMDB0000464,Both,0,1,1200.0,2290.0,Hypoparathyroidism-retardation-dysmorphism syndrome
1644,Calcium,HMDB0000464,Not Specified,1,13,2200.0,2600.0,Oculocerebrorenal Syndrome of Lowe
1645,Calcium,HMDB0000464,Both,65,99,1582.0,1846.0,Alzheimer's disease
1648,5-Hydroxymethyluracil,HMDB0000469,Both,18,64,80.0,96.0,Solid tumors
1649,5-Hydroxymethyluracil,HMDB0000469,Both,18,64,21.0,63.0,Solid tumors
1650,5-Hydroxymethyluracil,HMDB0000469,Both,18,64,13.0,17.0,Solid tumors
1651,5-Hydroxymethyluracil,HMDB0000469,Both,18,64,58.0,68.0,Solid tumors
1652,5-Hydroxymethyluracil,HMDB0000469,Both,18,64,29.0,37.0,Solid tumors
1653,Butanone,HMDB0000474,Both,18,64,69.0,1998.0,Alcohol intoxication
1654,3-Methylhistidine,HMDB0000479,Both,18,64,2.5999999999999996,23.4,Kidney disease
1655,3-Methylhistidine,HMDB0000479,Both,18,64,5.099999999999998,42.3,Kidney disease
1656,3-Methylhistidine,HMDB0000479,Female,18,64,37.800000000000004,63.6,Early preeclampsia
1657,3-Methylhistidine,HMDB0000479,Female,18,64,35.4,64.6,Pregnancy
1658,3-Methylhistidine,HMDB0000479,Both,65,99,3.89,6.43,Alzheimer's disease
1659,Etiocholanolone,HMDB0000490,Both,18,64,0.0031000000000000003,0.0049,Familial Mediterranean Fever
1663,3-Methyl-2-oxovaleric acid,HMDB0000491,Both,18,64,133.0,151.0,Maple syrup urine disease (MSUD)
1665,Chloride ion,HMDB0000492,Both,1,13,74000.0,95000.0,"Bartter Syndrome, Type 3"
1667,Chloride ion,HMDB0000492,Both,0,1,102000.0,140000.0,"Renal tubular acidosis, distal, RTA type 1"
1668,Chloride ion,HMDB0000492,Both,0,0.003,110000.0,116000.0,"Renal tubular acidosis, distal, RTA type 1"
1669,Chloride ion,HMDB0000492,Both,18,64,111000.0,114000.0,"Renal tubular acidosis, distal, RTA type 1"
1670,Chloride ion,HMDB0000492,Both,1,13,94000.0,116000.0,"Renal tubular acidosis, distal, RTA type 1"
1671,Chloride ion,HMDB0000492,Male,18,64,96000.0,100000.0,Primary Hypomagnesemia
1672,Chloride ion,HMDB0000492,Female,0,0.003,86000.0,87000.0,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness"
1674,Chloride ion,HMDB0000492,Female,1,13,81000.0,97000.0,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness"
1675,Chloride ion,HMDB0000492,Both,0,1,108000.0,115000.0,Congenital secretory diarrhea
1676,Chloride ion,HMDB0000492,Both,1,13,53000.0,88000.0,Congenital chloride diarrhea
1678,Chloride ion,HMDB0000492,Male,0,0.003,84000.0,100000.0,"Bartter Syndrome, Type 5, Antenatal, Transient"
1681,Stigmastanol,HMDB0000494,Both,18,64,165.2,170.8,Phytosterolemia
1682,5-Tetradecenoic acid,HMDB0000499,Not Specified,18,64,14.3,84.0,Very long-chain acyl-CoA dehydrogenase deficiency (vLCAD)
1683,Ribitol,HMDB0000508,Both,65,99,0.47000000000000003,0.63,Alzheimer's disease
1685,Ribitol,HMDB0000508,Both,18,64,6.0,35.0,Ribose-5-phosphate isomerase deficiency
1686,Aminoadipic acid,HMDB0000510,Both,18,64,7.0,8.0,alpha-Aminoadipic aciduria
1687,Aminoadipic acid,HMDB0000510,Both,1,13,0.7,3.17,Environmental enteric dysfunction
1690,Aminoadipic acid,HMDB0000510,Both,1,13,30.0,80.0,2-Ketoadipic Acidemia
1691,L-Arginine,HMDB0000517,Not Specified,0,0.003,68.0,422.0,Argininemia
1692,L-Arginine,HMDB0000517,Female,18,64,88.3,162.89999999999998,Down syndrome pregnancy
1693,L-Arginine,HMDB0000517,Female,18,64,81.99999999999999,183.39999999999998,Pregnancy
1694,L-Arginine,HMDB0000517,Both,18,64,6.0,140.0,Argininemia
1696,L-Arginine,HMDB0000517,Male,0,0.003,19.0,103.0,N-Acetylglutamate synthetase deficiency
1697,L-Arginine,HMDB0000517,Male,0,1,35.0,178.0,N-Acetylglutamate synthetase deficiency
1698,L-Arginine,HMDB0000517,Male,1,13,44.5,256.0,N-acetylglutamate synthetase deficiency
1699,L-Arginine,HMDB0000517,Both,18,64,33.2,63.4,Lysinuric protein intolerance
1700,L-Arginine,HMDB0000517,Both,1,13,6.8,94.4,Citrullinemia Type I
1701,L-Arginine,HMDB0000517,Both,18,64,62.39999999999999,140.8,Chronic renal failure
1702,L-Arginine,HMDB0000517,Not Specified,18,64,12.0,58.0,Lysinuric protein intolerance
1704,L-Arginine,HMDB0000517,Female,18,64,84.38,137.56,Pregnancy with fetuses with trisomy 18
1705,L-Arginine,HMDB0000517,Female,18,64,83.11999999999999,162.51999999999998,Pregnancy
1706,L-Arginine,HMDB0000517,Female,18,64,96.9,129.9,Early preeclampsia
1707,L-Arginine,HMDB0000517,Female,18,64,95.4,153.0,Pregnancy
1708,L-Arginine,HMDB0000517,Both,18,64,23.0,67.0,Permanent Intestinal Failure
1710,L-Arginine,HMDB0000517,Male,1,13,24.0,47.0,Narp Syndrome
1711,L-Arginine,HMDB0000517,Both,0,1,18.0,156.0,Narp Syndrome
1712,L-Arginine,HMDB0000517,Both,1,13,12.0,59.0,"Phosphoenolpyruvate Carboxykinase Deficiency 1, Cytosolic"
1715,L-Arginine,HMDB0000517,Both,1,13,67.7,97.9,Environmental enteric dysfunction
1716,L-Arginine,HMDB0000517,Both,18,64,100.27,151.26999999999998,Heart failure with preserved ejection fraction
1717,L-Arginine,HMDB0000517,Both,18,64,100.72,135.66,Heart failure with reduced ejection fraction
1718,L-Arginine,HMDB0000517,Female,18,64,80.80000000000001,191.8,Late-onset preeclampsia
1719,L-Arginine,HMDB0000517,Female,18,64,95.29999999999998,167.1,Pregnancy
1720,L-Arginine,HMDB0000517,Both,65,99,78.24000000000001,104.44,Alzheimer's disease
1721,L-Arginine,HMDB0000517,Female,1,13,11.0,121.0,Pearson Syndrome
1722,L-Arginine,HMDB0000517,Both,0,0.003,148.0,315.0,"Citrullinemia type II, neonatal-onset"
1723,L-Arginine,HMDB0000517,Both,1,13,23.0,47.0,"Cutis laxa, autosomal recessive, type IIIA"
1724,L-Arginine,HMDB0000517,Male,1,13,60.2,91.60000000000001,Duchenne Muscular Dystrophy
1726,L-Arginine,HMDB0000517,Both,1,13,86.4,129.6,Obesity
1727,L-Arginine,HMDB0000517,Both,1,13,97.80000000000001,138.0,Obesity
1728,L-Arginine,HMDB0000517,Both,1,13,1000.0,1500.0,Argininemia
1729,L-Arginine,HMDB0000517,Both,18,64,211.0,225.0,Heart failure
1731,L-Arginine,HMDB0000517,Female,1,13,252.0,1579.2,Argininemia
1732,Chenodeoxycholic acid,HMDB0000518,Both,18,64,3.3,46.3,Biliary cirrhosis
1733,Chenodeoxycholic acid,HMDB0000518,Both,18,64,0.8,28.0,Biliary cirrhosis
1734,Chenodeoxycholic acid,HMDB0000518,Both,0,0.003,4.9,9.9,Extrahepatic biliary atresia (EHBA)
1735,Chenodeoxycholic acid,HMDB0000518,Both,0,1,0.1,0.2,Severe acute malnutrition
1736,Chenodeoxycholic acid,HMDB0000518,Both,18,64,2.41,3.25,Cystic fibrosis
1737,Chenodeoxycholic acid,HMDB0000518,Both,1,13,2.19,3.31,Cystic fibrosis
1738,5Z-Tetradecenoic acid,HMDB0000521,Both,1,13,41.0,389.0,Very long-chain acyl-CoA dehydrogenase deficiency (vLCAD)
1739,5Z-Tetradecenoic acid,HMDB0000521,Both,1,13,17.0,205.0,Long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency
1740,5Z-Tetradecenoic acid,HMDB0000521,Both,1,13,-17.0,153.0,Multiple acyl-CoA dehydrogenase deficiency
1741,5alpha-Tetrahydrocortisol,HMDB0000526,Both,18,64,0.014,0.032,Anorexia nervosa
1742,Campestanol,HMDB0000534,Both,18,64,92.0,101.80000000000001,Phytosterolemia
1745,Magnesium,HMDB0000547,Both,1,13,760.0,1000.0,"Bartter Syndrome, Type 3"
1746,Magnesium,HMDB0000547,Both,18,64,1292.0,1776.0,Multiple sclerosis
1747,Magnesium,HMDB0000547,Both,18,64,659.0,927.0,Parkinson's disease
1749,Magnesium,HMDB0000547,Both,1,13,130.0,350.0,Primary Hypomagnesemia
1750,Magnesium,HMDB0000547,Both,1,13,320.0,610.0,Primary Hypomagnesemia
1753,Magnesium,HMDB0000547,Female,18,64,540.0,620.0,"Seizures, sensorineural deafness, ataxia, mental retardation, and electrolyte imbalance (SESAMES)"
1757,Magnesium,HMDB0000547,Both,18,64,288.00658,905.164,Gitelman syndrome
1761,Magnesium,HMDB0000547,Both,18,64,663.0,863.0,Alzheimer's disease
1763,3-Methylglutarylcarnitine,HMDB0000552,Female,18,64,0.016300000000000002,0.0817,Pregnancy with fetus having congenital heart defect
1764,L-Alloisoleucine,HMDB0000557,Not Specified,1,13,11.600000000000001,39.6,Maple syrup urine disease
1765,L-Alloisoleucine,HMDB0000557,Both,1,13,126.0,128.0,Maple syrup urine disease (MSUD)
1766,L-Alloisoleucine,HMDB0000557,Not Specified,0,0.003,1.5,2.6,2-Methylbutyryl-CoA dehydrogenase deficiency (SBACDD)
1767,beta-Carotene,HMDB0000561,Not Specified,18,64,0.02100000000000002,0.381,Obese
1768,beta-Carotene,HMDB0000561,Not Specified,18,64,-0.0010000000000000009,0.499,Overweight
1770,beta-Carotene,HMDB0000561,Both,18,64,0.13,0.65,Type I diabetes
1771,beta-Carotene,HMDB0000561,Not Specified,1,13,0.07,0.33,Obese
1772,beta-Carotene,HMDB0000561,Not Specified,1,13,0.14,0.52,Overweight
1773,beta-Carotene,HMDB0000561,Female,18,64,0.15,0.45,Endometrial cancer
1775,Creatinine,HMDB0000562,Female,18,64,37.5,62.7,Down syndrome pregnancy
1776,Creatinine,HMDB0000562,Female,18,64,36.1,59.9,Pregnancy
1777,Creatinine,HMDB0000562,Both,18,64,42.400000000000006,131.4,Heart Transplant
1778,Creatinine,HMDB0000562,Both,18,64,396.5,484.9,Chronic renal failure
1781,Creatinine,HMDB0000562,Both,1,13,45.0,104.0,Primary Hypomagnesemia
1782,Creatinine,HMDB0000562,Both,18,64,25.799999999999997,54.8,Hyperoxalemia
1783,Creatinine,HMDB0000562,Female,18,64,33.0,37.0,Cerebral creatine deficiency syndrome 2
1784,Creatinine,HMDB0000562,Female,18,64,41.9,69.9,Pregnancy with fetuses with trisomy 18
1785,Creatinine,HMDB0000562,Female,18,64,39.1,68.3,Pregnancy
1786,Creatinine,HMDB0000562,Female,18,64,45.0,68.6,Early preeclampsia
1787,Creatinine,HMDB0000562,Female,18,64,42.2,71.2,Pregnancy
1795,Creatinine,HMDB0000562,Female,1,13,62.766,71.607,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness"
1797,Creatinine,HMDB0000562,Both,18,64,49.506,74.259,Familial partial lipodystrophy
1798,Creatinine,HMDB0000562,Both,18,64,34.477,93.708,"Lipodystrophy, Congenital Generalized"
1799,Creatinine,HMDB0000562,Both,18,64,44.202,80.447,Partial lipodystrophy
1801,Creatinine,HMDB0000562,Both,1,13,17.7,25.1,Environmental enteric dysfunction
1803,Creatinine,HMDB0000562,Female,18,64,28.86,45.06,Pregnancy with fetus having congenital heart defect
1804,Creatinine,HMDB0000562,Both,18,64,29.949999999999996,40.51,Canavan disease
1805,Creatinine,HMDB0000562,Female,18,64,26.08,45.0,Pregnancy
1806,Creatinine,HMDB0000562,Both,18,64,796.4603999999999,1610.6196,Uremia
1807,Creatinine,HMDB0000562,Both,18,64,99.92000000000002,181.44,Heart failure with preserved ejection fraction
1808,Creatinine,HMDB0000562,Both,18,64,100.32999999999998,196.81,Heart failure with reduced ejection fraction
1809,Creatinine,HMDB0000562,Female,18,64,46.7,79.7,Late-onset preeclampsia
1810,Creatinine,HMDB0000562,Female,18,64,40.400000000000006,69.8,Pregnancy
1812,Creatinine,HMDB0000562,Both,0,1,27.0,60.0,Hypoparathyroidism-retardation-dysmorphism syndrome
1814,Creatinine,HMDB0000562,Both,18,64,27.0,88.0,Isovaleric acidemia
1815,Creatinine,HMDB0000562,Both,1,13,90.0,329.0,Isovaleric acidemia
1818,PC(16:0/16:0),HMDB0000564,Both,13,18,12.57,49.03,Pain or fever
1819,PC(16:0/16:0),HMDB0000564,Female,18,64,1.5809999999999995,22.079,Pregnancy with fetus having congenital heart defect
1820,PC(16:0/16:0),HMDB0000564,Female,18,64,14.907,28.029,Pregnancy
1821,PC(16:0/16:0),HMDB0000564,Both,13,18,12.79,46.67,Acetaminophen overdose
1822,PC(16:0/16:0),HMDB0000564,Both,1,13,7.8999999999999995,13.3,Obesity
1823,PC(16:0/16:0),HMDB0000564,Both,1,13,9.3,15.7,Obesity
1824,Galactonic acid,HMDB0000565,Not Specified,1,13,0.68,6.47,Galactosemia
1825,D-Arabitol,HMDB0000568,Male,13,18,32.0,198.0,Ribose-5-Phosphate Isomerase Deficiency
1826,D-Arabitol,HMDB0000568,Both,18,64,0.7,788.0,Invasive candidiasis
1827,Deoxypyridinoline,HMDB0000569,Both,18,64,0.0004999999999999999,0.0007,Growth hormone deficiency
1828,Coproporphyrin III,HMDB0000570,Not Specified,18,64,0.0,0.009,Porphyria
1829,Coproporphyrin III,HMDB0000570,Not Specified,18,64,0.0002,0.0087,Porphyria
1831,L-Cysteine,HMDB0000574,Not Specified,18,64,0.157,1.146,Multiple sclerosis
1832,L-Cysteine,HMDB0000574,Not Specified,18,64,0.154,0.874,Stroke
1833,L-Cysteine,HMDB0000574,Not Specified,18,64,0.199,1.038,Peripheral neuropathy
1834,L-Cysteine,HMDB0000574,Not Specified,18,64,0.247,1.764,Dementia (Alzheimer's and non-Alzheimer's)
1836,L-Cysteine,HMDB0000574,Both,18,64,0.53,0.5900000000000001,uremia
1837,L-Cysteine,HMDB0000574,Male,0,1,0,5.0,Sulfite oxidase deficiency
1838,L-Cysteine,HMDB0000574,Both,18,64,10.0,16.0,AIDS
1839,L-Cysteine,HMDB0000574,Both,65,99,10.64,14.98,Alzheimer's Disease
1840,DL-Homocystine,HMDB0000575,Both,18,64,0.0,5.0,Methylmalonic acidemia and homocystinuria 
1841,DL-Homocystine,HMDB0000575,Male,18,64,28.0,34.0,Methylenetetrahydrofolate reductase deficiency
1842,DL-Homocystine,HMDB0000575,Both,1,13,12.0,233.0,Homocystinuria
1843,"3,5-Diiodothyronine",HMDB0000582,Both,18,64,-2.000000000000001e-06,9.400000000000001e-05,Sepsis
1844,"3,5-Diiodothyronine",HMDB0000582,Both,18,64,1e-05,3.8e-05,Cirrhosis
1845,"3,5-Diiodothyronine",HMDB0000582,Both,18,64,1.6e-05,2.6e-05,Brain tumors
1848,Potassium,HMDB0000586,Female,0,0.003,7100.0,9000.0,21-hydroxylase deficiency
1849,Potassium,HMDB0000586,Both,1,13,2300.0,2900.0,"Bartter Syndrome, Type 3"
1852,Potassium,HMDB0000586,Both,1,13,1580.0,4500.0,"Renal tubular acidosis, distal, RTA type 1"
1853,Potassium,HMDB0000586,Both,0,1,2100.0,3200.0,"Renal tubular acidosis, distal, RTA type 1"
1854,Potassium,HMDB0000586,Both,0,0.003,2200.0,4500.0,"Renal tubular acidosis, distal, RTA type 1"
1855,Potassium,HMDB0000586,Both,18,64,3300.0,4600.0,"Renal tubular acidosis, distal, RTA type 1"
1856,Potassium,HMDB0000586,Male,18,64,3700.0,4300.0,Primary Hypomagnesemia
1857,Potassium,HMDB0000586,Female,0,0.003,86000.0,87000.0,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness"
1859,Potassium,HMDB0000586,Female,1,13,81000.0,97000.0,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness"
1863,Potassium,HMDB0000586,Both,0,1,1800.0,2800.0,Congenital chloride diarrhea
1865,Potassium,HMDB0000586,Both,18,64,1600.0,3000.0,Gitelman syndrome
1866,Potassium,HMDB0000586,Female,18,64,2900.0,3150.0,"Seizures, sensorineural deafness, ataxia, mental retardation, and electrolyte imbalance (SESAMES)"
1867,Potassium,HMDB0000586,Both,1,13,2500.0,4000.0,Congenital chloride diarrhea
1868,Potassium,HMDB0000586,Both,0,1,4800.0,5800.0,Congenital secretory diarrhea
1871,Potassium,HMDB0000586,Male,18,64,3300.0,3600.0,Glucocorticoid resistance
1872,Potassium,HMDB0000586,Female,0,0.003,2600.0,6800.0,"Bartter Syndrome, Type 2, Antenatal"
1874,Potassium,HMDB0000586,Male,0,0.003,2800.0,3300.0,"Bartter Syndrome, Type 5, Antenatal, Transient"
1876,Potassium,HMDB0000586,Not Specified,0,1,4300.0,4600.0,Oculocerebrorenal Syndrome of Lowe
1877,Potassium,HMDB0000586,Not Specified,1,13,3300.0,4400.0,Oculocerebrorenal Syndrome of Lowe
1878,Potassium,HMDB0000586,Not Specified,13,18,3400.0,5900.0,Oculocerebrorenal Syndrome of Lowe
1879,Potassium,HMDB0000586,Not Specified,18,64,3200.0,3800.0,Oculocerebrorenal Syndrome of Lowe
1881,Potassium,HMDB0000586,Not Specified,0,1,2900.0,3500.0,"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness"
1882,Potassium,HMDB0000586,Female,1,13,2400.0,2700.0,"Bartter Syndrome, Type 1, Antenatal"
1884,Potassium,HMDB0000586,Female,0,0.003,2800.0,2900.0,"Bartter Syndrome, Type 1, Antenatal"
1889,Sodium,HMDB0000588,Female,0,0.003,105000.0,129000.0,21-hydroxylase deficiency
1890,Sodium,HMDB0000588,Both,1,13,127000.0,137000.0,"Bartter Syndrome, Type 3"
1891,Sodium,HMDB0000588,Male,18,64,138000.0,139000.0,Primary Hypomagnesemia
1892,Sodium,HMDB0000588,Female,0,0.003,128000.0,138000.0,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness"
1894,Sodium,HMDB0000588,Female,1,13,134000.0,138000.0,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness"
1898,Sodium,HMDB0000588,Both,0,1,118000.0,123000.0,Congenital secretory diarrhea
1899,Sodium,HMDB0000588,Both,1,13,125000.0,132000.0,Congenital chloride diarrhea
1901,Sodium,HMDB0000588,Female,0,0.003,113000.0,132000.0,"Bartter Syndrome, Type 2, Antenatal"
1902,Sodium,HMDB0000588,Male,0,0.003,123000.0,133000.0,"Bartter Syndrome, Type 5, Antenatal, Transient"
1908,PC(18:1(9Z)/18:1(9Z)),HMDB0000593,Female,18,64,14.967000000000013,296.379,Pregnancy with fetus having congenital heart defect
1909,PC(18:1(9Z)/18:1(9Z)),HMDB0000593,Female,18,64,204.498,353.53799999999995,Pregnancy
1910,PC(18:1(9Z)/18:1(9Z)),HMDB0000593,Both,1,13,142.7,242.7,Obesity
1911,PC(18:1(9Z)/18:1(9Z)),HMDB0000593,Both,1,13,165.2,302.0,Obesity
1912,PC(18:1(9Z)/18:1(9Z)),HMDB0000593,Both,18,64,161.61,279.89,Heart failure with preserved ejection fraction
1918,Hydrogen carbonate,HMDB0000595,Female,1,13,17000.0,18000.0,Fanconi Bickel syndrome
1920,Hydrogen carbonate,HMDB0000595,Both,18,64,17800.0,19500.0,"Renal tubular acidosis, distal, RTA type 1"
1921,Hydrogen carbonate,HMDB0000595,Both,0,1,4800.0,15000.0,"Renal tubular acidosis, distal, RTA type 1"
1922,Hydrogen carbonate,HMDB0000595,Both,0,0.003,5500.0,13000.0,"Renal tubular acidosis, distal, RTA type 1"
1923,Hydrogen carbonate,HMDB0000595,Both,1,13,6300.0,19500.0,"Renal tubular acidosis, distal, RTA type 1"
1925,Hydrogen carbonate,HMDB0000595,Both,0,1,30000.0,43000.0,Congenital chloride diarrhea
1926,Hydrogen carbonate,HMDB0000595,Both,18,64,28000.0,35000.0,Gitelman syndrome
1927,Hydrogen carbonate,HMDB0000595,Female,18,64,28000.0,33000.0,"Seizures, sensorineural deafness, ataxia, mental retardation, and electrolyte imbalance (SESAMES)"
1929,Hydrogen carbonate,HMDB0000595,Male,1,13,5000.0,15000.0,Monocarboxylate transporter 1 deficiency
1930,Hydrogen carbonate,HMDB0000595,Male,0,1,7000.0,13000.0,Carnitine palmitoyltransferase deficiency I
1931,Hydrogen carbonate,HMDB0000595,Male,1,13,21700.0,23100.0,Fanconi syndrome
1934,Hydrogen carbonate,HMDB0000595,Both,0,1,9700.0,16600.0,Congenital secretory diarrhea
1937,Hydrogen carbonate,HMDB0000595,Both,1,13,11000.0,21000.0,2-Ketoglutarate dehydrogenase complex deficiency
1939,Hydrogen carbonate,HMDB0000595,Both,18,64,24000.0,27000.0,Hawkinsinuria
1940,Hydrogen carbonate,HMDB0000595,Both,1,13,10000.0,14000.0,Hawkinsinuria
1941,Hydrogen carbonate,HMDB0000595,Female,0,0.003,19800.0,28300.0,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness"
1943,Hydrogen carbonate,HMDB0000595,Female,1,13,25900.0,37200.0,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness"
1945,Hydrogen carbonate,HMDB0000595,Male,0,0.003,24000.0,38000.0,"Bartter Syndrome, Type 5, Antenatal, Transient"
1947,Hydrogen carbonate,HMDB0000595,Both,13,18,16400.0,21400.0,"Leigh Syndrome, French Canadian Type"
1949,Hydrogen carbonate,HMDB0000595,Male,0,0.003,11000.0,15000.0,Narp Syndrome
1953,Sulfide,HMDB0000598,Male,18,64,7000.0,95000.0,Fatal hydrogen sulfide poisoning
1954,Sulfide,HMDB0000598,Male,18,64,9.98,291.91,Fatal hydrogen sulfide poisoning
1955,Chromium,HMDB0000599,Both,18,64,0.0034,0.0104,Multiple Sclerosis
1956,Chromium,HMDB0000599,Both,18,64,0.0054,0.008,Parkinson's Disease
1957,Chromium,HMDB0000599,Both,18,64,0.023,0.041,Diabetes
1958,Galactosylhydroxylysine,HMDB0000600,Both,18,64,0.1,0.12,Paget's disease (osteitis deformans)
1964,Coprocholic acid,HMDB0000601,Female,1,13,0.0,3.812,Peroxisomal biogenesis disorder
1965,Coprocholic acid,HMDB0000601,Female,0,0.003,0.029,1.04,Peroxisomal biogenesis disorder
1966,Coprocholic acid,HMDB0000601,Male,1,13,0.719,0.828,Classicle Refsum's disease
1969,D-2-Hydroxyglutaric acid,HMDB0000606,Both,0,1,2.2,3.2,"Combined D,L-2-hydroxyglutaric aciduria"
1970,D-2-Hydroxyglutaric acid,HMDB0000606,Female,0,1,99.0,757.0,D-2-Hydroxyglutaric aciduria II
1971,D-2-Hydroxyglutaric acid,HMDB0000606,Female,0,1,26.0,123.0,D-2-Hydroxyglutaric aciduria I
1972,D-2-Hydroxyglutaric acid,HMDB0000606,Female,0,1,26.0,123.0,D-2-hydroxyglutaric aciduria type I
1973,D-2-Hydroxyglutaric acid,HMDB0000606,Both,18,64,47.0,75.0,D-2-Hydroxyglutaric aciduria
1974,Cyanocobalamin,HMDB0000607,Both,18,64,0,0.00012,Vitamin B12 deficiency
1975,Cyanocobalamin,HMDB0000607,Both,18,64,0.00014000000000000004,0.00096,Homozygous sickle cell disease
1976,Cyanocobalamin,HMDB0000607,Female,18,64,0.00012501,0.00027099,Pregnancy
1977,Cobalt,HMDB0000608,Both,18,64,0.002,0.0054,Multiple sclerosis
