,Name,Accession,Value(uM),Subject Age,Subject Sex,Subject Information
852,L-Histidine,HMDB0000177,90.233,Children (1 - 13 years old),Not Specified,Normal
853,L-Histidine,HMDB0000177,128.904,Children (1-13 years old),Both,Normal
854,L-Histidine,HMDB0000177,225.581,Children (1 - 13 years old),Not Specified,Normal
855,L-Histidine,HMDB0000177,73.51(11.42),Adult (>18 years old),Both,Normal
856,L-Histidine,HMDB0000177,122.459 +/- 12.890,Children (1 - 13 years old),Male,Normal
857,L-Histidine,HMDB0000177,128.904-354.485,Adult (>18 years old),Not Specified,Normal
858,L-Histidine,HMDB0000177,225.581-386.711,Adult (>18 years old),Not Specified,Normal
859,L-Histidine,HMDB0000177,30-138,Infant (0-1 year old),Not Specified,Normal
860,L-Histidine,HMDB0000177,83 +/- 14,Adult (>18 years old),Female,Normal
861,L-Histidine,HMDB0000177,40.00-120.0,Adult (>18 years old),Both,Normal
862,L-Histidine,HMDB0000177,50 - 110,Children (1 - 13 years old),Not Specified,Normal
863,L-Histidine,HMDB0000177,103.13-141.80,Adult (>18 years old),Not Specified,Normal
864,L-Histidine,HMDB0000177,89.3 +/- 10.8,Adult (>18 years old),Both,Normal
865,L-Histidine,HMDB0000177,77.342-238.472,Adult (>18 years old),Not Specified,Normal
866,L-Histidine,HMDB0000177,96.678-225.581,Adult (>18 years old),Not Specified,Normal
867,L-Histidine,HMDB0000177,89 +/- 11,Adult (>18 years old),Male,Normal
868,L-Histidine,HMDB0000177,83.4(70.1-97.4),Children (1-13 uears old),Both,Normal
869,L-Histidine,HMDB0000177,82.0 (72.0-92.0),Adult (>18 years old),Both,Normal
870,L-Histidine,HMDB0000177,84 +/- 14,Children (1 - 13 years old),Not Specified,Normal
871,L-Histidine,HMDB0000177,131.2 +/- 37.3,Adult (>18 years old),Both,Normal
872,L-Histidine,HMDB0000177,,Children (1-13 years old),Male,Normal
873,L-Histidine,HMDB0000177,,Children (1-13 years old),Male,Normal
874,L-Dopa,HMDB0000181,0.00723 +/- 0.00097,Adult (>18 years old),Both,Normal
875,L-Lysine,HMDB0000182,190.0 +/- 60.0,Newborn (0-30 days old),Not Specified,Normal
876,L-Lysine,HMDB0000182,164.0 +/- 28.0,Children (1-13 years old),Female,Normal
877,L-Lysine,HMDB0000182,198.0 +/- 31.0,Adult (>18 years old),Male,Normal
878,L-Lysine,HMDB0000182,183.0 +/- 34.0,Adult (>18 years old),Female,Normal
879,L-Lysine,HMDB0000182,71-151,Adult (>18 years old),Not Specified,Normal
880,L-Lysine,HMDB0000182,113-269,Infant (0-1 year old),Not Specified,Normal
881,L-Lysine,HMDB0000182,441 (384-516),Newborn (0-30 days old),,Normal
882,L-Lysine,HMDB0000182,120-203,Newborn (0-30 days old),Not Specified,Normal
883,L-Lysine,HMDB0000182,112-231,Children (1-13 years old),Both,Normal
884,L-Lysine,HMDB0000182,85-241,Children (1-13 years old),Not Specified,Normal
885,L-Lysine,HMDB0000182,189 +/- 27,Adult (>18 years old),Male,Normal
886,L-Lysine,HMDB0000182,238 (192-295),Infant (0-1 year old),,Normal
887,L-Lysine,HMDB0000182,161 +/- 21,Adult (>18 years old),Female,Normal
888,L-Lysine,HMDB0000182,105.100 +/- 30.100,Not Specified,Not Specified,Normal
889,L-Lysine,HMDB0000182,434.0 +/- 23.0,Adult (>18 years old),Both,Normal
890,L-Lysine,HMDB0000182,110.0-240.0,Adult (>18 years old),Both,Normal
891,L-Lysine,HMDB0000182,197.4 +/- 30.7,Adult (>18 years old),Both,Normal
892,L-Lysine,HMDB0000182,,Adult (>18 years old),Both,Normal
893,L-Lysine,HMDB0000182,197 (184-216),Adult (>18 years old),Both,Normal
894,L-Lysine,HMDB0000182,56-256,Children (1 - 13 years old),Both,Normal
895,L-Lysine,HMDB0000182,82 - 224,Children (1 - 13 years old),Not Specified,Normal
896,L-Lysine,HMDB0000182,92-325,Infant (0-1 year old),Not Specified,Normal
897,L-Lysine,HMDB0000182,40-163,Not Specified,Not Specified,Normal
898,L-Lysine,HMDB0000182,127.8(108.8-147.7),Children (1-13 uears old),Both,Normal
899,L-Lysine,HMDB0000182,71-272,Newborn (0-30 days old),Both,Normal
900,L-Lysine,HMDB0000182,37-228,Infant (1 - 3 months old),Both,Normal
901,L-Lysine,HMDB0000182,85-250,Children (3 months - 6 years old),Both,Normal
902,L-Lysine,HMDB0000182,108-270,Children (6 - 18 years old),Both,Normal
903,L-Lysine,HMDB0000182,178.6 +/- 58.2,Adult (>18 years old),Both,Normal
904,L-Lysine,HMDB0000182,188.0 (156.0-220.0),Adult (>18 years old),Both,Normal
905,Alpha-Lactose,HMDB0000186,,,,Normal
906,L-Serine,HMDB0000187,62-161,Newborn (0-30 days old),Both,Normal
907,L-Serine,HMDB0000187,159.8 +/- 26.6,Adult (>18 years old),Both,Normal
908,L-Serine,HMDB0000187,76-180,Infant (1 - 3 months old),Both,Normal
909,L-Serine,HMDB0000187,77-178,Children (3 months - 6 years old),Both,Normal
910,L-Serine,HMDB0000187,71-181,Children (6 - 18 years old),Both,Normal
911,L-Serine,HMDB0000187,173.2 +/- 51.3,Adult (>18 years old),Both,Normal
912,L-Serine,HMDB0000187,70-140,Not Specified,Not Specified,Normal
913,L-Serine,HMDB0000187,114.0 (95.0-133.0),Adult (>18 years old),Both,Normal
914,L-Serine,HMDB0000187,134.0 +/- 38.0,Newborn (0-30 days old),Not Specified,Normal
915,L-Serine,HMDB0000187,121.0 +/- 25.0,Children (1-13 years old),Male,Normal
916,L-Serine,HMDB0000187,127.0 +/- 27.0,Children (1-13 years old),Female,Normal
917,L-Serine,HMDB0000187,127-211,Newborn (0-30 days old),Not Specified,Normal
918,L-Serine,HMDB0000187,114.0 +/- 23.0,Adult (>18 years old),Male,Normal
919,L-Serine,HMDB0000187,60-300,Infant (0-1 year old),Not Specified,Normal
920,L-Serine,HMDB0000187,127.0 +/- 29.0,Adult (>18 years old),Female,Normal
921,L-Serine,HMDB0000187,50-350,Newborn (0-30 days old),Not Specified,Normal
922,L-Serine,HMDB0000187,121.0 +/- 14.0,Children (1-13 years old),Not Specified,Normal
923,L-Serine,HMDB0000187,70-187,Infant (0-1 year old),Not Specified,Normal
924,L-Serine,HMDB0000187,137.0 +/- 35.0,Adult (>18 years old),Male,Normal
925,L-Serine,HMDB0000187,70-187,Children (1-13 years old),Not Specified,Normal
926,L-Serine,HMDB0000187,142.0 +/- 35.0,Adult (>18 years old),Female,Normal
927,L-Serine,HMDB0000187,25-57,Children (1-13 years old),Not Specified,Normal
928,L-Serine,HMDB0000187,74-448,Newborn (0-30 days old),Not Specified,Normal
929,L-Serine,HMDB0000187,70.3 +/- 19.6,Adult (>18 years old),Male,Normal
930,L-Serine,HMDB0000187,60.00-180.0,Adult (>18 years old),Both,Normal
931,L-Serine,HMDB0000187,,Adult (>18 years old),Both,Normal
932,L-Serine,HMDB0000187,115.1 +/- 25.0,Adult (>18 years old),Both,Normal
933,L-Serine,HMDB0000187,24-172,Infant (0-1 year old),Both,Normal
934,L-Serine,HMDB0000187,50-200,Adult (>18 years old),Both,Normal
935,L-Serine,HMDB0000187,99-395,Infant (0-1 year old),Not Specified,Normal
936,L-Serine,HMDB0000187,143.3(129.3-161.6),Children (1-13 uears old),Both,Normal
937,L-Serine,HMDB0000187,236.0 +/- 6.0,Adult (>18 years old),Both,Normal
938,L-Lactic acid,HMDB0000190,<2100,Newborn (0-30 days old),Not Specified,Normal
939,L-Lactic acid,HMDB0000190,<2100,Children (1-13 years old),Not Specified,Normal
940,L-Lactic acid,HMDB0000190,450-2200,Children (1-13 years old),Not Specified,Normal
941,L-Lactic acid,HMDB0000190,1000-1550,Adolescent (13-18 years old),Not Specified,Normal
942,L-Lactic acid,HMDB0000190,500-2200,Newborn (0-30 days old),Not Specified,Normal
943,L-Lactic acid,HMDB0000190,<2000,Infant (0-1 year old),Not Specified,Normal
944,L-Lactic acid,HMDB0000190,<2000,Newborn (0-30 days old),Not Specified,Normal
945,L-Lactic acid,HMDB0000190,<1800,Newborn (0-30 days old),Not Specified,Normal
946,L-Lactic acid,HMDB0000190,,Adult (>18 years old),Both,Normal
947,L-Lactic acid,HMDB0000190,700-2100,Children (1-13 years old),Not Specified,Normal
948,L-Lactic acid,HMDB0000190,700-1800,Infant (0-1 year old),Both,Normal
949,L-Lactic acid,HMDB0000190,<2000,Not Specified,Not Specified,Normal
950,L-Lactic acid,HMDB0000190,<2000,Infant (0-1 year old),Not Specified,Normal
951,L-Lactic acid,HMDB0000190,<2100,Not Specified,Not Specified,Normal
952,L-Lactic acid,HMDB0000190,600-2300,Not Specified,Not Specified,Normal
953,L-Lactic acid,HMDB0000190,700-2100,Infant (0-1 year old),Both,Normal
954,L-Lactic acid,HMDB0000190,2300 (1950-3000),Not Specified,Not Specified,Normal
955,L-Lactic acid,HMDB0000190,,Adult (>18 years old),Both,Normal
956,L-Lactic acid,HMDB0000190,1665.225,Infant (0-1 year old),Not Specified,Normal
957,L-Lactic acid,HMDB0000190,740.0 +/- 2400.0,Adult (>18 years old),Male,Normal
958,L-Lactic acid,HMDB0000190,500-2200,Not Specified,Not Specified,Normal
959,L-Lactic acid,HMDB0000190,220-2220,Not Specified,Not Specified,Normal
960,L-Lactic acid,HMDB0000190,520-1660,Not Specified,Not Specified,Normal
961,L-Lactic acid,HMDB0000190,2390.0 +/- 990.0,Newborn (0-30 days old),Both,Normal
962,L-Lactic acid,HMDB0000190,1140.0 +/- 360.0,Children (1-13 years old),Both,Normal
963,L-Lactic acid,HMDB0000190,1510.0 (740.0-2400.0),Adult (>18 years old),Male,Normal
964,L-Lactic acid,HMDB0000190,500-1700,Not Specified,Not Specified,Normal
965,L-Lactic acid,HMDB0000190,,Adult (>18 years old),Both,Normal
966,L-Lactic acid,HMDB0000190,500-2200,Not Specified,Not Specified,Normal
967,L-Lactic acid,HMDB0000190,500-2200,Children (1-13 years old),Not Specified,Normal
968,L-Lactic acid,HMDB0000190,<1800,Adult (>18 years old),Female,Normal
969,L-Lactic acid,HMDB0000190,1000-2000,Not Specified,Not Specified,Normal
970,L-Lactic acid,HMDB0000190,<2000,Children (1-13 years old),Not Specified,Normal
971,L-Lactic acid,HMDB0000190,<2200,Newborn (0-30 days old),Not Specified,Normal
972,L-Lactic acid,HMDB0000190,700-2100,Children (1-13 years old),Not Specified,Normal
973,L-Lactic acid,HMDB0000190,600-2500,Newborn (0-30 days old),Not Specified,Normal
974,L-Lactic acid,HMDB0000190,2976.0 +/- 1555.0,Adult (>18 years old),Both,Normal
975,L-Lactic acid,HMDB0000190,740.00-2400.0,Adult (>18 years old),Both,Normal
976,L-Lactic acid,HMDB0000190,,Adult (>18 years old),Both,Normal
977,L-Lactic acid,HMDB0000190,700-2100,Adolescent (13-18 years old),Male,Normal
978,L-Lactic acid,HMDB0000190,,Adult (>18 years old),Both,Normal
979,L-Lactic acid,HMDB0000190,1236.0 (367.0-3245.0),Newborn (0-30 days old),Both,Normal
980,L-Lactic acid,HMDB0000190,1489.4 +/- 371.2,Adult (>18 years old),Both,Normal
981,L-Lactic acid,HMDB0000190,<2000,Infant (0-1 year old),Not Specified,Normal
982,L-Lactic acid,HMDB0000190,<2000,Children (1-13 years old),Not Specified,Normal
983,L-Lactic acid,HMDB0000190,500-1700,Children (1-13 years old),Not Specified,Normal
984,L-Lactic acid,HMDB0000190,200-2000,Infant (0-1 year old),Not Specified,Normal
985,L-Aspartic acid,HMDB0000191,21.0 +/- 5.0,Adult (>18 years old),Male,Normal
986,L-Aspartic acid,HMDB0000191,20.0 +/- 5.0,Adult (>18 years old),Female,Normal
987,L-Aspartic acid,HMDB0000191,,Infant (0-1 year old),Not Specified,Normal
988,L-Aspartic acid,HMDB0000191,6.26 +/- 2.34,Adult (>18 years old),Both,Normal
989,L-Aspartic acid,HMDB0000191,8.00-20.0,Adult (>18 years old),Both,Normal
990,L-Aspartic acid,HMDB0000191,,Adult (>18 years old),Both,Normal
991,L-Aspartic acid,HMDB0000191,54.4(47.3-68.3),Children (1-13 uears old),Both,Normal
992,L-Aspartic acid,HMDB0000191,20.9 +/- 6.1,Adult (>18 years old),Both,Normal
993,L-Aspartic acid,HMDB0000191,,Adult (>18 years old),Both,Normal
994,L-Cystine,HMDB0000192,,Adult (>18 years old),Both,Normal
995,L-Cystine,HMDB0000192,17-98,Infant (0-1 year old),Not Specified,Normal
996,L-Cystine,HMDB0000192,26-77,Newborn (0-30 days old),Both,Normal
997,L-Cystine,HMDB0000192,130.0 +/- 20.0,Newborn (0-30 days old),Not Specified,Normal
998,L-Cystine,HMDB0000192,26-61,Infant (1 - 3 months old),Both,Normal
999,L-Cystine,HMDB0000192,91.0 +/- 20.0,Children (1-13 years old),Male,Normal
1000,L-Cystine,HMDB0000192,Aug-68,Children (3 months - 6 years old),Both,Normal
1001,L-Cystine,HMDB0000192,96.0 +/- 19.0,Children (1-13 years old),Both,Normal
1002,L-Cystine,HMDB0000192,15-65,Children (6 - 18 years old),Both,Normal
1003,L-Cystine,HMDB0000192,118.0 +/- 17.0,Adult (>18 years old),Male,Normal
1004,L-Cystine,HMDB0000192,109.0 +/- 24.0,Adult (>18 years old),Female,Normal
1005,L-Cystine,HMDB0000192,87.0 +/- 13.0,Children (1-13 years old),Not Specified,Normal
1006,L-Cystine,HMDB0000192,62.9 +/- 27.8,Adult (>18 years old),Both,Normal
1007,L-Cystine,HMDB0000192,109.0 +/- 18.0,Adult (>18 years old),Male,Normal
1008,L-Cystine,HMDB0000192,107.0 +/- 23.0,Adult (>18 years old),Not Specified,Normal
1009,Isocitric acid,HMDB0000193,6.0 (0.0-10.0),Adult (>18 years old),Both,Normal
1010,Anserine,HMDB0000194,41.0 +/- 10.0,Adult (>18 years old),Both,Normal
1011,Inosine,HMDB0000195,0.20 +/- 0.07,Adult (>18 years old),Both,Normal
1012,Inosine,HMDB0000195,0.05 +/- 0.01,Adult (>18 years old),Both,Normal
1013,Inosine,HMDB0000195,5.0 +/- 0.8,Adult (>18 years old),Both,Normal
1014,Inosine,HMDB0000195,0.3 +/- 0.1,Adult (>18 years old),Both,Normal
1015,Inosine,HMDB0000195,0.9  +/- 0.2,Adult (>18 years old),Male,normal
1016,Indoleacetic acid,HMDB0000197,2.85 +/- 1.71,Adult (>18 years old),Both,Normal
1017,Indoleacetic acid,HMDB0000197,0.100 +/- 0.100,Adult (>18 years old),Both,Normal
1018,Indoleacetic acid,HMDB0000197,0.05 (0.0-0.118),Adult (>18 years old),Both,Normal
1019,Indoleacetic acid,HMDB0000197,0.05 (0.0- 0.1),Adult (>18 years old),Both,Normal
1020,L-Acetylcarnitine,HMDB0000201,5.48 +/- 2.15,Adult (>18 years old),Both,Normal
1021,L-Acetylcarnitine,HMDB0000201,16.540 +/- 3.340,Infant (0-1 year old),Not Specified,Normal
1022,L-Acetylcarnitine,HMDB0000201,3.00-12.5,Adult (>18 years old),Both,Normal
1023,L-Acetylcarnitine,HMDB0000201,3.57 (2.91-4.48),Newborn (0-30 days old),,Normal
1024,L-Acetylcarnitine,HMDB0000201,4.09 +/- 5.83,Children (1-13 years old),Both,Normal
1025,L-Acetylcarnitine,HMDB0000201,1.30 +/- 0.81,Children (1-13 years old),Both,Normal
1026,L-Acetylcarnitine,HMDB0000201,6.26 (5.14-7.83),Infant (0-1 year old),,Normal
1027,L-Acetylcarnitine,HMDB0000201,8.05(3.22),Adult (>18 years old),Both,Normal
1028,L-Acetylcarnitine,HMDB0000201,3.00-12.5,Adult (>18 years old),Both,Normal
1029,L-Acetylcarnitine,HMDB0000201,6.2 +/- 0.6,Adult (>18 years old),Male,Normal
1030,L-Acetylcarnitine,HMDB0000201,5.7 +/- 0.7,Adult (>18 years old),Female,Normal
1031,L-Acetylcarnitine,HMDB0000201,6.56 +/- 2.26,Adult (>18 years old),Both,Normal
1032,L-Acetylcarnitine,HMDB0000201,4.90 (2.48-8.62),Children (1-13 years old),Both,Normal
1033,Methylmalonic acid,HMDB0000202,0.14 (0.04-0.26),Adult (>18 years old),Both,Normal
1034,Methylmalonic acid,HMDB0000202,0.187 +/- 0.084,Adult (>18 years old),Both,Normal
1035,Methylmalonic acid,HMDB0000202,<0.28,Children (1-13 years old),Not Specified,Normal
1036,Methylmalonic acid,HMDB0000202,<0.33,Children (1-13 years old),Not Specified,Normal
1037,Methylmalonic acid,HMDB0000202,<0.4,Adult (>18 years old),Not Specified,Normal
1038,Methylmalonic acid,HMDB0000202,<0.27,Infant (0-1 year old),Both,Normal
1039,Methylmalonic acid,HMDB0000202,0.17 (0.073-0.27),Adult (>18 years old),Both,Normal
1040,Methylmalonic acid,HMDB0000202,<0.34,Adolescent (13-18 years old),Female,Normal
1041,Methylmalonic acid,HMDB0000202,0.200 (0.00-0.400),Adult (>18 years old),Not Specified,Normal
1042,Phenylpyruvic acid,HMDB0000205,0.5 +/- 0.1,Adult (>18 years old),Both,Normal
1043,Phenylpyruvic acid,HMDB0000205,5,Children (1 - 13 years old),Both,Normal
1044,N6-Acetyl-L-lysine,HMDB0000206,,,,Normal
1045,Oleic acid,HMDB0000207,11.42 +/- 1.67,Adult (>18 years old),Both,Normal 
1046,Oleic acid,HMDB0000207,122 +/- 56,Adult (>18 years old),Both,Normal
1047,Oleic acid,HMDB0000207,,Adult (>18 years old),Both,Normal
1048,Oleic acid,HMDB0000207,346.950 +/- 38.943,Adult (>18 years old),Male,Normal
1049,Oleic acid,HMDB0000207,332.789 +/- 49.564,Adult (>18 years old),Male,Normal
1050,Oleic acid,HMDB0000207,339.869 +/- 42.484,Adult (>18 years old),Male,Normal
1051,Oleic acid,HMDB0000207,339.869 +/- 31.863,Adult (>18 years old),Male,Normal
1052,Oleic acid,HMDB0000207,130,Adult (>18 years old),Both,Normal
1053,Oleic acid,HMDB0000207,131,Adult (>18 years old),Both,Normal
1054,Oleic acid,HMDB0000207,158,Adult (>18 years old),Both,Normal
1055,Oleic acid,HMDB0000207,191,Adult (>18 years old),Both,Normal
1056,Oleic acid,HMDB0000207,202,Adult (>18 years old),Both,Normal
1057,Oleic acid,HMDB0000207,236,Adult (>18 years old),Both,Normal
1058,Oleic acid,HMDB0000207,240,Adult (>18 years old),Both,Normal
1059,Oleic acid,HMDB0000207,246,Adult (>18 years old),Both,Normal
1060,Oleic acid,HMDB0000207,248,Adult (>18 years old),Both,Normal
1061,Oleic acid,HMDB0000207,257,Adult (>18 years old),Both,Normal
1062,Oleic acid,HMDB0000207,267,Adult (>18 years old),Both,Normal
1063,Oleic acid,HMDB0000207,284,Adult (>18 years old),Both,Normal
1064,Oleic acid,HMDB0000207,476.384 +/- 146.817,Adult (>18 years old),Both,Normal
1065,Oleic acid,HMDB0000207,401.329 +/- 90.915,Adult (>18 years old),Female,Normal
1066,Oleic acid,HMDB0000207,49.243 +/- 19.314 ,Adult (>18 years old),Both,Normal
1067,Oleic acid,HMDB0000207,37.0 +/- 5.7,Adult (>18 years old),Both,Normal
1068,Oleic acid,HMDB0000207,32.5-41.3,Adult (>18 years old),Female,Normal
1069,Oleic acid,HMDB0000207,2135.4 +/- 665.5,Adult (>18 years old),Not Specified,Normal
1070,Oleic acid,HMDB0000207,,Adult (>18 years old),Both,Normal
1071,Oleic acid,HMDB0000207,80.3 +/- 9.331,Adult (>18 years old),Both,Normal
1072,Oxoglutaric acid,HMDB0000208,,Adult (>18 years old),Both,Normal
1073,Oxoglutaric acid,HMDB0000208,7.0 (0.0-23.0),Adult (>18 years old),Both,Normal
1074,Oxoglutaric acid,HMDB0000208,8.6 +/- 2.6,Children (1-13 years old),Both,Normal
1075,Oxoglutaric acid,HMDB0000208,9.3 +/- 2.3,Children (1-13 years old),Both,Normal
1076,Oxoglutaric acid,HMDB0000208,8.9 +/- 2.7,Adult (>18 years old),Both,Normal
1077,Oxoglutaric acid,HMDB0000208,13-Apr,Not Specified,Not Specified,Normal
1078,Oxoglutaric acid,HMDB0000208,20.7 +/- 2.5,Newborn (0-30 days old),Both,Normal
1079,Oxoglutaric acid,HMDB0000208,,Adult (>18 years old),Both,Normal
1080,Phenylacetic acid,HMDB0000209,47.24 +/- 5.866,Adult (>18 years old),Male,Normal
1081,Phenylacetic acid,HMDB0000209,58.864 +/- 3.78,Adult (>18 years old),Male,Normal
1082,Phenylacetic acid,HMDB0000209,50.34 +/- 4.973,Adult (>18 years old),Male,Normal
1083,Phenylacetic acid,HMDB0000209,53.443 +/- 6.56,Adult (>18 years old),Male,Normal
1084,Phenylacetic acid,HMDB0000209,48.507 +/- 3.763,Adult (>18 years old),Male,Normal
1085,Phenylacetic acid,HMDB0000209,49.663 +/- 3.885,Adult (>18 years old),Male,Normal
1086,Phenylacetic acid,HMDB0000209,51.556 +/- 6.132,Adult (>18 years old),Male,Normal
1087,Phenylacetic acid,HMDB0000209,80.36 +/- 24.113,Adult (>18 years old),Male,Normal
1088,Phenylacetic acid,HMDB0000209,,,,Normal
1089,Phenylacetic acid,HMDB0000209,,,,Consuming polyphenols described by Phenol-Explorer entry 956
1090,Phenylacetic acid,HMDB0000209,<10.28,Adult (>18 years old),Both,Normal
1091,Phenylacetic acid,HMDB0000209,,,,Consuming polyphenols described by Phenol-Explorer entry 956
1092,Phenylacetic acid,HMDB0000209,,,,Consuming polyphenols described by Phenol-Explorer entry 956
1093,Phenylacetic acid,HMDB0000209,,,,Consuming polyphenols described by Phenol-Explorer entry 956
1094,Pantothenic acid,HMDB0000210,,Adult (>18 years old),Both,Normal
1095,Pantothenic acid,HMDB0000210,2.86 +/- 0.94,Adult (>18 years old),Female,Normal
1096,Pantothenic acid,HMDB0000210,4.91 +/- 0.38,Adult (>18 years old),Both,Normal
1097,Pantothenic acid,HMDB0000210,3.6 (1.8-6.8),Newborn (0-30 days old),Both,Normal
1098,Pantothenic acid,HMDB0000210,1.3 (0.66-2.6),Children (1-13 years old),Both,Normal
1099,Pantothenic acid,HMDB0000210,0.30-1.80,Adult (>18 years old),Both,Normal
1100,myo-Inositol,HMDB0000211,,Adult (>18 years old),Female,Normal
1101,myo-Inositol,HMDB0000211,,Adult (>18 years old),Both,Normal
1102,myo-Inositol,HMDB0000211,17.1,Adult (>18 years old),Both,Normal
1103,myo-Inositol,HMDB0000211,<55.556,Adult (>18 years old),Both,Normal
1104,myo-Inositol,HMDB0000211,24.0 +/- 7.8,Adult (>18 years old),Both,Normal
1105,myo-Inositol,HMDB0000211,23.0 +/- 8.0,Adult (>18 years old),Both,Normal
1106,myo-Inositol,HMDB0000211,30.0 (21.0-49.0),Adult (>18 years old),Both,Normal
1107,Ornithine,HMDB0000214,55.0 (39.0-71.0),Adult (>18 years old),Both,Normal
1108,Ornithine,HMDB0000214,93.8 +/- 41.3,Adult (>18 years old),Both,Normal
1109,Ornithine,HMDB0000214,27-86,Adult (>18 years old),Not Specified,Normal
1110,Ornithine,HMDB0000214,90.0 +/- 20.0,Newborn (0-30 days old),Not Specified,Normal
1111,Ornithine,HMDB0000214,47.0 +/- 14.0,Children (1-13 years old),Female,Normal
1112,Ornithine,HMDB0000214,65.0 +/- 18.0,Adult (>18 years old),Male,Normal
1113,Ornithine,HMDB0000214,54.0 +/- 18.0,Adult (>18 years old),Female,Normal
1114,Ornithine,HMDB0000214,109.0 +/- 32.0,Adult (>18 years old),Both,Normal
1115,Ornithine,HMDB0000214,34.3 +/- 13.0,Children (1-13 years old),Both,Normal
1116,Ornithine,HMDB0000214,185 (144-222),Newborn (0-30 days old),,Normal
1117,Ornithine,HMDB0000214,31-179,Infant (0-1 year old),Not Specified,Normal
1118,Ornithine,HMDB0000214,124 (90.4-189),Infant (0-1 year old),,Normal
1119,Ornithine,HMDB0000214,,Adult (>18 years old),Both,Normal
1120,Ornithine,HMDB0000214,30-64,Adult (>18 years old),Not Specified,Normal
1121,Ornithine,HMDB0000214,72 +/- 25,Children (1-13 years old),Not Specified,Normal
1122,Ornithine,HMDB0000214,20-135,Children (1-13 years old),Not Specified,Normal
1123,Ornithine,HMDB0000214,20-135,Infant (0-1 year old),Not Specified,Normal
1124,Ornithine,HMDB0000214,54 +/- 18,Adult (>18 years old),Female,Normal
1125,Ornithine,HMDB0000214,30.00-110.0,Adult (>18 years old),Both,Normal
1126,Ornithine,HMDB0000214,69.0 +/- 18.0,Adult (>18 years old),Both,Normal
1127,Ornithine,HMDB0000214,65 +/- 18,Adult (>18 years old),Male,Normal
1128,Ornithine,HMDB0000214,69.1(56.1-90.2),Children (1-13 uears old),Both,Normal
1129,Ornithine,HMDB0000214,10-110,Children (1-13 years old),Both,Normal
1130,Ornithine,HMDB0000214,48-211,Infant (0-1 year old),Not Specified,Normal
1131,Ornithine,HMDB0000214,74.3 (52.7-81.3),Adult (>18 years old),Both,Normal
1132,Ornithine,HMDB0000214,77 +/- 41,Infant (0-1 year old),Both,Normal
1133,Ornithine,HMDB0000214,8-156,Children (1 - 13 years old),Both,Normal
1134,Ornithine,HMDB0000214,38-207,Newborn (0-30 days old),Both,Normal
1135,Ornithine,HMDB0000214,26-117,Infant (1 - 3 months old),Both,Normal
1136,Ornithine,HMDB0000214,27-100,Children (3 months - 6 years old),Both,Normal
1137,Ornithine,HMDB0000214,19-100,Children (6 - 18 years old),Both,Normal
1138,Ornithine,HMDB0000214,66.9 +/- 15.3,Adult (>18 years old),Both,Normal
1139,N-Acetyl-D-glucosamine,HMDB0000215,,,,Normal
1140,Norepinephrine,HMDB0000216,0.0070 (0.0034-0.011),Adult (>18 years old),Both,Normal
1141,Norepinephrine,HMDB0000216,0.0016 +/- 0.00012,Adult (>18 years old),Both,Normal
1142,Norepinephrine,HMDB0000216,0.00165 +/- 0.001,Adult (>18 years old),Both,Normal
1143,Norepinephrine,HMDB0000216,0.001 +/- 0.0004,Adult (>18 years old),Both,Normal
1144,NADP,HMDB0000217,19.6 (18.3 - 20.8),Adult (>18 years old),Both,Normal
1145,Palmitic acid,HMDB0000220,122 +/- 48,Adult (>18 years old),Both,Normal
1146,Palmitic acid,HMDB0000220,66.010 +/- 9.879,Adult (>18 years old),Both,Normal
1147,Palmitic acid,HMDB0000220,1060.743 +/- 35.0981,Adult (>18 years old),Male,Normal
1148,Palmitic acid,HMDB0000220,25.0 +/- 2.8,Children (1-13 years old),Both,Normal
1149,Palmitic acid,HMDB0000220,1064.643 +/- 50.697,Adult (>18 years old),Male,Normal
1150,Palmitic acid,HMDB0000220,25.5 +/- 2.8,Adolescent (13-18 years old),Both,Normal
1151,Palmitic acid,HMDB0000220,1052.943 +/- 54.597,Adult (>18 years old),Male,Normal
1152,Palmitic acid,HMDB0000220,26.7 +/- 4.4,Adult (>18 years old),Both,Normal
1153,Palmitic acid,HMDB0000220,1029.544 +/- 62.397,Adult (>18 years old),Male,Normal
1154,Palmitic acid,HMDB0000220,52,Adult (>18 years old),Both,Normal
1155,Palmitic acid,HMDB0000220,53,Adult (>18 years old),Both,Normal
1156,Palmitic acid,HMDB0000220,74,Adult (>18 years old),Both,Normal
1157,Palmitic acid,HMDB0000220,80,Adult (>18 years old),Both,Normal
1158,Palmitic acid,HMDB0000220,95,Adult (>18 years old),Both,Normal
1159,Palmitic acid,HMDB0000220,114,Adult (>18 years old),Both,Normal
1160,Palmitic acid,HMDB0000220,129,Adult (>18 years old),Both,Normal
1161,Palmitic acid,HMDB0000220,131,Adult (>18 years old),Both,Normal
1162,Palmitic acid,HMDB0000220,147,Adult (>18 years old),Both,Normal
1163,Palmitic acid,HMDB0000220,22.3-31.1,Adult (>18 years old),Male,Normal
1164,Palmitic acid,HMDB0000220,347,Adult (>18 years old),Both,Normal
1165,Palmitic acid,HMDB0000220,22.7-32.9,Adult (>18 years old),Female,Normal
1166,Palmitic acid,HMDB0000220,366,Adult (>18 years old),Both,Normal
1167,Palmitic acid,HMDB0000220,424,Adult (>18 years old),Both,Normal
