,Name,Accession,Value(uM),Patient Age,Patient Sex,Patient Information
8510,CL(i-13:0/i-22:0/i-19:0/i-22:0),HMDB0074072,,Children (1-13 years old),Both,Barth Syndrome
8511,CL(a-13:0/i-22:0/i-19:0/i-22:0)[rac],HMDB0074073,,Children (1-13 years old),Both,Barth Syndrome
8512,CL(i-13:0/i-22:0/i-19:0/i-24:0),HMDB0074074,,Children (1-13 years old),Both,Barth Syndrome
8513,CL(a-13:0/i-22:0/i-19:0/i-24:0)[rac],HMDB0074075,,Children (1-13 years old),Both,Barth Syndrome
8514,CL(i-13:0/i-22:0/i-19:0/a-25:0)[rac],HMDB0074076,,Children (1-13 years old),Both,Barth Syndrome
8515,CL(a-13:0/i-22:0/i-19:0/a-25:0)[rac],HMDB0074077,,Children (1-13 years old),Both,Barth Syndrome
8516,CL(i-13:0/i-22:0/i-20:0/i-12:0),HMDB0074078,,Children (1-13 years old),Both,Barth Syndrome
8517,CL(a-13:0/i-22:0/i-20:0/i-12:0)[rac],HMDB0074079,,Children (1-13 years old),Both,Barth Syndrome
8518,CL(i-13:0/i-22:0/i-20:0/i-13:0),HMDB0074080,,Children (1-13 years old),Both,Barth Syndrome
8519,CL(a-13:0/i-22:0/i-20:0/i-13:0)[rac],HMDB0074081,,Children (1-13 years old),Both,Barth Syndrome
8520,CL(i-13:0/i-22:0/i-20:0/a-13:0)[rac],HMDB0074082,,Children (1-13 years old),Both,Barth Syndrome
8521,CL(a-13:0/i-22:0/i-20:0/a-13:0)[rac],HMDB0074083,,Children (1-13 years old),Both,Barth Syndrome
8522,CL(i-13:0/i-22:0/i-20:0/i-14:0),HMDB0074084,,Children (1-13 years old),Both,Barth Syndrome
8523,CL(a-13:0/i-22:0/i-20:0/i-14:0)[rac],HMDB0074085,,Children (1-13 years old),Both,Barth Syndrome
8524,CL(i-13:0/i-22:0/i-20:0/i-15:0),HMDB0074086,,Children (1-13 years old),Both,Barth Syndrome
8525,CL(a-13:0/i-22:0/i-20:0/i-15:0)[rac],HMDB0074087,,Children (1-13 years old),Both,Barth Syndrome
8526,CL(i-13:0/i-22:0/i-20:0/a-15:0)[rac],HMDB0074088,,Children (1-13 years old),Both,Barth Syndrome
8527,CL(a-13:0/i-22:0/i-20:0/a-15:0)[rac],HMDB0074089,,Children (1-13 years old),Both,Barth Syndrome
8528,CL(i-13:0/i-22:0/i-20:0/i-16:0),HMDB0074090,,Children (1-13 years old),Both,Barth Syndrome
8529,CL(a-13:0/i-22:0/i-20:0/i-16:0)[rac],HMDB0074091,,Children (1-13 years old),Both,Barth Syndrome
8530,CL(i-13:0/i-22:0/i-20:0/i-17:0),HMDB0074092,,Children (1-13 years old),Both,Barth Syndrome
8531,CL(a-13:0/i-22:0/i-20:0/i-17:0)[rac],HMDB0074093,,Children (1-13 years old),Both,Barth Syndrome
8532,CL(i-13:0/i-22:0/i-20:0/a-17:0)[rac],HMDB0074094,,Children (1-13 years old),Both,Barth Syndrome
8533,CL(a-13:0/i-22:0/i-20:0/a-17:0)[rac],HMDB0074095,,Children (1-13 years old),Both,Barth Syndrome
8534,"CL(i-13:0/i-22:0/i-20:0/18:2(9Z,11Z))",HMDB0074096,,Children (1-13 years old),Both,Barth Syndrome
8535,CL(i-13:0/i-22:0/i-20:0/i-18:0),HMDB0074097,,Children (1-13 years old),Both,Barth Syndrome
8536,"CL(a-13:0/i-22:0/i-20:0/18:2(9Z,11Z))[rac]",HMDB0074098,,Children (1-13 years old),Both,Barth Syndrome
8537,CL(a-13:0/i-22:0/i-20:0/i-18:0)[rac],HMDB0074099,,Children (1-13 years old),Both,Barth Syndrome
8538,CL(i-13:0/i-22:0/i-20:0/i-19:0),HMDB0074100,,Children (1-13 years old),Both,Barth Syndrome
8539,CL(a-13:0/i-22:0/i-20:0/i-19:0)[rac],HMDB0074101,,Children (1-13 years old),Both,Barth Syndrome
8540,CL(i-13:0/i-22:0/i-20:0/i-20:0),HMDB0074102,,Children (1-13 years old),Both,Barth Syndrome
8541,CL(a-13:0/i-22:0/i-20:0/i-20:0)[rac],HMDB0074103,,Children (1-13 years old),Both,Barth Syndrome
8542,CL(i-13:0/i-22:0/i-20:0/i-21:0),HMDB0074104,,Children (1-13 years old),Both,Barth Syndrome
8543,CL(a-13:0/i-22:0/i-20:0/i-21:0)[rac],HMDB0074105,,Children (1-13 years old),Both,Barth Syndrome
8544,CL(i-13:0/i-22:0/i-20:0/a-21:0)[rac],HMDB0074106,,Children (1-13 years old),Both,Barth Syndrome
8545,CL(a-13:0/i-22:0/i-20:0/a-21:0)[rac],HMDB0074107,,Children (1-13 years old),Both,Barth Syndrome
8546,CL(i-13:0/i-22:0/i-20:0/i-22:0),HMDB0074108,,Children (1-13 years old),Both,Barth Syndrome
8547,CL(a-13:0/i-22:0/i-20:0/i-22:0)[rac],HMDB0074109,,Children (1-13 years old),Both,Barth Syndrome
8548,CL(i-13:0/i-22:0/i-20:0/i-24:0),HMDB0074110,,Children (1-13 years old),Both,Barth Syndrome
8549,CL(a-13:0/i-22:0/i-20:0/i-24:0)[rac],HMDB0074111,,Children (1-13 years old),Both,Barth Syndrome
8550,CL(i-13:0/i-22:0/i-20:0/a-25:0)[rac],HMDB0074112,,Children (1-13 years old),Both,Barth Syndrome
8551,CL(a-13:0/i-22:0/i-20:0/a-25:0)[rac],HMDB0074113,,Children (1-13 years old),Both,Barth Syndrome
8552,CL(i-13:0/i-22:0/i-21:0/i-12:0),HMDB0074114,,Children (1-13 years old),Both,Barth Syndrome
8553,CL(a-13:0/i-22:0/a-21:0/i-12:0)[rac],HMDB0074115,,Children (1-13 years old),Both,Barth Syndrome
8554,CL(i-13:0/i-22:0/a-21:0/i-12:0)[rac],HMDB0074116,,Children (1-13 years old),Both,Barth Syndrome
8555,CL(a-13:0/i-22:0/i-21:0/i-12:0)[rac],HMDB0074117,,Children (1-13 years old),Both,Barth Syndrome
8556,CL(i-13:0/i-22:0/i-21:0/i-13:0),HMDB0074118,,Children (1-13 years old),Both,Barth Syndrome
8557,CL(a-13:0/i-22:0/a-21:0/i-13:0)[rac],HMDB0074119,,Children (1-13 years old),Both,Barth Syndrome
8558,CL(i-13:0/i-22:0/a-21:0/i-13:0)[rac],HMDB0074120,,Children (1-13 years old),Both,Barth Syndrome
8559,CL(a-13:0/i-22:0/i-21:0/i-13:0)[rac],HMDB0074121,,Children (1-13 years old),Both,Barth Syndrome
8560,CL(i-13:0/i-22:0/a-21:0/a-13:0)[rac],HMDB0074122,,Children (1-13 years old),Both,Barth Syndrome
8561,CL(a-13:0/i-22:0/a-21:0/a-13:0)[rac],HMDB0074123,,Children (1-13 years old),Both,Barth Syndrome
8562,CL(i-13:0/i-22:0/i-21:0/a-13:0)[rac],HMDB0074124,,Children (1-13 years old),Both,Barth Syndrome
8563,CL(a-13:0/i-22:0/i-21:0/a-13:0)[rac],HMDB0074125,,Children (1-13 years old),Both,Barth Syndrome
8564,CL(i-13:0/i-22:0/i-21:0/i-14:0),HMDB0074126,,Children (1-13 years old),Both,Barth Syndrome
8565,CL(a-13:0/i-22:0/a-21:0/i-14:0)[rac],HMDB0074127,,Children (1-13 years old),Both,Barth Syndrome
8566,CL(i-13:0/i-22:0/a-21:0/i-14:0)[rac],HMDB0074128,,Children (1-13 years old),Both,Barth Syndrome
8567,CL(a-13:0/i-22:0/i-21:0/i-14:0)[rac],HMDB0074129,,Children (1-13 years old),Both,Barth Syndrome
8568,CL(i-13:0/i-22:0/i-21:0/i-15:0),HMDB0074130,,Children (1-13 years old),Both,Barth Syndrome
8569,CL(a-13:0/i-22:0/a-21:0/i-15:0)[rac],HMDB0074131,,Children (1-13 years old),Both,Barth Syndrome
8570,CL(i-13:0/i-22:0/a-21:0/i-15:0)[rac],HMDB0074132,,Children (1-13 years old),Both,Barth Syndrome
8571,CL(a-13:0/i-22:0/i-21:0/i-15:0)[rac],HMDB0074133,,Children (1-13 years old),Both,Barth Syndrome
8572,CL(i-13:0/i-22:0/a-21:0/a-15:0)[rac],HMDB0074134,,Children (1-13 years old),Both,Barth Syndrome
8573,CL(a-13:0/i-22:0/a-21:0/a-15:0)[rac],HMDB0074135,,Children (1-13 years old),Both,Barth Syndrome
8574,CL(i-13:0/i-22:0/i-21:0/a-15:0)[rac],HMDB0074136,,Children (1-13 years old),Both,Barth Syndrome
8575,CL(a-13:0/i-22:0/i-21:0/a-15:0)[rac],HMDB0074137,,Children (1-13 years old),Both,Barth Syndrome
8576,CL(i-13:0/i-22:0/i-21:0/i-16:0),HMDB0074138,,Children (1-13 years old),Both,Barth Syndrome
8577,CL(a-13:0/i-22:0/a-21:0/i-16:0)[rac],HMDB0074139,,Children (1-13 years old),Both,Barth Syndrome
8578,CL(i-13:0/i-22:0/a-21:0/i-16:0)[rac],HMDB0074140,,Children (1-13 years old),Both,Barth Syndrome
8579,CL(a-13:0/i-22:0/i-21:0/i-16:0)[rac],HMDB0074141,,Children (1-13 years old),Both,Barth Syndrome
8580,CL(i-13:0/i-22:0/i-21:0/i-17:0),HMDB0074142,,Children (1-13 years old),Both,Barth Syndrome
8581,CL(a-13:0/i-22:0/a-21:0/i-17:0)[rac],HMDB0074143,,Children (1-13 years old),Both,Barth Syndrome
8582,CL(i-13:0/i-22:0/a-21:0/i-17:0)[rac],HMDB0074144,,Children (1-13 years old),Both,Barth Syndrome
8583,CL(a-13:0/i-22:0/i-21:0/i-17:0)[rac],HMDB0074145,,Children (1-13 years old),Both,Barth Syndrome
8584,CL(i-13:0/i-22:0/a-21:0/a-17:0)[rac],HMDB0074146,,Children (1-13 years old),Both,Barth Syndrome
8585,CL(a-13:0/i-22:0/a-21:0/a-17:0)[rac],HMDB0074147,,Children (1-13 years old),Both,Barth Syndrome
8586,CL(i-13:0/i-22:0/i-21:0/a-17:0)[rac],HMDB0074148,,Children (1-13 years old),Both,Barth Syndrome
8587,CL(a-13:0/i-22:0/i-21:0/a-17:0)[rac],HMDB0074149,,Children (1-13 years old),Both,Barth Syndrome
8588,"CL(i-13:0/i-22:0/i-21:0/18:2(9Z,11Z))",HMDB0074150,,Children (1-13 years old),Both,Barth Syndrome
8589,CL(i-13:0/i-22:0/i-21:0/i-18:0),HMDB0074151,,Children (1-13 years old),Both,Barth Syndrome
8590,CL(a-13:0/i-22:0/a-21:0/i-18:0)[rac],HMDB0074152,,Children (1-13 years old),Both,Barth Syndrome
8591,CL(i-13:0/i-22:0/a-21:0/i-18:0)[rac],HMDB0074153,,Children (1-13 years old),Both,Barth Syndrome
8592,"CL(a-13:0/i-22:0/i-21:0/18:2(9Z,11Z))[rac]",HMDB0074154,,Children (1-13 years old),Both,Barth Syndrome
8593,"CL(a-13:0/i-22:0/a-21:0/18:2(9Z,11Z))[rac]",HMDB0074155,,Children (1-13 years old),Both,Barth Syndrome
8594,"CL(i-13:0/i-22:0/a-21:0/18:2(9Z,11Z))[rac]",HMDB0074156,,Children (1-13 years old),Both,Barth Syndrome
8595,CL(a-13:0/i-22:0/i-21:0/i-18:0)[rac],HMDB0074157,,Children (1-13 years old),Both,Barth Syndrome
8596,CL(i-13:0/i-22:0/i-21:0/i-19:0),HMDB0074158,,Children (1-13 years old),Both,Barth Syndrome
8597,CL(a-13:0/i-22:0/a-21:0/i-19:0)[rac],HMDB0074159,,Children (1-13 years old),Both,Barth Syndrome
8598,CL(i-13:0/i-22:0/a-21:0/i-19:0)[rac],HMDB0074160,,Children (1-13 years old),Both,Barth Syndrome
8599,CL(a-13:0/i-22:0/i-21:0/i-19:0)[rac],HMDB0074161,,Children (1-13 years old),Both,Barth Syndrome
8600,CL(i-13:0/i-22:0/i-21:0/i-20:0),HMDB0074162,,Children (1-13 years old),Both,Barth Syndrome
8601,CL(a-13:0/i-22:0/a-21:0/i-20:0)[rac],HMDB0074163,,Children (1-13 years old),Both,Barth Syndrome
8602,CL(i-13:0/i-22:0/a-21:0/i-20:0)[rac],HMDB0074164,,Children (1-13 years old),Both,Barth Syndrome
8603,CL(a-13:0/i-22:0/i-21:0/i-20:0)[rac],HMDB0074165,,Children (1-13 years old),Both,Barth Syndrome
8604,CL(i-13:0/i-22:0/i-21:0/i-21:0),HMDB0074166,,Children (1-13 years old),Both,Barth Syndrome
8605,CL(a-13:0/i-22:0/a-21:0/i-21:0)[rac],HMDB0074167,,Children (1-13 years old),Both,Barth Syndrome
8606,CL(i-13:0/i-22:0/a-21:0/i-21:0)[rac],HMDB0074168,,Children (1-13 years old),Both,Barth Syndrome
8607,CL(a-13:0/i-22:0/i-21:0/i-21:0)[rac],HMDB0074169,,Children (1-13 years old),Both,Barth Syndrome
8608,CL(i-13:0/i-22:0/a-21:0/a-21:0)[rac],HMDB0074170,,Children (1-13 years old),Both,Barth Syndrome
8609,CL(a-13:0/i-22:0/a-21:0/a-21:0)[rac],HMDB0074171,,Children (1-13 years old),Both,Barth Syndrome
8610,CL(i-13:0/i-22:0/i-21:0/a-21:0)[rac],HMDB0074172,,Children (1-13 years old),Both,Barth Syndrome
8611,CL(a-13:0/i-22:0/i-21:0/a-21:0)[rac],HMDB0074173,,Children (1-13 years old),Both,Barth Syndrome
8612,CL(i-13:0/i-22:0/i-21:0/i-22:0),HMDB0074174,,Children (1-13 years old),Both,Barth Syndrome
8613,CL(a-13:0/i-22:0/a-21:0/i-22:0)[rac],HMDB0074175,,Children (1-13 years old),Both,Barth Syndrome
8614,CL(i-13:0/i-22:0/a-21:0/i-22:0)[rac],HMDB0074176,,Children (1-13 years old),Both,Barth Syndrome
8615,CL(a-13:0/i-22:0/i-21:0/i-22:0)[rac],HMDB0074177,,Children (1-13 years old),Both,Barth Syndrome
8616,CL(i-13:0/i-22:0/i-21:0/i-24:0),HMDB0074178,,Children (1-13 years old),Both,Barth Syndrome
8617,CL(a-13:0/i-22:0/a-21:0/i-24:0)[rac],HMDB0074179,,Children (1-13 years old),Both,Barth Syndrome
8618,CL(i-13:0/i-22:0/a-21:0/i-24:0)[rac],HMDB0074180,,Children (1-13 years old),Both,Barth Syndrome
8619,CL(a-13:0/i-22:0/i-21:0/i-24:0)[rac],HMDB0074181,,Children (1-13 years old),Both,Barth Syndrome
8620,CL(i-13:0/i-22:0/a-21:0/a-25:0)[rac],HMDB0074182,,Children (1-13 years old),Both,Barth Syndrome
8621,CL(a-13:0/i-22:0/a-21:0/a-25:0)[rac],HMDB0074183,,Children (1-13 years old),Both,Barth Syndrome
8622,CL(i-13:0/i-22:0/i-21:0/a-25:0)[rac],HMDB0074184,,Children (1-13 years old),Both,Barth Syndrome
8623,CL(a-13:0/i-22:0/i-21:0/a-25:0)[rac],HMDB0074185,,Children (1-13 years old),Both,Barth Syndrome
8624,CL(i-13:0/i-22:0/i-22:0/i-12:0),HMDB0074186,,Children (1-13 years old),Both,Barth Syndrome
8625,CL(a-13:0/i-22:0/i-22:0/i-12:0)[rac],HMDB0074187,,Children (1-13 years old),Both,Barth Syndrome
8626,CL(i-13:0/i-22:0/i-22:0/i-13:0),HMDB0074188,,Children (1-13 years old),Both,Barth Syndrome
8627,CL(a-13:0/i-22:0/i-22:0/i-13:0)[rac],HMDB0074189,,Children (1-13 years old),Both,Barth Syndrome
8628,CL(i-13:0/i-22:0/i-22:0/a-13:0)[rac],HMDB0074190,,Children (1-13 years old),Both,Barth Syndrome
8629,CL(a-13:0/i-22:0/i-22:0/a-13:0)[rac],HMDB0074191,,Children (1-13 years old),Both,Barth Syndrome
8630,CL(i-13:0/i-22:0/i-22:0/i-14:0),HMDB0074192,,Children (1-13 years old),Both,Barth Syndrome
8631,CL(a-13:0/i-22:0/i-22:0/i-14:0)[rac],HMDB0074193,,Children (1-13 years old),Both,Barth Syndrome
8632,CL(i-13:0/i-22:0/i-22:0/i-15:0),HMDB0074194,,Children (1-13 years old),Both,Barth Syndrome
8633,CL(a-13:0/i-22:0/i-22:0/i-15:0)[rac],HMDB0074195,,Children (1-13 years old),Both,Barth Syndrome
8634,CL(i-13:0/i-22:0/i-22:0/a-15:0)[rac],HMDB0074196,,Children (1-13 years old),Both,Barth Syndrome
8635,CL(a-13:0/i-22:0/i-22:0/a-15:0)[rac],HMDB0074197,,Children (1-13 years old),Both,Barth Syndrome
8636,CL(i-13:0/i-22:0/i-22:0/i-16:0),HMDB0074198,,Children (1-13 years old),Both,Barth Syndrome
8637,CL(a-13:0/i-22:0/i-22:0/i-16:0)[rac],HMDB0074199,,Children (1-13 years old),Both,Barth Syndrome
8638,CL(i-13:0/i-22:0/i-22:0/i-17:0),HMDB0074200,,Children (1-13 years old),Both,Barth Syndrome
8639,CL(a-13:0/i-22:0/i-22:0/i-17:0)[rac],HMDB0074201,,Children (1-13 years old),Both,Barth Syndrome
8640,CL(i-13:0/i-22:0/i-22:0/a-17:0)[rac],HMDB0074202,,Children (1-13 years old),Both,Barth Syndrome
8641,CL(a-13:0/i-22:0/i-22:0/a-17:0)[rac],HMDB0074203,,Children (1-13 years old),Both,Barth Syndrome
8642,"CL(i-13:0/i-22:0/i-22:0/18:2(9Z,11Z))",HMDB0074204,,Children (1-13 years old),Both,Barth Syndrome
8643,CL(i-13:0/i-22:0/i-22:0/i-18:0),HMDB0074205,,Children (1-13 years old),Both,Barth Syndrome
8644,"CL(a-13:0/i-22:0/i-22:0/18:2(9Z,11Z))[rac]",HMDB0074206,,Children (1-13 years old),Both,Barth Syndrome
8645,CL(a-13:0/i-22:0/i-22:0/i-18:0)[rac],HMDB0074207,,Children (1-13 years old),Both,Barth Syndrome
8646,CL(i-13:0/i-22:0/i-22:0/i-19:0),HMDB0074208,,Children (1-13 years old),Both,Barth Syndrome
8647,CL(a-13:0/i-22:0/i-22:0/i-19:0)[rac],HMDB0074209,,Children (1-13 years old),Both,Barth Syndrome
8648,CL(i-13:0/i-22:0/i-22:0/i-20:0),HMDB0074210,,Children (1-13 years old),Both,Barth Syndrome
8649,CL(a-13:0/i-22:0/i-22:0/i-20:0)[rac],HMDB0074211,,Children (1-13 years old),Both,Barth Syndrome
8650,CL(i-13:0/i-22:0/i-22:0/i-21:0),HMDB0074212,,Children (1-13 years old),Both,Barth Syndrome
8651,CL(a-13:0/i-22:0/i-22:0/i-21:0)[rac],HMDB0074213,,Children (1-13 years old),Both,Barth Syndrome
8652,CL(i-13:0/i-22:0/i-22:0/a-21:0)[rac],HMDB0074214,,Children (1-13 years old),Both,Barth Syndrome
8653,CL(a-13:0/i-22:0/i-22:0/a-21:0)[rac],HMDB0074215,,Children (1-13 years old),Both,Barth Syndrome
8654,CL(i-13:0/i-22:0/i-22:0/i-22:0),HMDB0074216,,Children (1-13 years old),Both,Barth Syndrome
8655,CL(a-13:0/i-22:0/i-22:0/i-22:0)[rac],HMDB0074217,,Children (1-13 years old),Both,Barth Syndrome
8656,CL(i-13:0/i-22:0/i-22:0/i-24:0),HMDB0074218,,Children (1-13 years old),Both,Barth Syndrome
8657,CL(a-13:0/i-22:0/i-22:0/i-24:0)[rac],HMDB0074219,,Children (1-13 years old),Both,Barth Syndrome
8658,CL(i-13:0/i-22:0/i-22:0/a-25:0)[rac],HMDB0074220,,Children (1-13 years old),Both,Barth Syndrome
8659,CL(a-13:0/i-22:0/i-22:0/a-25:0)[rac],HMDB0074221,,Children (1-13 years old),Both,Barth Syndrome
8660,CL(i-13:0/i-22:0/i-24:0/i-12:0),HMDB0074222,,Children (1-13 years old),Both,Barth Syndrome
8661,CL(a-13:0/i-22:0/i-24:0/i-12:0)[rac],HMDB0074223,,Children (1-13 years old),Both,Barth Syndrome
8662,CL(i-13:0/i-22:0/i-24:0/i-13:0),HMDB0074224,,Children (1-13 years old),Both,Barth Syndrome
8663,CL(a-13:0/i-22:0/i-24:0/i-13:0)[rac],HMDB0074225,,Children (1-13 years old),Both,Barth Syndrome
8664,CL(i-13:0/i-22:0/i-24:0/a-13:0)[rac],HMDB0074226,,Children (1-13 years old),Both,Barth Syndrome
8665,CL(a-13:0/i-22:0/i-24:0/a-13:0)[rac],HMDB0074227,,Children (1-13 years old),Both,Barth Syndrome
8666,CL(i-13:0/i-22:0/i-24:0/i-14:0),HMDB0074228,,Children (1-13 years old),Both,Barth Syndrome
8667,CL(a-13:0/i-22:0/i-24:0/i-14:0)[rac],HMDB0074229,,Children (1-13 years old),Both,Barth Syndrome
8668,CL(i-13:0/i-22:0/i-24:0/i-15:0),HMDB0074230,,Children (1-13 years old),Both,Barth Syndrome
8669,CL(a-13:0/i-22:0/i-24:0/i-15:0)[rac],HMDB0074231,,Children (1-13 years old),Both,Barth Syndrome
8670,CL(i-13:0/i-22:0/i-24:0/a-15:0)[rac],HMDB0074232,,Children (1-13 years old),Both,Barth Syndrome
8671,CL(a-13:0/i-22:0/i-24:0/a-15:0)[rac],HMDB0074233,,Children (1-13 years old),Both,Barth Syndrome
8672,CL(i-13:0/i-22:0/i-24:0/i-16:0),HMDB0074234,,Children (1-13 years old),Both,Barth Syndrome
8673,CL(a-13:0/i-22:0/i-24:0/i-16:0)[rac],HMDB0074235,,Children (1-13 years old),Both,Barth Syndrome
8674,CL(i-13:0/i-22:0/i-24:0/i-17:0),HMDB0074236,,Children (1-13 years old),Both,Barth Syndrome
8675,CL(a-13:0/i-22:0/i-24:0/i-17:0)[rac],HMDB0074237,,Children (1-13 years old),Both,Barth Syndrome
8676,CL(i-13:0/i-22:0/i-24:0/a-17:0)[rac],HMDB0074238,,Children (1-13 years old),Both,Barth Syndrome
8677,CL(a-13:0/i-22:0/i-24:0/a-17:0)[rac],HMDB0074239,,Children (1-13 years old),Both,Barth Syndrome
8678,"CL(i-13:0/i-22:0/i-24:0/18:2(9Z,11Z))",HMDB0074240,,Children (1-13 years old),Both,Barth Syndrome
8679,CL(i-13:0/i-22:0/i-24:0/i-18:0),HMDB0074241,,Children (1-13 years old),Both,Barth Syndrome
8680,"CL(a-13:0/i-22:0/i-24:0/18:2(9Z,11Z))[rac]",HMDB0074242,,Children (1-13 years old),Both,Barth Syndrome
8681,CL(a-13:0/i-22:0/i-24:0/i-18:0)[rac],HMDB0074243,,Children (1-13 years old),Both,Barth Syndrome
8682,CL(i-13:0/i-22:0/i-24:0/i-19:0),HMDB0074244,,Children (1-13 years old),Both,Barth Syndrome
8683,CL(a-13:0/i-22:0/i-24:0/i-19:0)[rac],HMDB0074245,,Children (1-13 years old),Both,Barth Syndrome
8684,CL(i-13:0/i-22:0/i-24:0/i-20:0),HMDB0074246,,Children (1-13 years old),Both,Barth Syndrome
8685,CL(a-13:0/i-22:0/i-24:0/i-20:0)[rac],HMDB0074247,,Children (1-13 years old),Both,Barth Syndrome
8686,CL(i-13:0/i-22:0/i-24:0/i-21:0),HMDB0074248,,Children (1-13 years old),Both,Barth Syndrome
8687,CL(a-13:0/i-22:0/i-24:0/i-21:0)[rac],HMDB0074249,,Children (1-13 years old),Both,Barth Syndrome
8688,CL(i-13:0/i-22:0/i-24:0/a-21:0)[rac],HMDB0074250,,Children (1-13 years old),Both,Barth Syndrome
8689,CL(a-13:0/i-22:0/i-24:0/a-21:0)[rac],HMDB0074251,,Children (1-13 years old),Both,Barth Syndrome
8690,CL(i-13:0/i-22:0/i-24:0/i-22:0),HMDB0074252,,Children (1-13 years old),Both,Barth Syndrome
8691,CL(a-13:0/i-22:0/i-24:0/i-22:0)[rac],HMDB0074253,,Children (1-13 years old),Both,Barth Syndrome
8692,CL(i-13:0/i-22:0/i-24:0/i-24:0),HMDB0074254,,Children (1-13 years old),Both,Barth Syndrome
8693,CL(a-13:0/i-22:0/i-24:0/i-24:0)[rac],HMDB0074255,,Children (1-13 years old),Both,Barth Syndrome
8694,CL(i-13:0/i-22:0/i-24:0/a-25:0)[rac],HMDB0074256,,Children (1-13 years old),Both,Barth Syndrome
8695,CL(a-13:0/i-22:0/i-24:0/a-25:0)[rac],HMDB0074257,,Children (1-13 years old),Both,Barth Syndrome
8696,CL(a-13:0/i-22:0/a-25:0/i-12:0)[rac],HMDB0074258,,Children (1-13 years old),Both,Barth Syndrome
8697,CL(i-13:0/i-22:0/a-25:0/i-12:0)[rac],HMDB0074259,,Children (1-13 years old),Both,Barth Syndrome
8698,CL(a-13:0/i-22:0/a-25:0/i-13:0)[rac],HMDB0074260,,Children (1-13 years old),Both,Barth Syndrome
8699,CL(i-13:0/i-22:0/a-25:0/i-13:0)[rac],HMDB0074261,,Children (1-13 years old),Both,Barth Syndrome
8700,CL(i-13:0/i-22:0/a-25:0/a-13:0)[rac],HMDB0074262,,Children (1-13 years old),Both,Barth Syndrome
8701,CL(a-13:0/i-22:0/a-25:0/a-13:0)[rac],HMDB0074263,,Children (1-13 years old),Both,Barth Syndrome
8702,CL(a-13:0/i-22:0/a-25:0/i-14:0)[rac],HMDB0074264,,Children (1-13 years old),Both,Barth Syndrome
8703,CL(i-13:0/i-22:0/a-25:0/i-14:0)[rac],HMDB0074265,,Children (1-13 years old),Both,Barth Syndrome
8704,CL(a-13:0/i-22:0/a-25:0/i-15:0)[rac],HMDB0074266,,Children (1-13 years old),Both,Barth Syndrome
8705,CL(i-13:0/i-22:0/a-25:0/i-15:0)[rac],HMDB0074267,,Children (1-13 years old),Both,Barth Syndrome
8706,CL(i-13:0/i-22:0/a-25:0/a-15:0)[rac],HMDB0074268,,Children (1-13 years old),Both,Barth Syndrome
8707,CL(a-13:0/i-22:0/a-25:0/a-15:0)[rac],HMDB0074269,,Children (1-13 years old),Both,Barth Syndrome
8708,CL(a-13:0/i-22:0/a-25:0/i-16:0)[rac],HMDB0074270,,Children (1-13 years old),Both,Barth Syndrome
8709,CL(i-13:0/i-22:0/a-25:0/i-16:0)[rac],HMDB0074271,,Children (1-13 years old),Both,Barth Syndrome
8710,CL(a-13:0/i-22:0/a-25:0/i-17:0)[rac],HMDB0074272,,Children (1-13 years old),Both,Barth Syndrome
8711,CL(i-13:0/i-22:0/a-25:0/i-17:0)[rac],HMDB0074273,,Children (1-13 years old),Both,Barth Syndrome
8712,CL(i-13:0/i-22:0/a-25:0/a-17:0)[rac],HMDB0074274,,Children (1-13 years old),Both,Barth Syndrome
8713,CL(a-13:0/i-22:0/a-25:0/a-17:0)[rac],HMDB0074275,,Children (1-13 years old),Both,Barth Syndrome
8714,CL(a-13:0/i-22:0/a-25:0/i-18:0)[rac],HMDB0074276,,Children (1-13 years old),Both,Barth Syndrome
8715,CL(i-13:0/i-22:0/a-25:0/i-18:0)[rac],HMDB0074277,,Children (1-13 years old),Both,Barth Syndrome
8716,"CL(a-13:0/i-22:0/a-25:0/18:2(9Z,11Z))[rac]",HMDB0074278,,Children (1-13 years old),Both,Barth Syndrome
8717,"CL(i-13:0/i-22:0/a-25:0/18:2(9Z,11Z))[rac]",HMDB0074279,,Children (1-13 years old),Both,Barth Syndrome
8718,CL(a-13:0/i-22:0/a-25:0/i-19:0)[rac],HMDB0074280,,Children (1-13 years old),Both,Barth Syndrome
8719,CL(i-13:0/i-22:0/a-25:0/i-19:0)[rac],HMDB0074281,,Children (1-13 years old),Both,Barth Syndrome
8720,CL(a-13:0/i-22:0/a-25:0/i-20:0)[rac],HMDB0074282,,Children (1-13 years old),Both,Barth Syndrome
8721,CL(i-13:0/i-22:0/a-25:0/i-20:0)[rac],HMDB0074283,,Children (1-13 years old),Both,Barth Syndrome
8722,CL(a-13:0/i-22:0/a-25:0/i-21:0)[rac],HMDB0074284,,Children (1-13 years old),Both,Barth Syndrome
8723,CL(i-13:0/i-22:0/a-25:0/i-21:0)[rac],HMDB0074285,,Children (1-13 years old),Both,Barth Syndrome
8724,CL(i-13:0/i-22:0/a-25:0/a-21:0)[rac],HMDB0074286,,Children (1-13 years old),Both,Barth Syndrome
8725,CL(a-13:0/i-22:0/a-25:0/a-21:0)[rac],HMDB0074287,,Children (1-13 years old),Both,Barth Syndrome
