,Name,Disease,Disease Synonym,min_age,max_age,min_range,max_range,unit,meta_id
343,L-Lactic acid,3-HYDROXYISOBUTYRYL-CoA HYDROLASE DEFICIENCY (HIBCHD),BETA-HYDROXYISOBUTYRYL CoA DEACYLASE DEFICIENCY; METHACRYLIC ACIDURIA,1,13,0.70,1.90,mmol/l,210
344,L-Lactic acid,3-HYDROXYISOBUTYRYL-CoA HYDROLASE DEFICIENCY (HIBCHD),BETA-HYDROXYISOBUTYRYL CoA DEACYLASE DEFICIENCY; METHACRYLIC ACIDURIA,18,64,0.40,1.00,mmol/l,213
345,L-Lactic acid,3-HYDROXYISOBUTYRYL-CoA HYDROLASE DEFICIENCY (HIBCHD),BETA-HYDROXYISOBUTYRYL CoA DEACYLASE DEFICIENCY; METHACRYLIC ACIDURIA,7,15,0.40,0.90,mmol/l,1137
346,L-Lactic acid,3-HYDROXYISOBUTYRYL-CoA HYDROLASE DEFICIENCY (HIBCHD),BETA-HYDROXYISOBUTYRYL CoA DEACYLASE DEFICIENCY; METHACRYLIC ACIDURIA,1,7,0.70,1.60,mmol/l,1136
347,L-Lactic acid,3-HYDROXYISOBUTYRYL-CoA HYDROLASE DEFICIENCY (HIBCHD),BETA-HYDROXYISOBUTYRYL CoA DEACYLASE DEFICIENCY; METHACRYLIC ACIDURIA,1,13,0.90,1.80,mmol/l,203
348,L-Lactic acid,3-HYDROXYISOBUTYRYL-CoA HYDROLASE DEFICIENCY (HIBCHD),BETA-HYDROXYISOBUTYRYL CoA DEACYLASE DEFICIENCY; METHACRYLIC ACIDURIA,18,64,1.00,1.50,mmol/l,204
349,L-Lactic acid,3-HYDROXYISOBUTYRYL-CoA HYDROLASE DEFICIENCY (HIBCHD),BETA-HYDROXYISOBUTYRYL CoA DEACYLASE DEFICIENCY; METHACRYLIC ACIDURIA,0,2,2.00,3.00,mmol/l,207
350,3-Hydroxyisovaleric acid,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",1,13,0.00,19.00,μmol/l,397
351,3-Hydroxyisovalerylcarnitine (C5-OH),"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,0.02,0.05,0.31,µmol/l,1225
352,Ammonia,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",13,18,19.00,71.00,μmol/l,1992
353,Ammonia,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,2,25.00,80.00,μmol/l,9
354,Ammonia,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",1,13,11.00,68.00,μmol/l,1092
355,Ammonia,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,0.0907,45.00,97.00,µmol/l,37
356,Ammonia,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,0.0028,36.00,110.00,μmol/l,278
357,Ammonia,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,0.0907,47.00,91.00,µmol/l,277
358,Ammonia,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,0.0907,41.00,79.00,µmol/l,276
359,Ammonia,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,0.0907,28.00,56.00,µmol/l,275
360,Ammonia,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,0.0907,24.00,60.00,µmol/l,274
361,Ammonia,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,0.0907,27.00,59.00,µmol/l,273
362,Ammonia,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,0.0907,27.00,57.00,µmol/l,279
363,L-Carnitine,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,0.02,6.83,43.45,µmol/l,1214
364,L-Carnitine,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,0.02,11.61,73.87,µmol/l,1215
365,L-Carnitine,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",1,13,23.00,60.00,µmol/l,59
366,L-Carnitine,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",18,64,35.00,55.00,µmol/l,268
367,L-Carnitine,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",1,13,20.00,40.00,µmol/l,1090
368,L-Carnitine,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,2,15.00,40.00,µmol/l,1163
369,L-Carnitine,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,0.02,10.00,44.00,µmol/l,1213
370,L-Carnitine,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,2,13.00,23.00,µmol/l,1141
371,L-Carnitine,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",1,7,11.50,18.00,µmol/l,1142
372,L-Carnitine,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",7,15,18.00,30.00,µmol/l,1143
373,L-Carnitine,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",1,13,40.00,60.00,µmol/l,267
374,L-Carnitine,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,0.0907,9.00,23.00,µmol/l,1089
375,D-Glucose,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",13,18,2.60,5.50,mmol/l,47
376,D-Glucose,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",18,64,2.60,5.50,mmol/l,281
377,D-Glucose,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",1,13,3.30,5.50,mmol/l,282
378,D-Glucose,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,0.0907,1.10,3.30,mmol/l,280
379,D-Glucose,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,0.0028,2.20,3.30,mmol/l,283
380,D-Glucose,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,0.0028,2.80,5.00,mmol/l,46
381,D-Glucose,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",,,2.70,4.50,mmol/l,1134
382,D-Glucose,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",,,3.00,4.30,mmol/l,1135
383,D-Glucose,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",1,13,2.60,5.50,mmol/l,490
384,D-Glucose,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,0.0028,2.60,5.50,mmol/l,333
385,D-Glucose,"3-METHYL-CROTONYL-GLYCINURIA (3-MCC, MCC1D)","BETA-METHYLCROTONYLGLYCINURIA I;MCC; ACIDURIA, BETA-METHYL-CROTONYL-GLYCINURIA; MCC1 DEFICIENCY",0,2,2.60,5.50,mmol/l,334
391,3-Hydroxyisovaleric acid,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",1,13,0.00,19.00,μmol/l,397
392,Ammonia,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",13,18,19.00,71.00,μmol/l,1992
393,Ammonia,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,2,25.00,80.00,μmol/l,9
394,Ammonia,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",1,13,11.00,68.00,μmol/l,1092
395,Ammonia,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,0.0907,45.00,97.00,µmol/l,37
396,Ammonia,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,0.0028,36.00,110.00,μmol/l,278
397,Ammonia,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,0.0907,47.00,91.00,µmol/l,277
398,Ammonia,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,0.0907,41.00,79.00,µmol/l,276
399,Ammonia,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,0.0907,28.00,56.00,µmol/l,275
400,Ammonia,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,0.0907,24.00,60.00,µmol/l,274
401,Ammonia,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,0.0907,27.00,59.00,µmol/l,273
402,Ammonia,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,0.0907,27.00,57.00,µmol/l,279
403,D-Glucose,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",13,18,2.60,5.50,mmol/l,47
404,D-Glucose,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",18,64,2.60,5.50,mmol/l,281
405,D-Glucose,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",1,13,3.30,5.50,mmol/l,282
406,D-Glucose,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,0.0907,1.10,3.30,mmol/l,280
407,D-Glucose,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,0.0028,2.20,3.30,mmol/l,283
408,D-Glucose,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,0.0028,2.80,5.00,mmol/l,46
409,D-Glucose,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",,,2.70,4.50,mmol/l,1134
410,D-Glucose,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",,,3.00,4.30,mmol/l,1135
411,D-Glucose,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",1,13,2.60,5.50,mmol/l,490
412,D-Glucose,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,0.0028,2.60,5.50,mmol/l,333
413,D-Glucose,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,2,2.60,5.50,mmol/l,334
414,L-Lactic acid,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,2,0.70,3.30,mmol/l,330
415,L-Lactic acid,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",1,13,0.90,1.80,mmol/l,469
416,L-Lactic acid,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",1,13,0.80,1.50,mmol/l,208
417,L-Lactic acid,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",18,64,0.70,1.90,mmol/l,211
418,L-Lactic acid,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,2,1.00,2.30,mmol/l,214
419,L-Lactic acid,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,2,0.90,2.00,mmol/l,206
420,L-Lactic acid,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",1,13,0.50,1.60,mmol/l,209
421,L-Lactic acid,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",18,64,0.60,0.90,mmol/l,212
422,L-Lactic acid,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,2,0.80,1.50,mmol/l,202
423,L-Lactic acid,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",1,13,0.70,1.90,mmol/l,210
424,L-Lactic acid,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",18,64,0.40,1.00,mmol/l,213
425,L-Lactic acid,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",7,15,0.40,0.90,mmol/l,1137
426,L-Lactic acid,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",1,7,0.70,1.60,mmol/l,1136
427,L-Lactic acid,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",1,13,0.90,1.80,mmol/l,203
428,L-Lactic acid,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",18,64,1.00,1.50,mmol/l,204
429,L-Lactic acid,3-METHYLGLUTACONIC ACIDURIA (TYPE I),"3-METHYLGLUTACONICACIDURIA; ACIDURIA, 3-METHYLGLUTACONIC TYPE I (AUH), 3-@METHYLGLUTACONIC ACIDURIA, TYPE I",0,2,2.00,3.00,mmol/l,207
435,Pyruvic acid,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,0,99,60.00,100.00,μmol/l,2103
436,Ammonia,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,13,18,19.00,71.00,μmol/l,1992
437,Ammonia,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,0,2,25.00,80.00,μmol/l,9
438,Ammonia,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,1,13,11.00,68.00,μmol/l,1092
439,Ammonia,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,0,0.0907,45.00,97.00,µmol/l,37
440,Ammonia,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,0,0.0028,36.00,110.00,μmol/l,278
441,Ammonia,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,0,0.0907,47.00,91.00,µmol/l,277
442,Ammonia,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,0,0.0907,41.00,79.00,µmol/l,276
443,Ammonia,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,0,0.0907,28.00,56.00,µmol/l,275
444,Ammonia,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,0,0.0907,24.00,60.00,µmol/l,274
445,Ammonia,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,0,0.0907,27.00,59.00,µmol/l,273
446,Ammonia,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,0,0.0907,27.00,57.00,µmol/l,279
447,L-Carnitine,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,0,0.02,6.83,43.45,µmol/l,1214
448,L-Carnitine,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,0,0.02,11.61,73.87,µmol/l,1215
449,L-Carnitine,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,1,13,23.00,60.00,µmol/l,59
450,L-Carnitine,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,18,64,35.00,55.00,µmol/l,268
451,L-Carnitine,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,1,13,20.00,40.00,µmol/l,1090
452,L-Carnitine,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,0,2,15.00,40.00,µmol/l,1163
453,L-Carnitine,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,0,0.02,10.00,44.00,µmol/l,1213
454,L-Carnitine,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,0,2,13.00,23.00,µmol/l,1141
455,L-Carnitine,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,1,7,11.50,18.00,µmol/l,1142
456,L-Carnitine,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,7,15,18.00,30.00,µmol/l,1143
457,L-Carnitine,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,1,13,40.00,60.00,µmol/l,267
458,L-Carnitine,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,0,0.0907,9.00,23.00,µmol/l,1089
459,L-Lactic acid,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,0,2,0.70,3.30,mmol/l,330
460,L-Lactic acid,"3-METHYLGLUTACONIC ACIDURIA (TYPE II), X-LINKED",BARTH SYNDROME;MGCA2;BTHS,1,13,0.90,1.80,mmol/l,469
